"","vitd","srh","eye","hear","FI.ADL","FI.IADL","gait.speed","grip.ndom","grip.dom","crp","hba1c","glucose","hgb","mch","fer","chol","ldl","hdl","trig","sys","dias","pulse","fib","igf1","wbc"
"vitd",-0.0463861780887004,-0.000118140634461181,0.000280508861411383,-0.000936270156767091,0.0033133945239907,-0.00628430062388116,-0.00255923346806919,0.00159856801152392,0.000853380312939355,0.00169788388567592,-0.00104257678088827,-0.000553958163138527,0.000387362667148292,0.000648641814555728,-0.000214506134380028,0.00168424389903579,0.000346260440409987,0.00216754437249695,0.000306347655481299,-0.000203093072993672,-0.00104243680765414,-4.3339268731261e-05,-0.00252454141376552,-1.22030215488412e-05,-4.76601374733112e-05
"srh",-0.000118140634461181,-0.066669670178004,0.00615575429119381,0.0060751209720954,0.00966822516385979,0.0117960252678946,-0.0025560475843632,-0.00044850032589655,-0.000637739469727706,0.00125790056925436,0.00202356404782925,0.00150571890996887,-0.000400337563815688,-0.00194871362822622,-0.00113329197384853,-0.00312356213466689,-0.00164797532041986,-0.00479678121762784,0.000967831501331038,0.000779137519469219,-0.000604999130930476,0.00230359359548123,0.00293044707242667,-0.000353282127641353,0.00165778692411905
"eye",0.000280508861411383,0.00615575429119381,-0.0678676692282437,0.0132621538606607,0.00522720940370621,0.00360937091033157,-0.00491498886892736,-0.00184734959524245,-0.00179097752121304,-0.000355542262665817,0.000566697719831134,0.000837357420784644,-0.000580823460555721,0.00051393150539444,-0.000921288628841975,0.000164262302111733,-0.000228601648801004,7.89847379823676e-05,0.00112396110971789,-0.000182253785307384,-0.00126067459005759,0.00171230884857693,-0.00187274580259736,-0.00155450484086812,-8.31926412212198e-05
"hear",-0.000936270156767091,0.0060751209720954,0.0132621538606607,-0.0628768190131124,0.00200025679172377,0.00256573078651946,-0.00183369425396214,0.00168239778432841,0.00169444743276693,-0.000776707663568915,-0.000182988789076418,-2.7791344258856e-05,0.00274471844142096,0.00188645814480802,0.00410661134384677,-0.000788078618868301,-0.00144908266049192,-0.000324595190249201,0.000631150770898636,-0.000223914646501239,0.000102117144061472,-0.00151276913940388,-0.000792573920886191,0.00136306142979997,0.000188236683918583
"FI.ADL",0.0033133945239907,0.00966822516385979,0.0052272094037062,0.00200025679172377,-0.0599598764202165,0.00980172314404961,-0.006456729370863,-0.00287934911015556,-0.00331480138596774,0.00458431493513551,0.000607480434823318,0.00027775163657933,-0.00120068820362687,0.000196032809712587,-0.00204104894203544,-0.000504645832878273,-0.00130828685840066,-3.33662911607412e-05,0.000703424709705925,0.000717839308973137,-0.00127203994383008,0.000452293123625526,0.000220105385371186,-0.00213074028153202,0.00157449633357834
"FI.IADL",-0.00628430062388116,0.0117960252678946,0.00360937091033157,0.00256573078651946,0.00980172314404961,-0.0600134379293331,-0.00384695411768008,-0.00118186161199763,-0.00110717099925157,-0.000240075392773258,-4.69158205292537e-06,-0.00178331986383665,-0.00194151373906168,-0.000181619984257756,-3.77981419352666e-05,-0.000342517096762049,-0.000605089494934315,0.00118126491920388,-0.00032572799574499,0.000408293779645999,-0.000453030236013577,-0.000392412319225262,0.00134562728306206,-0.0010262334873375,0.00091535540608577
"gait.speed",-0.00255923346806919,-0.0025560475843632,-0.00491498886892736,-0.00183369425396214,-0.006456729370863,-0.00384695411768008,-0.0554903732667022,0.00468276823612045,0.00465887740495918,-0.00199774919438586,-0.000510775757068104,-0.000835761707302536,0.00132703642210531,0.000765277943315322,-0.000429365918777756,0.00167347882633768,0.00169203364325058,0.00303988485465884,-0.00150815402492086,-0.00044317633245923,9.41517078839313e-05,-0.00100565581222681,-0.0037516170725594,-0.00353474805262058,0.00200535458694175
"grip.ndom",0.00159856801152392,-0.00044850032589655,-0.00184734959524245,0.00168239778432841,-0.00287934911015556,-0.00118186161199763,0.00468276823612045,-0.0692748508034297,0.0285824591722663,-0.000671926086792519,-0.000614463007404998,0.000348958173702199,0.0037935477325216,0.000744947493679028,0.00185226016632754,-0.00145359491872064,-0.00161967671448973,-0.00356826292801439,0.00227990388863126,0.000924157835595989,0.00264254102569214,-0.00103840537869543,-0.00155388903545124,0.00203179918409959,0.000257878819512847
"grip.dom",0.000853380312939355,-0.000637739469727706,-0.00179097752121304,0.00169444743276693,-0.00331480138596774,-0.00110717099925157,0.00465887740495918,0.0285824591722663,-0.069415059314174,-0.000654592648818872,-0.000350529625399706,9.38393766132502e-05,0.00383417365204674,0.001108615775187,0.00193201795357219,-0.00127735817513201,-0.00163069004732096,-0.00404252073658581,0.00191091837788326,0.00118699601981128,0.00237173828197883,-0.000900751181087635,-0.00160256139245397,0.00250527588292875,-0.000270820143627029
"crp",0.00169788388567592,0.00125790056925436,-0.000355542262665817,-0.000776707663568915,0.00458431493513551,-0.000240075392773258,-0.00199774919438586,-0.000671926086792519,-0.000654592648818872,-0.0525879311356704,0.0013396669976688,0.00122698600108019,1.88623819009405e-05,-0.000436005092367233,0.000807971877936352,-0.00284638074809591,-0.00346895702452946,-0.000631813470312694,0.00117366860594425,-2.21688250022213e-06,0.00202780504624936,0.00108917480697028,0.00418181074492322,-0.0036077150817041,0.00116600775751863
"hba1c",-0.00104257678088827,0.00202356404782925,0.000566697719831134,-0.000182988789076417,0.000607480434823318,-4.69158205292525e-06,-0.000510775757068104,-0.000614463007404998,-0.000350529625399706,0.0013396669976688,-0.0506635972153585,0.00870159548874402,4.81997095866326e-05,-0.00186676036940938,0.00112708112940266,-0.00162920953226209,-0.00283513064168378,-0.00125149102220071,0.00210570271845103,0.000464805448036245,8.50542216055304e-05,0.00125675022140731,0.00104088633845664,7.41407927871491e-05,0.00263937836449596
"glucose",-0.000553958163138528,0.00150571890996887,0.000837357420784644,-2.77913442588562e-05,0.00027775163657933,-0.00178331986383665,-0.000835761707302536,0.000348958173702199,9.38393766132502e-05,0.00122698600108019,0.00870159548874402,-0.0517924297056766,0.00193452507923412,0.00146581802553709,0.00197385188117678,-0.00154389447504109,-0.00103790145241038,-0.00205790699180536,0.000789483445737633,0.000971809843532404,-0.000292149893762319,0.00145434662689715,0.000331295586020886,-0.000491194040439672,-0.00123710282900437
"hgb",0.000387362667148292,-0.000400337563815688,-0.000580823460555721,0.00274471844142096,-0.00120068820362687,-0.00194151373906168,0.00132703642210531,0.0037935477325216,0.00383417365204673,1.88623819009405e-05,4.81997095866327e-05,0.00193452507923412,-0.0475185411950581,0.00237568695881948,0.00200678190148102,-0.00143183138267791,-0.000946527117468948,-0.00085542596486193,-0.000321334451815446,-0.00105920107140376,0.00257171612372015,-0.00177075258885179,-6.11679347537655e-05,-0.00112827001089593,0.000818720904633307
"mch",0.000648641814555728,-0.00194871362822622,0.00051393150539444,0.00188645814480802,0.000196032809712587,-0.000181619984257756,0.000765277943315321,0.000744947493679028,0.001108615775187,-0.000436005092367233,-0.00186676036940938,0.00146581802553709,0.00237568695881948,-0.0534845807027269,0.00240868007708371,-0.000387173366140637,0.000356640430480476,0.00087719591560189,-0.000872788107097988,0.00141842779235346,-0.00191035418590145,0.000177446370753023,0.00099813067450873,-5.17684361084785e-05,-0.00109717199163253
"fer",-0.000214506134380028,-0.00113329197384853,-0.000921288628841975,0.00410661134384677,-0.00204104894203544,-3.77981419352666e-05,-0.000429365918777756,0.00185226016632754,0.00193201795357219,0.000807971877936352,0.00112708112940266,0.00197385188117678,0.00200678190148102,0.00240868007708371,-0.0467160994704879,-0.00137816885836903,-0.00127282234018089,0.000671248594018091,-0.00231592622589228,0.00102540868274904,0.000656913292034057,-0.000224431421760822,0.000601189151954052,0.00139640178268781,0.000824591600333828
"chol",0.00168424389903579,-0.00312356213466689,0.000164262302111733,-0.000788078618868301,-0.000504645832878273,-0.000342517096762049,0.00167347882633768,-0.00145359491872064,-0.00127735817513201,-0.00284638074809591,-0.00162920953226209,-0.00154389447504109,-0.00143183138267791,-0.000387173366140637,-0.00137816885836903,-0.0990395593119519,0.0401129743739767,0.0198898065498307,0.016160815522617,-0.000181808834371556,0.000691878503674767,-0.000452193592323798,-0.00246680789586265,0.000116914709444562,-0.00185530734952171
"ldl",0.000346260440409987,-0.00164797532041986,-0.000228601648801004,-0.00144908266049192,-0.00130828685840066,-0.000605089494934315,0.00169203364325058,-0.00161967671448973,-0.00163069004732096,-0.00346895702452946,-0.00283513064168378,-0.00103790145241039,-0.000946527117468948,0.000356640430480475,-0.00127282234018089,0.0401129743739767,-0.0822155735976174,-0.0115289253649213,-0.0173371147006699,0.000147513698513085,0.000636675695373877,-0.000478217727790592,-0.00179806388048138,-0.000141283073964946,-0.00216754722230486
"hdl",0.00216754437249695,-0.00479678121762784,7.89847379823676e-05,-0.000324595190249202,-3.33662911607413e-05,0.00118126491920388,0.00303988485465885,-0.00356826292801439,-0.00404252073658581,-0.000631813470312693,-0.00125149102220071,-0.00205790699180536,-0.00085542596486193,0.00087719591560189,0.000671248594018091,0.0198898065498307,-0.0115289253649213,-0.0520776330588903,-0.00772971216784733,-0.00169543249944796,-0.00256927360426653,-0.0012716275385332,-0.000341102488802394,-4.7895201997683e-06,-0.000226872004171406
"trig",0.000306347655481299,0.000967831501331038,0.00112396110971789,0.000631150770898636,0.000703424709705925,-0.00032572799574499,-0.00150815402492086,0.00227990388863126,0.00191091837788326,0.00117366860594425,0.00210570271845103,0.000789483445737633,-0.000321334451815446,-0.000872788107097987,-0.00231592622589228,0.016160815522617,-0.0173371147006699,-0.00772971216784733,-0.0564328847016982,0.00256431693756644,0.000349834446241137,0.000785843013789694,-0.00154627246723161,0.00102822627577333,0.0014784912972761
"sys",-0.000203093072993672,0.000779137519469219,-0.000182253785307384,-0.000223914646501239,0.000717839308973137,0.000408293779645999,-0.00044317633245923,0.000924157835595989,0.00118699601981128,-2.21688250022203e-06,0.000464805448036245,0.000971809843532404,-0.00105920107140376,0.00141842779235346,0.00102540868274904,-0.000181808834371556,0.000147513698513085,-0.00169543249944796,0.00256431693756644,-0.0567907554591887,0.000337236295435182,0.000483953758047168,0.00231387530347801,0.000844829045503115,0.00239491660949204
"dias",-0.00104243680765414,-0.000604999130930476,-0.00126067459005759,0.000102117144061472,-0.00127203994383008,-0.000453030236013577,9.41517078839313e-05,0.00264254102569214,0.00237173828197883,0.00202780504624936,8.50542216055304e-05,-0.000292149893762319,0.00257171612372015,-0.00191035418590145,0.000656913292034057,0.000691878503674767,0.000636675695373877,-0.00256927360426653,0.000349834446241137,0.000337236295435182,-0.0564968407396109,0.000787444125872804,-0.00122744452490298,0.000363301784806883,-0.00151633125938865
"pulse",-4.3339268731261e-05,0.00230359359548123,0.00171230884857693,-0.00151276913940388,0.000452293123625526,-0.000392412319225262,-0.00100565581222681,-0.00103840537869543,-0.000900751181087635,0.00108917480697028,0.00125675022140731,0.00145434662689715,-0.00177075258885179,0.000177446370753023,-0.000224431421760822,-0.000452193592323798,-0.000478217727790592,-0.00127162753853321,0.000785843013789695,0.000483953758047167,0.000787444125872804,-0.0552540709380572,0.00160821325537187,-0.000202496088210326,0.000608676078565657
"fib",-0.00252454141376552,0.00293044707242667,-0.00187274580259735,-0.000792573920886191,0.000220105385371186,0.00134562728306206,-0.0037516170725594,-0.00155388903545124,-0.00160256139245397,0.00418181074492322,0.00104088633845664,0.000331295586020886,-6.11679347537656e-05,0.00099813067450873,0.000601189151954051,-0.00246680789586265,-0.00179806388048138,-0.000341102488802394,-0.00154627246723161,0.00231387530347801,-0.00122744452490298,0.00160821325537187,-0.0538369163344359,0.00175981569981535,-0.000142528125548243
"igf1",-1.22030215488413e-05,-0.000353282127641353,-0.00155450484086812,0.00136306142979997,-0.00213074028153202,-0.0010262334873375,-0.00353474805262058,0.00203179918409959,0.00250527588292875,-0.0036077150817041,7.41407927871492e-05,-0.000491194040439672,-0.00112827001089593,-5.17684361084785e-05,0.00139640178268781,0.000116914709444562,-0.000141283073964946,-4.78952019976842e-06,0.00102822627577333,0.000844829045503115,0.000363301784806883,-0.000202496088210325,0.00175981569981535,-0.049943190271209,0.00140241664097178
"wbc",-4.76601374733113e-05,0.00165778692411905,-8.31926412212198e-05,0.000188236683918583,0.00157449633357834,0.00091535540608577,0.00200535458694175,0.000257878819512847,-0.000270820143627029,0.00116600775751863,0.00263937836449596,-0.00123710282900437,0.000818720904633307,-0.00109717199163253,0.000824591600333828,-0.00185530734952172,-0.00216754722230486,-0.000226872004171406,0.0014784912972761,0.00239491660949204,-0.00151633125938865,0.000608676078565657,-0.000142528125548243,0.00140241664097178,-0.0484709571272975
