"","vitd","srh","eye","hear","FI.ADL","FI.IADL","gait.speed","grip.ndom","grip.dom","crp","hba1c","glucose","hgb","mch","fer","chol","ldl","hdl","trig","sys","dias","pulse","fib","igf1","wbc"
"vitd",0.00423386620345608,0.00168422298162704,0.00115791560866691,0.000886671071223715,0.00176714409297528,0.00151489963710885,0.00145545600921275,0.000779966200690482,0.000760565168695226,0.00168855021474176,0.00138111430372382,0.00138402281311443,0.00134700969198419,0.0020219993682602,0.00112113578261819,0.0004317228843748,0.0010157523051455,0.00139557218531836,0.00147687947978203,0.0013458090394154,0.00147029859285585,0.00081243564133029,0.00128009409198043,0.00157104259082029,0.00142576568657812
"srh",0.00168422298162704,0.00413380105248485,0.0015037753179316,0.00106991609038439,0.00121314302240304,0.00270261586892138,0.00254995077315613,0.00116987596276647,0.00114421597305176,0.00143796801996754,0.000838346994602395,0.00107728753874925,0.00316071974708622,0.00100689765916865,0.00199378776096528,0.000543934600669408,0.000722362054232714,0.00139070198806639,0.00141695896595576,0.000834164652037853,0.0008023219249676,0.00109415180359022,0.00139460700004742,0.00283710631325481,0.00198381568285719
"eye",0.00115791560866691,0.0015037753179316,0.00422916565107048,0.00326146516897247,0.00119813403068331,0.00150243971703194,0.000988138100517209,0.00131842361549393,0.00132461890615268,0.00111776397938982,0.00178418744224451,0.0016040802990539,0.00146530663124956,0.00120527053609194,0.00262078772577285,0.000677966743865073,0.000985324851198138,0.00191203896646296,0.00219684340217748,0.000824226349548344,0.000670644402832225,0.00191978393724252,0.00156659194900167,0.00146842370358704,0.00102895857352496
"hear",0.000886671071223715,0.00106991609038439,0.00326146516897249,0.00277116357502319,0.0011753572350099,0.00153071177314848,0.000824890626867764,0.00132775078840485,0.00131425852507806,0.00124379996589366,0.00155135662673025,0.00151282138053155,0.00134115772998216,0.00116222206694006,0.00236727087730208,0.000751728587543416,0.000950071188690588,0.00159210931070049,0.0020741233103515,0.000691651612689418,0.000771392623137416,0.00156748730533216,0.00156391624188927,0.00124758667048622,0.00077627353867306
"FI.ADL",0.00176714409297528,0.00121314302240304,0.00119813403068331,0.0011753572350099,0.00368298521645651,0.0026007256505648,0.000903821717319912,0.000623305400784687,0.000614465008773077,0.00170814889516844,0.00169571122843721,0.00173242213893086,0.00116960528587795,0.00225363591396107,0.00102315992209134,0.000377110417862539,0.000692563364399224,0.000820068947278756,0.000972861694390216,0.00143450970734912,0.00165329948047632,0.000803062443767025,0.00166139364258048,0.00130955877338887,0.00117024621274562
"FI.IADL",0.00151489963710885,0.00270261586892137,0.00150243971703195,0.00153071177314848,0.0026007256505648,0.00267444749033755,0.00142770770633835,0.00098760673468091,0.000958485454651198,0.00150341330162391,0.00145335860199915,0.00142510435487028,0.00196285548325484,0.00164948806647336,0.00159409658215815,0.000520738087504881,0.000600032462150476,0.00105049128362693,0.00102392748344516,0.00108178774453719,0.00128784443203384,0.00107502904022124,0.00142813959359571,0.00178148531669743,0.00151333744270212
"gait.speed",0.00145545600921275,0.00254995077315613,0.000988138100517205,0.000824890626867765,0.000903821717319916,0.00142770770633835,0.0041472188935873,0.00147326721074988,0.0014387516660706,0.00100310100535242,0.000718894777522904,0.000809355626674276,0.00250093228302984,0.000739954188859538,0.00173116876883546,0.000420257805524631,0.000649376449994522,0.00110826385820171,0.00116206662559124,0.000896941657492895,0.000973798440432867,0.000872023850417755,0.000978709042005411,0.00257300545642985,0.00169281080150474
"grip.ndom",0.000779966200690483,0.00116987596276647,0.00131842361549393,0.00132775078840485,0.000623305400784685,0.00098760673468091,0.00147326721074988,0.00180515101933495,0.00182259938620484,0.000623170731712573,0.00071501437832783,0.000672754055450021,0.00131445944620583,0.000665692782168101,0.00129616209335615,0.000470093613006304,0.00057914236557248,0.000744351772516841,0.000891619388740196,0.000587629828177351,0.000545405392054276,0.00112683132142065,0.00084882126691113,0.00110561225632275,0.000773135906955626
"grip.dom",0.000760565168695226,0.00114421597305176,0.00132461890615268,0.00131425852507806,0.000614465008773076,0.000958485454651198,0.0014387516660706,0.00182259938620493,0.00183237554345149,0.00063766650029367,0.000658016449261029,0.000648211748174481,0.00133191570858187,0.000624729305629571,0.00133736164881287,0.00050352309446901,0.000604910867235738,0.00076323954792378,0.000910023668286808,0.000560116665584293,0.000540832517244216,0.00114677267980033,0.000791381024957097,0.00117470324383303,0.000769131018754345
"crp",0.00168855021474176,0.00143796801996754,0.00111776397938982,0.00124379996589366,0.00170814889516844,0.00150341330162391,0.00100310100535242,0.000623170731712573,0.00063766650029367,0.00195639885915817,0.00140056829532815,0.00132869544456605,0.0012466576702634,0.00139191468085709,0.000943148007570089,0.000618602561688633,0.000679625469566565,0.000915894262377334,0.000833771593049639,0.00101258192913395,0.0011661144884237,0.000918731044451915,0.00170999258809033,0.00147704428876654,0.000903608243112139
