"","mu0","age","sex"
"vitd",0.0926997302789467,0.00124720655213077,0.026353332210076
"srh",0.131892829790354,0.00160584878738522,0.0318934641174936
"eye",0.159250154686724,0.00207853552584265,0.0362724227055983
"hear",0.129713075355357,0.00167777660711794,0.0334813349167243
"FI.ADL",0.115072393592399,0.00144249892023919,0.0372249415846603
"FI.IADL",0.149484095773731,0.00202176918054866,0.0461679011093237
"gait.speed",0.115091881725512,0.00150677549589138,0.0310556694443509
"grip.ndom",0.122571536394415,0.00141810733408362,0.0260902149173424
"grip.dom",0.127622547522009,0.00145933795357746,0.0265083425211054
"crp",0.105811590028014,0.00138410769787242,0.0294549526301053
"hba1c",0.145001298873897,0.00181709866716521,0.0327974463671021
"glucose",0.152228682341476,0.00193543650091623,0.0294463057506292
"hgb",0.131758362601526,0.00168867672564183,0.0320639418678822
"mch",0.102963741034227,0.00126814879853469,0.0178643450495203
"fer",0.21501494333286,0.00257934709513675,0.0266386519470277
"chol",0.0945118579858034,0.00120493280659261,0.0292525168926451
"ldl",0.102456548828849,0.00130559530194326,0.0318324102000219
"hdl",0.137548924809391,0.00164648221435977,0.0310972410383809
"trig",0.128867109833821,0.00154972460909935,0.0268724640472774
"sys",0.0995387840720088,0.00129832488525559,0.0231185559440236
"dias",0.0848421286022523,0.00112069431597936,0.0273639213403301
"pulse",0.163611628863281,0.00186073925728918,0.0256522151442058
"fib",0.0903946808234049,0.00119315211391989,0.0220081135655721
"igf1",0.124530663182951,0.00163444099959565,0.0245644449666579
"wbc",0.075765009570592,0.00111089985920696,0.0224024250999392
