"","vitd","srh","eye","hear","FI.ADL","FI.IADL","gait.speed","grip.ndom","grip.dom","crp","hba1c","glucose","hgb","mch","fer","chol","ldl","hdl","trig","sys","dias","pulse","fib","igf1","wbc"
"vitd",0.0187095917796482,-0.00207679358999139,-0.00071730940285546,-0.000207276975102431,-0.00156273940349947,-0.000385852410297087,0.00290017246033831,-1.41190637136275e-05,6.47464045086108e-05,-0.00129212841827341,-0.00055068769701474,-0.000107478008738007,-0.00101237989043181,-0.000535021851748702,0.000157333268911412,-0.00138818421215063,-0.00119708053954255,0.00184477090143358,-0.00361247294252238,-0.00226629423119333,-0.00229689740818,-0.0024206673455956,-0.000942304982871434,0.00105768674563807,-0.00102920671679295
"srh",-0.00207679358999139,0.0900867783460548,0.0175578355559763,0.0113062334585255,0.019477787473418,0.0156540651154437,-0.00978103582854516,-0.00440199884556571,-0.00435901365448865,0.00415289038616862,0.00252336382442533,0.00261395477485148,-0.00471113729499177,-0.000138431335740433,0.000178531608311856,-0.00474901040589384,-0.00531137197688578,-0.0021913852244593,0.00156037594087542,-0.00432406980364984,-0.00575155715259975,0.0027718686093129,0.00274250742833844,0.000403974821440131,0.0021080287664856
"eye",-0.00071730940285546,0.0175578355559763,0.137198046641254,0.0241934347801432,0.0117466491223136,0.018985631981349,-0.00453635396877996,-0.003085509065871,-0.00284000964526479,-0.000529849273187021,0.00155164580306313,0.000177115522916728,-0.00138145177991482,0.00070058565560753,-0.000896072872399719,-0.00181446257624537,-0.0019719353101486,-0.000443175477006213,0.000539734148193033,-0.000864476313644862,-0.00226848835727917,-0.00140496068823303,-0.000303903624845991,-0.000835925767624534,0.00101422350069429
"hear",-0.000207276975102431,0.0113062334585255,0.0241934347801432,0.103086703901716,0.00976986230582316,0.0140929556985055,-0.00487653529918158,-0.000708725255357979,-0.000416402837586994,-0.000865316886726909,0.000506542892552713,-0.00019131879754002,-0.00111245723484005,0.000537212811414473,0.000479569246557361,-0.00248483099235181,-0.00243648941322979,5.62357452196132e-05,-0.00183326209564593,-0.000674113022009901,-0.00226184195888751,-0.00192201967013131,-1.66682252337699e-05,-0.000331941408648577,-0.000888026358321364
"FI.ADL",-0.00156273940349947,0.019477787473418,0.0117466491223136,0.00976986230582316,0.0775018608153207,0.0497411616748455,-0.0119511966927443,-0.00603883055990604,-0.00598751349305568,0.00478039124303882,0.00145670201903303,0.00163245502273292,-0.00376975346490634,-0.00107392354732825,0.00018366114531745,-0.00188872569567499,-0.00212555814658301,-0.00184717774054951,0.00166970098235628,-0.00322484165941973,-0.0030434355677307,0.00263054822856894,0.00221226112317576,-0.000488289033447924,0.00117742681562649
"FI.IADL",-0.000385852410297087,0.0156540651154437,0.018985631981349,0.0140929556985055,0.0497411616748455,0.131760685311165,-0.00970730357210679,-0.00492194415736004,-0.00438045718880124,0.00222294558555543,-0.00139753938267245,-0.00131029935168507,-0.00218275319040012,0.000186732759550396,0.000506351659574264,-0.000366547718746552,-0.000392177049210953,-0.0023255811122698,0.00117266965484032,-0.00279220546108112,-0.0022014867240098,0.00220063851440782,0.00108685625297869,0.0014055279802392,0.000453657444753881
"gait.speed",0.00290017246033831,-0.00978103582854516,-0.00453635396877996,-0.00487653529918158,-0.0119511966927443,-0.00970730357210679,0.0642676582295759,0.00484768910677618,0.00433693740166876,-0.00162795597830917,-0.00202039389353318,0.000405484360852434,0.00315295401161382,-0.000145323814753202,0.00121666116595525,0.00476353966422796,0.00487085942815978,0.0020061029172064,-0.000613364549811748,0.00203631168772762,0.00332453559299843,-0.00261689914385746,-0.00325305409750471,0.00185426284406922,-0.00107502357605498
"grip.ndom",-1.41190637136275e-05,-0.00440199884556571,-0.003085509065871,-0.000708725255357979,-0.00603883055990604,-0.00492194415736004,0.00484768910677618,0.0290234800581052,0.0216528811461945,-0.000993834896093767,-0.00261740326846838,-0.00117817656849195,0.0051462565887068,0.000450096682447648,-0.00052189952132649,0.00394195025606347,0.00424599921422136,-0.00132667506249308,0.00234509636943231,0.00391769057510706,0.00544940745009798,-0.000384678529861414,-0.00120230191852497,0.000962998935152925,-6.63618813954449e-05
"grip.dom",6.47464045086108e-05,-0.00435901365448865,-0.00284000964526479,-0.000416402837586994,-0.00598751349305568,-0.00438045718880124,0.00433693740166876,0.0216528811461945,0.029995624424581,-0.00161039836391151,-0.00254850751887124,-0.00118860487307369,0.00523061258839579,0.000357149685533034,-0.000958962460695756,0.00352919433796398,0.00369629869873015,-0.00160606411416992,0.00263234558677894,0.00377881914498236,0.00529458706943587,-0.000304656587287326,-0.00122501969148716,0.00103565306401237,0.000423564082432418
"crp",-0.00129212841827341,0.00415289038616862,-0.000529849273187021,-0.000865316886726909,0.00478039124303882,0.00222294558555543,-0.00162795597830917,-0.000993834896093767,-0.00161039836391151,0.0586707571041183,0.00379871227251308,0.00158595214779369,-0.00299600611085412,-0.00158630014839316,0.00789152051948232,0.00231142464690566,0.00445132832236055,-0.00714242663461882,0.00215333207385601,0.000935386024482066,0.00289343628294372,0.00960664776863707,0.029929785424271,-0.0018852362522233,0.00775683075144208
"hba1c",-0.00055068769701474,0.00252336382442533,0.00155164580306313,0.000506542892552713,0.00145670201903303,-0.00139753938267245,-0.00202039389353318,-0.00261740326846838,-0.00254850751887124,0.00379871227251308,0.0433592053542451,0.0183629670716781,-0.00509354360774035,-0.00314302757528139,7.59237003820871e-05,-0.0050503490398595,-0.00634066424704844,-0.00132211609263091,0.00219786032159119,-0.000905632793607842,-0.00352398498127974,0.00225967574582731,0.00222941471757188,-8.38390744109176e-05,0.00209436474309268
"glucose",-0.000107478008738007,0.00261395477485148,0.000177115522916728,-0.00019131879754002,0.00163245502273292,-0.00131029935168507,0.000405484360852434,-0.00117817656849195,-0.00118860487307369,0.00158595214779369,0.0183629670716781,0.043946286847043,-0.0016266172678196,-0.00119771690953812,0.00333040678944714,-0.00105994678670443,-0.000890856243144309,3.88781181403616e-05,-0.000419007412102563,0.000786728411878239,-0.000100130945226511,0.00370165508384463,-0.00442069672726003,0.00073696126789519,0.000228759125597244
"hgb",-0.00101237989043181,-0.00471113729499177,-0.00138145177991482,-0.00111245723484005,-0.00376975346490634,-0.00218275319040012,0.00315295401161382,0.0051462565887068,0.00523061258839579,-0.00299600611085412,-0.00509354360774035,-0.0016266172678196,0.0515293806621225,0.0114649127599735,0.00586463326963767,0.0151141042956553,0.0158516937891312,-0.000216036495415578,0.00680221359598474,0.00639006358422126,0.0141540024505064,0.00115480131810517,0.00401626319007199,0.00254466492605364,-0.000513289490168161
"mch",-0.000535021851748702,-0.000138431335740433,0.00070058565560753,0.000537212811414473,-0.00107392354732825,0.000186732759550396,-0.000145323814753202,0.000450096682447648,0.000357149685533034,-0.00158630014839316,-0.00314302757528139,-0.00119771690953812,0.0114649127599735,0.033164807409346,0.00686282740125008,0.00138231879297155,0.000985348743601849,0.000116189642659927,0.00207121805810493,-0.000410772649154458,0.000822391665690583,0.000523144684327648,0.000312742032820673,1.57153621868638e-06,-0.00169838276687996
"fer",0.000157333268911412,0.000178531608311856,-0.000896072872399719,0.000479569246557361,0.00018366114531745,0.000506351659574264,0.00121666116595525,-0.00052189952132649,-0.000958962460695756,0.00789152051948232,7.59237003820871e-05,0.00333040678944714,0.00586463326963767,0.00686282740125008,0.0422073056587924,0.0024934367225038,0.00228036106197584,0.000530824310573874,0.000934027024588393,-0.000727616951097593,0.000570719346450948,0.000303514270930363,0.00164788373787079,-0.00109140821172344,0.00038960475461074
"chol",-0.00138818421215063,-0.00474901040589384,-0.00181446257624537,-0.00248483099235181,-0.00188872569567499,-0.000366547718746552,0.00476353966422796,0.00394195025606347,0.00352919433796398,0.00231142464690566,-0.0050503490398595,-0.00105994678670443,0.0151141042956553,0.00138231879297155,0.0024934367225038,0.0610218157084665,0.0597033555307994,0.0118428082794382,0.0182484236577247,0.00937813331995606,0.0144549221830856,0.00254761509083014,-0.00567666877644911,0.00327540771426381,-0.000809343527461556
