"","vitd","srh","eye","hear","FI.ADL","FI.IADL","gait.speed","grip.ndom","grip.dom","crp","hba1c","glucose","hgb","mch","fer","chol","ldl","hdl","trig","sys","dias","pulse","fib","igf1","wbc"
"vitd",0.0412945140687973,-0.00458349664616692,-0.00158408828128245,-0.000457624877531504,-0.00344957418315278,-0.000854721954864718,0.00640112759324737,-3.10248481976538e-05,0.000143061332384857,-0.00285161893942844,-0.00121508616015627,-0.000237162040158694,-0.00223430388507459,-0.00118104611085121,0.000347737066571772,-0.00306343802791932,-0.0026413575852671,0.00407186533491551,-0.00797368471350784,-0.00500224250269099,-0.00506983764668672,-0.00534322893485957,-0.00207929467925832,0.00233389854127715,-0.00227157703762788
"srh",-0.00458349664616692,0.198844508240096,0.0387541942189864,0.0249556411068646,0.0429931947278296,0.0345542503570329,-0.0215899719355353,-0.00971575823145095,-0.00962100514218683,0.00916559353362893,0.00557101346071377,0.00577161472723237,-0.0103969804428734,-0.000303631325597333,0.000393587923743639,-0.0104833150100365,-0.0117248494542185,-0.00483861640567299,0.00344553178073264,-0.00954425693976242,-0.0126950387268953,0.00611872458762793,0.00605301138098505,0.000890723034140513,0.00465386539037393
"eye",-0.00158408828128245,0.0387541942189864,0.302832457937649,0.0534005656714804,0.0259298296511908,0.041908843586205,-0.0100139071078507,-0.00681130857233122,-0.0062682921729791,-0.00117071467995022,0.00342480797470092,0.000391758988235261,-0.00304853054374005,0.00154548231642464,-0.0019786062095131,-0.0040049465237069,-0.00435293509898559,-0.00097852917726675,0.00119191964104211,-0.00190663113873904,-0.00500508392864096,-0.0031002697478153,-0.000670966160309835,-0.00184647447054011,0.00223806443665461
"hear",-0.000457624877531504,0.0249556411068646,0.0534005656714804,0.22753999692792,0.0215665393255253,0.0311093786144937,-0.0107650245736949,-0.00156297137333665,-0.000917991048695381,-0.00190997482556492,0.0011189180258275,-0.00042273788123039,-0.00245563459690249,0.00118635336700325,0.0010596509273729,-0.00548670781735343,-0.00537983586243302,0.00012319911642819,-0.00404652149372357,-0.00148558203203169,-0.00499021173198252,-0.004242047003324,-3.56756017775279e-05,-0.000732727297262748,-0.00195910908586
"FI.ADL",-0.00344957418315278,0.0429931947278296,0.0259298296511908,0.0215665393255253,0.171072344045014,0.109797326585108,-0.0263804250460626,-0.01333026066758,-0.0132168864310638,0.0105510722827683,0.00321368549233243,0.00360184902266337,-0.00832047090210471,-0.00236973432148316,0.00040445499143082,-0.00416822221888677,-0.0046909904248953,-0.00407817805719457,0.00368650287586272,-0.00711745231537274,-0.00671716851474608,0.0058061916522781,0.00488391398301691,-0.00107715254108623,0.00259987711909293
"FI.IADL",-0.000854721954864718,0.0345542503570329,0.041908843586205,0.0311093786144937,0.109797326585108,0.290848748850222,-0.0214292267483764,-0.0108652788894294,-0.00966987575423513,0.00490562140089324,-0.00308409931592084,-0.00289461283876938,-0.00481807985650288,0.000411840807628812,0.00111777767657495,-0.000808281470171754,-0.000864917266232951,-0.00513445346217686,0.00258974604311385,-0.00616329662620879,-0.00486007066968182,0.00485803751159606,0.00239893938229813,0.00310518179364227,0.00100289088010255
"gait.speed",0.00640112759324737,-0.0215899719355353,-0.0100139071078507,-0.0107650245736949,-0.0263804250460626,-0.0214292267483764,0.141855532435881,0.0106997441614017,0.00957251760944833,-0.0035922891175996,-0.00445920297469927,0.00089537680896325,0.00696003630031118,-0.000321004453030984,0.00268563722424942,0.0105144318779412,0.0107513080265263,0.00442688017921421,-0.00135367969925859,0.00449478467888681,0.00733832051304779,-0.00577744768533262,-0.00718042027644595,0.00409251863344966,-0.00237210270091988
"grip.ndom",-3.10248481976538e-05,-0.00971575823145095,-0.00681130857233122,-0.00156297137333665,-0.01333026066758,-0.0108652788894294,0.0106997441614017,0.0640620211590419,0.0477938083306849,-0.0021950110375212,-0.00577715619561086,-0.00260121299144131,0.0113587842866657,0.000993180443008139,-0.00115185805985621,0.00870046481091141,0.00937161040021824,-0.00292792494687154,0.00517614635951288,0.00864755361539918,0.012028455359496,-0.000848146240582544,-0.0026556447371691,0.00212516966942364,-0.000146537216320352
"grip.dom",0.000143061332384857,-0.00962100514218683,-0.0062682921729791,-0.000917991048695381,-0.0132168864310638,-0.00966987575423513,0.00957251760944833,0.0477938083306849,0.0662083725830596,-0.00355584835058159,-0.00562515738372505,-0.00262419065901644,0.0115450595494952,0.000787917801658668,-0.00211642116482091,0.00778951481018431,0.00815798205982367,-0.00354445831148511,0.00581066580947326,0.0083413470395437,0.0116866477107527,-0.000671468285891456,-0.00270509179981009,0.00228533016746426,0.000934309408449927
"crp",-0.00285161893942844,0.00916559353362893,-0.00117071467995022,-0.00190997482556492,0.0105510722827683,0.00490562140089324,-0.0035922891175996,-0.0021950110375212,-0.00355584835058159,0.129500228222054,0.00838446958618093,0.00350057628085005,-0.0066139070918987,-0.00350042438277554,0.0174191699478288,0.00510127500654388,0.00982456711943515,-0.0157630385189085,0.00475037022392819,0.00206379640400006,0.0063859803456143,0.021203615546841,0.0660620070652926,-0.00416096230078018,0.0171206605811586
"hba1c",-0.00121508616015627,0.00557101346071377,0.00342480797470092,0.0011189180258275,0.00321368549233243,-0.00308409931592084,-0.00445920297469927,-0.00577715619561086,-0.00562515738372505,0.00838446958618093,0.0956980489084581,0.0405296819289757,-0.0112433711114092,-0.00693803627689625,0.000167295012810442,-0.0111468948627993,-0.0139944216238176,-0.00291892961502338,0.00485110860467205,-0.00199909648256136,-0.00777755751922934,0.00498681049444447,0.00492079001879547,-0.000185036587858615,0.00462295048390777
"glucose",-0.000237162040158694,0.00577161472723237,0.000391758988235261,-0.00042273788123039,0.00360184902266337,-0.00289461283876938,0.00089537680896325,-0.00260121299144131,-0.00262419065901644,0.00350057628085005,0.0405296819289757,0.0970000087863442,-0.00359055087360192,-0.00264324718752326,0.00735042121329481,-0.00233866631643941,-0.00196572202033086,8.56115580082049e-05,-0.000923414683171227,0.00173742676247343,-0.000220591030547459,0.00817124006043909,-0.00975849218297439,0.00162632442631467,0.000505184803645477
"hgb",-0.00223430388507459,-0.0103969804428734,-0.00304853054374005,-0.00245563459690249,-0.00832047090210471,-0.00481807985650288,0.00696003630031118,0.0113587842866657,0.0115450595494952,-0.0066139070918987,-0.0112433711114092,-0.00359055087360192,0.113739032744165,0.0253077957078301,0.0129452168637852,0.0333623898680433,0.0349901556589276,-0.000475303926860139,0.0150143098064327,0.0141047044880739,0.0312422887071923,0.00254959415257707,0.00886470395040957,0.0056163871617,-0.00113287285556489
"mch",-0.00118104611085121,-0.000303631325597333,0.00154548231642464,0.00118635336700325,-0.00236973432148316,0.000411840807628812,-0.000321004453030984,0.000993180443008139,0.000787917801658668,-0.00350042438277554,-0.00693803627689625,-0.00264324718752326,0.0253077957078301,0.0732069259579726,0.0151472974513275,0.00305207688067021,0.00217523010511656,0.00025743806958395,0.00457157056318073,-0.000906663101761386,0.00181623091351566,0.00115592657492057,0.000692025944035288,3.39922700832137e-06,-0.0037469388531962
"fer",0.000347737066571772,0.000393587923743639,-0.0019786062095131,0.0010596509273729,0.00040445499143082,0.00111777767657495,0.00268563722424942,-0.00115185805985621,-0.00211642116482091,0.0174191699478288,0.000167295012810442,0.00735042121329481,0.0129452168637852,0.0151472974513275,0.0931605436458689,0.00550472019472278,0.00503401849893802,0.00117304700678373,0.00206098295478889,-0.00160421172093589,0.00126151433383131,0.000670163242051044,0.00363744779924844,-0.00240851915528626,0.000860798568499841
"chol",-0.00306343802791932,-0.0104833150100365,-0.0040049465237069,-0.00548670781735343,-0.00416822221888677,-0.000808281470171754,0.0105144318779412,0.00870046481091141,0.00778951481018431,0.00510127500654388,-0.0111468948627993,-0.00233866631643941,0.0333623898680433,0.00305207688067021,0.00550472019472278,0.134688570450219,0.131778690343381,0.0261399837236814,0.0402772987112041,0.0206998515793892,0.0319069279045405,0.00562480036738879,-0.0125307185565182,0.00723018700434106,-0.00178730209835301
"ldl",-0.0026413575852671,-0.0117248494542185,-0.00435293509898559,-0.00537983586243302,-0.0046909904248953,-0.000864917266232951,0.0107513080265263,0.00937161040021824,0.00815798205982367,0.00982456711943515,-0.0139944216238176,-0.00196572202033086,0.0349901556589276,0.00217523010511656,0.00503401849893802,0.131778690343381,0.152573332581002,0.00716933180425889,0.0158518810939559,0.0168405060858158,0.029796141910603,-0.000176653976543744,-0.00604706575125179,0.00642795526835644,-0.00492923264998124
"hdl",0.00407186533491551,-0.00483861640567299,-0.00097852917726675,0.00012319911642819,-0.00407817805719457,-0.00513445346217686,0.00442688017921421,-0.00292792494687154,-0.00354445831148511,-0.0157630385189085,-0.00291892961502338,8.56115580082049e-05,-0.000475303926860139,0.00025743806958395,0.00117304700678373,0.0261399837236814,0.00716933180425889,0.0924002013790437,-0.0340543886336215,0.0119564010024437,0.00983417229840305,-0.00164071239039152,-0.0190467550186819,0.00452137978030192,-0.00438197168383931
"trig",-0.00797368471350784,0.00344553178073264,0.00119191964104211,-0.00404652149372357,0.00368650287586272,0.00258974604311385,-0.00135367969925859,0.00517614635951288,0.00581066580947326,0.00475037022392819,0.00485110860467205,-0.000923414683171227,0.0150143098064327,0.00457157056318073,0.00206098295478889,0.0402772987112041,0.0158518810939559,-0.0340543886336215,0.118352169309204,0.00877954044839951,0.0107071743223233,0.0197556218695945,-0.000994438417386026,0.0020681862754567,0.0125698251964223
"sys",-0.00500224250269099,-0.00954425693976242,-0.00190663113873904,-0.00148558203203169,-0.00711745231537274,-0.00616329662620879,0.00449478467888681,0.00864755361539918,0.0083413470395437,0.00206379640400006,-0.00199909648256136,0.00173742676247343,0.0141047044880739,-0.000906663101761386,-0.00160421172093589,0.0206998515793892,0.0168405060858158,0.0119564010024437,0.00877954044839951,0.203811881486302,0.135538668819351,-0.0173399904851044,-0.00151027618441946,-0.00215149957074022,0.00152847470829844
"dias",-0.00506983764668672,-0.0126950387268953,-0.00500508392864096,-0.00499021173198252,-0.00671716851474608,-0.00486007066968182,0.00733832051304779,0.012028455359496,0.0116866477107527,0.0063859803456143,-0.00777755751922934,-0.000220591030547459,0.0312422887071923,0.00181623091351566,0.00126151433383131,0.0319069279045405,0.029796141910603,0.00983417229840305,0.0107071743223233,0.135538668819351,0.198960058956449,0.031053642804659,0.00212489737100691,0.00267235171351846,0.00148623040024045
"pulse",-0.00534322893485957,0.00611872458762793,-0.0031002697478153,-0.004242047003324,0.0058061916522781,0.00485803751159606,-0.00577744768533262,-0.000848146240582544,-0.000671468285891456,0.021203615546841,0.00498681049444447,0.00817124006043909,0.00254959415257707,0.00115592657492057,0.000670163242051044,0.00562480036738879,-0.000176653976543744,-0.00164071239039152,0.0197556218695945,-0.0173399904851044,0.031053642804659,0.195260003342352,0.0130316042805538,0.000438171634045008,0.0165207498522543
"fib",-0.00207929467925832,0.00605301138098505,-0.000670966160309835,-3.56756017775279e-05,0.00488391398301691,0.00239893938229813,-0.00718042027644595,-0.0026556447371691,-0.00270509179981009,0.0660620070652926,0.00492079001879547,-0.00975849218297439,0.00886470395040957,0.000692025944035288,0.00363744779924844,-0.0125307185565182,-0.00604706575125179,-0.0190467550186819,-0.000994438417386026,-0.00151027618441946,0.00212489737100691,0.0130316042805538,0.124767645708298,0.00126860041200687,0.00908958492487393
"igf1",0.00233389854127715,0.000890723034140513,-0.00184647447054011,-0.000732727297262748,-0.00107715254108623,0.00310518179364227,0.00409251863344966,0.00212516966942364,0.00228533016746426,-0.00416096230078018,-0.000185036587858615,0.00162632442631467,0.0056163871617,3.39922700832137e-06,-0.00240851915528626,0.00723018700434106,0.00642795526835644,0.00452137978030192,0.0020681862754567,-0.00215149957074022,0.00267235171351846,0.000438171634045008,0.00126860041200687,0.0528624376025502,0.000287411268084104
"wbc",-0.00227157703762788,0.00465386539037393,0.00223806443665461,-0.00195910908586,0.00259987711909293,0.00100289088010255,-0.00237210270091988,-0.000146537216320352,0.000934309408449927,0.0171206605811586,0.00462295048390777,0.000505184803645477,-0.00113287285556489,-0.0037469388531962,0.000860798568499841,-0.00178730209835301,-0.00492923264998124,-0.00438197168383931,0.0125698251964223,0.00152847470829844,0.00148623040024045,0.0165207498522543,0.00908958492487393,0.000287411268084104,0.0833807652719939
