"","vitd","srh","eye","hear","FI.ADL","FI.IADL","gait.speed","grip.ndom","grip.dom","crp","hba1c","glucose","hgb","mch","fer","chol","ldl","hdl","trig","sys","dias","pulse","fib","igf1","wbc"
"vitd",0.0021750627331933,0.00131689271099827,0.0020841848410155,0.00161813663641239,0.00145307646356139,0.00167985173223001,0.00109769304704783,0.000628288606724735,0.000611315015923333,0.000917684845886353,0.00076421052749019,0.000723569041285751,0.000804765618277569,0.000706973215908388,0.000731228962276046,0.000880794398800602,0.000959643050096495,0.00086869341760129,0.00102346224917836,0.0012490953619616,0.00120910181252402,0.00132708498097316,0.000931270647196571,0.000723875075433787,0.000807508963462831
"srh",0.00131689271099827,0.0027251767547747,0.00205637427495556,0.00153836549412001,0.00166519458097512,0.00242177176632865,0.00149558019422382,0.00104581713741811,0.00107465030024839,0.00151762806769333,0.00139542664940321,0.00169929264687995,0.00143528369094894,0.00135482921691822,0.00133252784127283,0.00137138001768162,0.00145260203024434,0.00123108164518643,0.00117687378800414,0.00165307903530331,0.0018097080388555,0.00199284048412385,0.00138255176225409,0.00113008981140319,0.00131221228966699
"eye",0.0020841848410155,0.00205637427495556,0.00476852504397307,0.00253008580938358,0.00210124090034551,0.0033164086540815,0.00165926437769811,0.00118024910527395,0.00130150659236829,0.00162577988543755,0.00177147460162674,0.00217226193295196,0.00183776960558633,0.00177397124071309,0.00167822122472925,0.00180625676945734,0.00185510355367107,0.00127592786157773,0.00183495916978972,0.00209436843176781,0.00198278932348066,0.00232275492718558,0.00168849337212604,0.00167208432684637,0.00190434258144098
"hear",0.00161813663641239,0.00153836549412001,0.00253008580938358,0.00362019342264167,0.0016360789007982,0.00276310508659741,0.00164384448271676,0.00104178519856483,0.00118589178959352,0.00144052021208963,0.00133382065396094,0.00181922606936751,0.00147310510470305,0.00152222960436823,0.00124971681392058,0.00153214886530172,0.00149276466184745,0.00129206477985258,0.00132750144842862,0.00199670748886608,0.00194955402320439,0.00197378209063863,0.00146965121844073,0.00132523394024399,0.00151190920901647
"FI.ADL",0.00145307646356139,0.00166519458097512,0.00210124090034551,0.0016360789007982,0.00373818114529861,0.00432177289194773,0.00144791712288277,0.000973025110559701,0.00106091603462198,0.00127254916569087,0.00105446313225324,0.00193667907678693,0.0012848109323501,0.00120386765233894,0.00111720882792476,0.00114128812605095,0.00124954031666798,0.000949061960279157,0.00109802194477811,0.00162444594772143,0.00164247501242914,0.00160195121622735,0.00138028617639029,0.00118881705687037,0.00138785307730639
"FI.IADL",0.00167985173223001,0.00242177176632865,0.0033164086540815,0.00276310508659741,0.00432177289194773,0.0108949265833611,0.00164621176542518,0.00123610926785003,0.0012950580588652,0.00187926765581354,0.00175986704827721,0.00216504085590418,0.00159164051668924,0.00203856554614977,0.00150360484374572,0.00132523764237359,0.00144931897239109,0.00134716845373123,0.00127323806552517,0.00170556115371804,0.0020521669466553,0.00180207480300645,0.00163459138741299,0.00152745392188134,0.00146962736289676
"gait.speed",0.00109769304704783,0.00149558019422382,0.00165926437769811,0.00164384448271676,0.00144791712288277,0.00164621176542518,0.0026860497478844,0.000811013224671635,0.000840888740923507,0.00117339079085988,0.00102398976082875,0.00114924770037176,0.00113296335561032,0.00112747697912699,0.00110683277851965,0.00100697872649775,0.00105922636570312,0.00108215108164879,0.00109993771384673,0.00138129021565523,0.00136438705879203,0.00120606166421438,0.00120227371218119,0.000851673957158851,0.00101406975370798
"grip.ndom",0.000628288606724735,0.00104581713741811,0.00118024910527395,0.00104178519856483,0.000973025110559701,0.00123610926785003,0.000811013224671635,0.00136847202233678,0.0011804646121027,0.000955666972039411,0.000713082329122515,0.000877117858477705,0.000753096910231154,0.000621817143514487,0.000662461783422193,0.000838040236769147,0.000900012472586442,0.000716402199923439,0.000753700143888601,0.00100000523576651,0.000995181335291226,0.000970714414201583,0.000826803509848162,0.000544648033243104,0.000629431105424117
"grip.dom",0.000611315015923333,0.00107465030024839,0.00130150659236829,0.00118589178959352,0.00106091603462198,0.0012950580588652,0.000840888740923507,0.0011804646121027,0.00148829639119883,0.000965871850044001,0.000675218339308421,0.000894893751775454,0.000855898044966305,0.000567355787727686,0.000659119902814088,0.000881310280751613,0.000960301728662647,0.000778318981460284,0.000803720211326219,0.00108602015508386,0.00105666952149193,0.00109274599098658,0.0008069552050197,0.000584896556123885,0.000806809888978042
"crp",0.000917684845886353,0.00151762806769333,0.00162577988543755,0.00144052021208963,0.00127254916569087,0.00187926765581354,0.00117339079085988,0.000955666972039411,0.000965871850044001,0.00365592587424196,0.00115514073752963,0.00147083735052975,0.00151350127241638,0.00113561980562983,0.00145001664597285,0.00156887925921771,0.0015685139944361,0.00156317294024224,0.0013637939335343,0.00154862641018889,0.00139960216459795,0.00173909660733046,0.00284829836313952,0.000928972227492848,0.00173511853915494
