"","vitd","srh","eye","hear","FI.ADL","FI.IADL","gait.speed","grip.ndom","grip.dom","crp","hba1c","glucose","hgb","mch","fer","chol","ldl","hdl","trig","sys","dias","pulse","fib","igf1","wbc"
"vitd",0.00101262106224297,0.000597245359568086,0.000944103352786912,0.000733123471560805,0.00065830087457924,0.000760192539248665,0.000497826223499217,0.000284228395193225,0.000276735193539362,0.000416996572817921,0.000346449824112635,0.000328049941310477,0.000365363393515717,0.000320409364512408,0.000331265511583309,0.000399974566384246,0.000435511096849738,0.000394137192198645,0.000464344247928805,0.000565498325873993,0.000546730890336426,0.000601306487140318,0.000422463451749567,0.000329307466504314,0.000365841037858774
"srh",0.000597245359568086,0.00137040892215283,0.000944717673366323,0.00070182895290234,0.000757068779378372,0.00109078571304623,0.000677093411379115,0.000477119054904087,0.000489531590263039,0.000690502439670589,0.000628770252770255,0.000767297659339925,0.000655698709466888,0.000614232802255912,0.000603120298937504,0.000618429983181972,0.000654349995280796,0.000555011226623439,0.00053217193195522,0.000749585706090699,0.000820406734781561,0.000902519072713862,0.00062740024002407,0.000512088968162391,0.000592938331308681
"eye",0.000944103352786912,0.000944717673366323,0.00230373311126343,0.00116199161902211,0.000943916894837695,0.00149149653096798,0.000750888140084702,0.000532857641832343,0.000590508105154586,0.000735843367328015,0.000802996823508263,0.000983206935691217,0.000834104796029132,0.000803263419699113,0.000758478648249832,0.000816705767522435,0.000838548356329864,0.000577750534378895,0.000831318652324383,0.00095119981846658,0.000899750411857772,0.00105254048545229,0.000765593139529596,0.000757700146613751,0.000862444514788978
"hear",0.000733123471560805,0.00070182895290234,0.00116199161902211,0.00173841842676609,0.000733248816456651,0.00124358166051523,0.000741859294840184,0.000472627067100824,0.000537930860877768,0.000653292782703996,0.000604302637372141,0.000825647133742488,0.000667577138843389,0.00068890065594134,0.000564968153752146,0.000690423889030845,0.00067301574493475,0.000584012012491151,0.000601285631247456,0.000905597027873533,0.000885827605087688,0.000895711842325002,0.00066698473024953,0.000601184915475955,0.000686787426307865
"FI.ADL",0.00065830087457924,0.000757068779378372,0.000943916894837695,0.000733248816456651,0.00164538056064923,0.00191736404979141,0.000651823761290712,0.000436113395486387,0.000477237575573998,0.000579685805172117,0.000479862217265495,0.000879267913959741,0.00058238894515511,0.000546232360118325,0.00050584804135076,0.000517922278561555,0.000566743693551717,0.00042817286857409,0.000495406713239732,0.000736608307471888,0.000743633198525833,0.000725316302262617,0.000623757031405772,0.000538171426985364,0.000627417751293508
"FI.IADL",0.000760192539248665,0.00109078571304623,0.00149149653096798,0.00124358166051523,0.00191736404979141,0.00477545788186949,0.000731911650940583,0.000556182159102587,0.000583705683419039,0.000852964104693682,0.000798301134779184,0.000978454809696215,0.000719936951280999,0.000923272276480629,0.000681164969046009,0.000600104335689755,0.000656022591783472,0.000608810408335257,0.000576591308480958,0.000771908624939859,0.000927628773730186,0.000816234205686464,0.000739481584475425,0.000688154943499085,0.000664003081482171
"gait.speed",0.000497826223499217,0.000677093411379115,0.000750888140084702,0.000741859294840184,0.000651823761290712,0.000731911650940583,0.00127939105565722,0.000370980043212768,0.000383346488353519,0.000532963659105392,0.000464465966305571,0.000521215988891799,0.000512186224865063,0.000510789202994618,0.00050181897626419,0.000457535398025375,0.000481178914734887,0.000492349338808193,0.000498253927779737,0.00062556928478648,0.000617587421774852,0.000544267222781768,0.000544898078112346,0.000386369043267737,0.00045928609607892
"grip.ndom",0.000284228395193225,0.000477119054904087,0.000532857641832343,0.000472627067100824,0.000436113395486387,0.000556182159102587,0.000370980043212768,0.000651856247419727,0.000546190765105046,0.000431545293803722,0.000323756510339022,0.000396929512655515,0.000344665176375298,0.00028177959892285,0.000300205028660573,0.000382696764680176,0.000410760614054994,0.000325112754201349,0.000342384938813264,0.000452541837010679,0.000450391603185822,0.000440066684308347,0.00037109231493191,0.00024780397996516,0.000285339271394576
"grip.dom",0.000276735193539362,0.000489531590263039,0.000590508105154586,0.000537930860877768,0.000477237575573998,0.000583705683419039,0.000383346488353519,0.000546190765105046,0.000694698283620693,0.000435281986433466,0.000306536680281552,0.00040490321771084,0.000390382868854149,0.000257443052893908,0.00029904008229954,0.000401401833830412,0.000438737149926294,0.000353654935455069,0.00036350535530106,0.00049092554986073,0.000479618021634983,0.000495061228489073,0.000363468523169617,0.000266009619911384,0.000366324948482014
"crp",0.000416996572817921,0.000690502439670589,0.000735843367328015,0.000653292782703996,0.000579685805172117,0.000852964104693682,0.000532963659105392,0.000431545293803722,0.000435281986433466,0.00171816340209216,0.000525030495770332,0.000666134840231413,0.000683127069754425,0.000516192454983527,0.000656590418287753,0.000710936596201917,0.0007122451085531,0.000719373884013249,0.000622279091472755,0.000702036402792535,0.00063527528138124,0.000795067196045646,0.00131399276561684,0.000421409856472494,0.000789672322890471
"hba1c",0.000346449824112635,0.000628770252770255,0.000802996823508263,0.000604302637372141,0.000479862217265495,0.000798301134779184,0.000464465966305571,0.000323756510339022,0.000306536680281552,0.000525030495770332,0.00314116179554782,0.00264370315485951,0.000674006919226871,0.000435750823715232,0.000609916289821907,0.000692894623340077,0.000734364742571786,0.000447707813814182,0.000569468017186152,0.000500902409052951,0.000549246514127112,0.000720560786467014,0.00050129238544213,0.000367249388956269,0.000394445137816729
"glucose",0.000328049941310477,0.000767297659339925,0.000983206935691217,0.000825647133742488,0.000879267913959741,0.000978454809696215,0.000521215988891799,0.000396929512655515,0.00040490321771084,0.000666134840231413,0.00264370315485951,0.00433424980708554,0.000709958962588578,0.000511874915168071,0.000515210669752587,0.000574646863087409,0.000706298054491626,0.000543803712770938,0.000497092289499338,0.000839936298801024,0.000721420347403527,0.000733870787639126,0.000528372636368275,0.000464329926557763,0.000442860925410333
"hgb",0.000365363393515717,0.000655698709466888,0.000834104796029132,0.000667577138843389,0.00058238894515511,0.000719936951280999,0.000512186224865063,0.000344665176375298,0.000390382868854149,0.000683127069754425,0.000674006919226871,0.000709958962588578,0.00135608201564119,0.000980920546715559,0.000814265861266502,0.000593718285471499,0.000611221596325274,0.000494549316634053,0.000547289078393356,0.000708115284836962,0.000685971226479972,0.00063888686376807,0.000690187357428642,0.000420849609142267,0.00052241253590827
"mch",0.000320409364512408,0.000614232802255912,0.000803263419699113,0.00068890065594134,0.000546232360118325,0.000923272276480629,0.000510789202994618,0.00028177959892285,0.000257443052893908,0.000516192454983527,0.000435750823715232,0.000511874915168071,0.000980920546715559,0.00816569414582633,0.000674084908235208,0.000445978432794194,0.000458541498901127,0.000425486440904582,0.000449071425789181,0.000409412414066485,0.000560583743503539,0.000784451484344122,0.000566352643738493,0.000390313830094917,0.00055194458360013
"fer",0.000331265511583309,0.000603120298937504,0.000758478648249832,0.000564968153752146,0.00050584804135076,0.000681164969046009,0.00050181897626419,0.000300205028660573,0.00029904008229954,0.000656590418287753,0.000609916289821907,0.000515210669752587,0.000814265861266502,0.000674084908235208,0.00113707616835396,0.000494348582095732,0.000545447887332448,0.00049698123257918,0.000516624995329247,0.000576645771840057,0.000605794886328843,0.000541700977677945,0.000587605573160622,0.000425644363823412,0.000452723534997062
"chol",0.000399974566384246,0.000618429983181972,0.000816705767522435,0.000690423889030845,0.000517922278561555,0.000600104335689755,0.000457535398025375,0.000382696764680176,0.000401401833830412,0.000710936596201917,0.000692894623340077,0.000574646863087409,0.000593718285471499,0.000445978432794194,0.000494348582095732,0.001475838684496,0.00144394551114596,0.000528908055687757,0.00076737108796399,0.000714578229929152,0.000718629583891364,0.000727851187369049,0.000602578833193692,0.00039151884404119,0.000462368303088077
"ldl",0.000435511096849738,0.000654349995280796,0.000838548356329864,0.00067301574493475,0.000566743693551717,0.000656022591783472,0.000481178914734887,0.000410760614054994,0.000438737149926294,0.0007122451085531,0.000734364742571786,0.000706298054491626,0.000611221596325274,0.000458541498901127,0.000545447887332448,0.00144394551114596,0.0015777710242953,0.000579274238972119,0.000639414507038398,0.000745394022925398,0.000753234010175355,0.00075586307343205,0.000607960083363877,0.000416518616857338,0.000502129305512627
