"","vitd","srh","eye","hear","FI.ADL","FI.IADL","gait.speed","grip.ndom","grip.dom","crp","hba1c","glucose","hgb","mch","fer","chol","ldl","hdl","trig","sys","dias","pulse","fib","igf1","wbc"
"vitd",0.879454229743072,-0.0874318233456024,-0.0500615176155273,-0.0313803007124862,-0.119250757781051,-0.0639057398137296,0.0968159208983416,0.0294466244270487,0.0223054436680884,-0.0784657680212652,-0.0868604454103036,-0.0847758508702285,-0.00802828355361391,0.0252951807629131,0.000255363125735973,-0.0537223823167523,-0.0476884230516823,0.148197927892849,-0.198712757820226,-0.0651563836882299,-0.0365073195180727,-0.0662004064319648,-0.0399045301435766,0.0684857047383316,-0.0946153411563006
"srh",-0.0874318233456024,0.919603938616713,0.335159421458375,0.240051602002762,0.548198236575057,0.412359619085417,-0.345134405605838,-0.161275036015408,-0.17231437667968,0.192336064813204,0.148976906071122,0.0679989668481258,-0.154644118461209,-0.0286403859455565,-0.0998840027422962,-0.159807038079632,-0.171256514836693,-0.141469161461343,0.0968007186325629,0.00531973097842809,-0.1141233714862,0.108023931651407,0.114369963016841,-0.0386993762691535,0.112975245284657
"eye",-0.0500615176155273,0.335159421458375,1.0571352750081,0.262159415755393,0.325663203639652,0.390686889661985,-0.210264399440274,-0.146864553038047,-0.152428446621097,0.0917284419871305,0.0767861085766626,-0.0231429683884372,-0.0972504000766811,-0.0496291375985761,-0.0678889311909489,-0.0743640264515581,-0.0849476226208514,-0.0578708413406675,0.0588066635612649,0.0258572329982564,-0.0715012004385608,0.0220337983571606,0.0355657958009035,-0.0351232746274011,0.034029635527174
"hear",-0.0313803007124862,0.240051602002762,0.262159415755393,0.945043434301419,0.206191007180141,0.227029419076762,-0.142726906232963,0.0194483644300151,0.0177142605676685,0.0399597991434451,0.00617201433967184,0.0348913483331369,-0.0217248347932166,0.0258384616938868,0.00394858132609381,-0.113207717527317,-0.111391016991592,-0.0741709758157363,0.0219434007768178,0.0144449779074034,-0.0401017299426799,-0.0145212430111344,0.0144779392483371,-0.00584244234321352,0.014163263014061
"FI.ADL",-0.119250757781051,0.548198236575057,0.325663203639652,0.206191007180141,1.10735082288672,0.836621494985954,-0.431916412914659,-0.295926420902904,-0.30265879055343,0.210457424702056,0.138005787081784,0.054829862357553,-0.227983765806609,-0.034798554702334,-0.137609562612171,-0.0915294641263524,-0.111564418095239,-0.100533949215963,0.111936728292858,-0.0454877512433547,-0.150349330935625,0.123918006627404,0.108617052000453,-0.0862683373833814,0.10077444496303
"FI.IADL",-0.0639057398137296,0.412359619085417,0.390686889661985,0.227029419076762,0.836621494985954,1.41956258324779,-0.29893607970803,-0.199663073571579,-0.206999687759053,0.0924209641085703,0.0499959936311523,0.00891138252385699,-0.134595829648338,-0.0238013725499355,-0.0686922597168816,-0.0819783438422133,-0.0951454541080311,-0.0431919834842234,0.0324176369165133,-0.0411362696761756,-0.119714632695658,0.0752456535209238,0.0489160479561669,-0.0544003892257169,0.0559116145036977
"gait.speed",0.0968159208983416,-0.345134405605838,-0.210264399440274,-0.142726906232963,-0.431916412914659,-0.29893607970803,0.905885745837692,0.245742173817286,0.241863035149926,-0.133361398866165,-0.134014311114671,0.00766369933178736,0.170745994138465,0.0191522022425917,0.0809992723826859,0.157916912421662,0.165233951866619,0.141781064514318,-0.0837813214365178,-0.0219958804397029,0.123199789961033,-0.116181096507563,-0.0902253939492141,0.0773522717620497,-0.0996683894064425
"grip.ndom",0.0294466244270487,-0.161275036015408,-0.146864553038047,0.0194483644300151,-0.295926420902904,-0.199663073571579,0.245742173817286,0.796482303150432,0.741614933434321,-0.0947839514322931,-0.0203640169733058,0.0478041067264589,0.357997258092579,0.0719397582801339,0.143946573348866,-0.0744003246851798,-0.00648691520860644,-0.210457296224903,0.0131236726619762,0.0260613077725564,0.127059417428768,-0.104364925614657,-0.0540779041663079,0.150330638284242,0.0159917030242131
"grip.dom",0.0223054436680884,-0.17231437667968,-0.152428446621097,0.0177142605676685,-0.30265879055343,-0.206999687759053,0.241863035149926,0.741614933434321,0.801912461282201,-0.0923290828831108,-0.0194551767585949,0.0663923781459366,0.359564674803417,0.0791872537182933,0.151909737476697,-0.0728633368697436,-0.00327878524715839,-0.221819028505698,0.0177782814938865,0.0179190068539832,0.128822420870806,-0.107085374264391,-0.059003876869337,0.147529257254349,0.00583312080118552
"crp",-0.0784657680212652,0.192336064813204,0.0917284419871305,0.0399597991434451,0.210457424702056,0.0924209641085703,-0.133361398866165,-0.0947839514322931,-0.0923290828831108,1.06806074055493,0.126788098658816,0.0937178946615178,-0.105416058600542,-0.0792019385392698,0.0822938139918874,0.00545317998795363,0.0459469695876794,-0.206835441281627,0.110771298474335,0.0248532704907945,-0.00371946924677382,0.166490503021323,0.45554826927061,-0.140087733721565,0.253807709001762
"hba1c",-0.0868604454103036,0.148976906071122,0.0767861085766626,0.00617201433967184,0.138005787081784,0.0499959936311523,-0.134014311114671,-0.0203640169733058,-0.0194551767585949,0.126788098658816,1.09728044910182,0.772199003927608,-0.0993393974532983,-0.166195955659386,-0.103701730207738,-0.127015286138903,-0.128577859108805,-0.25958298392805,0.194589116310237,0.0060702992743074,-0.113364577880243,0.114538751183865,0.0556997569866707,-0.0319935688996968,0.183158568913854
"glucose",-0.0847758508702285,0.0679989668481258,-0.0231429683884372,0.0348913483331369,0.054829862357553,0.00891138252385699,0.00766369933178736,0.0478041067264589,0.0663923781459366,0.0937178946615178,0.772199003927608,1.38782005336231,0.0783747704965893,-0.0121408554976511,0.107782326051877,-0.0606202528907583,-0.0482636307228501,-0.191491433544646,0.145929361677809,0.0611073475070882,0.0124298959718876,0.107861799121045,-0.00924807941947873,0.0175723752177243,0.0768668880080154
"hgb",-0.00802828355361391,-0.154644118461209,-0.0972504000766811,-0.0217248347932166,-0.227983765806609,-0.134595829648338,0.170745994138465,0.357997258092579,0.359564674803417,-0.105416058600542,-0.0993393974532983,0.0783747704965893,0.996990527909908,0.233190670541906,0.294350274391108,0.101522452914499,0.139802737115227,-0.0978069025741218,0.0807628885473099,0.0604536491926139,0.235618992382746,-0.096994454209954,-0.0463263049606325,0.200947278349457,0.0623405344164917
