"","x"
"vitd",-0.0321333938889875
"srh",0.0819510192438494
"eye",0.0679515736070055
"hear",0.220481171314958
"FI.ADL",0.0807005548896993
"FI.IADL",0.0870525727385664
"gait.speed",-0.0406885329027691
"grip.ndom",-0.236491042998714
"grip.dom",-0.228081510267109
"crp",-0.270190918304405
"hba1c",0.370586853483191
"glucose",0.0772358262288469
"hgb",-0.33531064069857
"mch",-0.074345477315186
"fer",0.310942820189641
"chol",-0.678638304560541
"ldl",-0.796632707600497
"hdl",0.273494621256157
"trig",-0.323150523565776
"sys",-0.156002382275148
"dias",-0.393038959499272
"pulse",-0.11830966992324
"fib",0.151171895783565
"igf1",-0.289282667406695
"wbc",0.0975203654640059
