"","z01","z02","imz02","z04","z05","z06","z11","baseline_age","log(scale)","log(shape)"
"z01",0.00347036948101657,0.00166263045360917,0.00045077421146969,-8.64146550823615e-05,-0.000492164692947299,0.00125391557883369,-0.000420597316913515,-6.1092009551606e-05,-0.00485837210039498,0.000525238109266178
"z02",0.00166263045360917,0.018092888186318,9.572393628941e-06,0.00106711872963983,-6.65357481136148e-05,0.00268632758034546,8.63055668153039e-05,-0.000170498518906007,-0.0091586766537978,0.000472580213131123
"imz02",0.00045077421146969,9.572393628941e-06,0.000647443426062009,-0.000212992597912006,7.29979684486312e-05,7.78552016418224e-05,2.37873417510504e-05,-1.76025368702759e-05,-0.00126434749022426,4.3238697988947e-06
"z04",-8.64146550823615e-05,0.00106711872963983,-0.000212992597912006,0.00475065814956722,-0.00157887431848935,-0.0014646387117068,-0.000787468030674004,1.2459195117498e-05,0.000603932575084581,-0.000189671198396308
"z05",-0.000492164692947299,-6.65357481136148e-05,7.29979684486312e-05,-0.00157887431848935,0.00276919238464449,-0.00162960978691993,0.000493427240930987,4.20364692049111e-05,0.00304818602347186,-0.000134406413503834
"z06",0.00125391557883369,0.00268632758034546,7.78552016418224e-05,-0.0014646387117068,-0.00162960978691993,0.0164924878871718,0.000885202808879945,-7.01337265326603e-05,-0.00600480975155153,0.000580814033466404
"z11",-0.000420597316913515,8.63055668153039e-05,2.37873417510504e-05,-0.000787468030674004,0.000493427240930987,0.000885202808879945,0.00250097418311403,2.15031892374677e-06,-0.000636928330633486,-5.55408386357521e-05
"baseline_age",-6.1092009551606e-05,-0.000170498518906007,-1.76025368702759e-05,1.2459195117498e-05,4.20364692049111e-05,-7.01337265326603e-05,2.15031892374677e-06,3.05690180551833e-05,0.00138827456645646,-1.59543976675746e-05
"log(scale)",-0.00485837210039498,-0.0091586766537978,-0.00126434749022426,0.000603932575084581,0.00304818602347186,-0.00600480975155153,-0.000636928330633486,0.00138827456645646,0.0752636297656462,-0.00686013861318215
"log(shape)",0.000525238109266178,0.000472580213131123,4.3238697988947e-06,-0.000189671198396308,-0.000134406413503834,0.000580814033466404,-5.55408386357521e-05,-1.59543976675746e-05,-0.00686013861318215,0.00410274554609555
