"","(Intercept)","albumin","pre_creatinine","hemoglobin","chloride","phosphate","pre_urea","wbc","calcium","total_co2","potassium","glucose_r","platelets","magnesium","sodium"
"r2_067",-15.5333163772916,0.468620739191962,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_083",-13.304495963257,0.502508649386194,-0.00478665720581746,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",-7.83877653405717,0.547579666346101,-0.00472964800869121,-0.0665387142652492,0,0,0,0,0,0,0,0,0,0,0
"r2_096",-0.874237530508961,0.546812675175614,-0.00476069994141511,-0.0662310697121092,-0.070255537055231,0,0,0,0,0,0,0,0,0,0
"r2_096",-0.174414584870244,0.546252800053963,-0.0045502586733271,-0.0656413172138541,-0.0740371314912341,-0.286403524862851,0,0,0,0,0,0,0,0,0
"r2_097",-0.48575316046807,0.536254331678025,-0.00493623398655328,-0.0647206703072638,-0.0728110046737275,-0.448977311105654,0.0453655546070652,0,0,0,0,0,0,0,0
"r2_098",1.35388703310113,0.52116234726528,-0.00502891656943086,-0.0640380544479863,-0.0798541160470566,-0.423277662976302,0.0491260859010977,-0.0917263686459939,0,0,0,0,0,0,0
"r2_099",3.50491932724599,0.536948459596738,-0.0049394395332837,-0.0644413702614024,-0.0774020642913046,-0.503342414539215,0.0479542179026351,-0.0844688986288702,-1.24770141764055,0,0,0,0,0,0
"r2_100",6.12711884514079,0.535736650570024,-0.00492510204072317,-0.0650506381395994,-0.089112392121382,-0.564886183656643,0.041379012666855,-0.0904529160884006,-1.13013388491896,-0.0564928617162172,0,0,0,0,0
"r2_100",6.81129174801835,0.53592241494343,-0.00478109231176776,-0.0648423997429508,-0.0901529322691571,-0.550219200964147,0.0444865403280278,-0.0882266922541551,-1.12350503222414,-0.0589670654239609,-0.162761848691675,0,0,0,0
"r2_100",7.92528247555859,0.532418695954551,-0.00483716501989381,-0.0650159823414471,-0.0960571892698293,-0.562580251814992,0.0443489152103797,-0.0887585782952148,-1.16982895477934,-0.0643397364759587,-0.15181049818506,-0.0168463980335923,0,0,0
"r2_100",7.65954427517567,0.533140489716608,-0.00479870807756792,-0.0646306043444115,-0.0949164104993394,-0.563693301192937,0.0451456329390758,-0.0966041598306939,-1.21542658656537,-0.0634703783885086,-0.153996432497683,-0.0168940942623561,0.000925998137638863,0,0
"r2_100",7.64879831796405,0.532454275172943,-0.00477596202514182,-0.0643965656381607,-0.094609308851936,-0.556922082739859,0.0463255270479991,-0.0977122112235585,-1.16644426568763,-0.0615741755262999,-0.146136423317529,-0.0166928682183871,0.000994820747109415,-0.300898627847067,0
"r2_100",7.24407564225924,0.531587689936136,-0.00480742984787234,-0.0643862455583237,-0.0998266217909196,-0.563492927232483,0.0459453988248075,-0.0984533099048371,-1.1672447873867,-0.0652731136611405,-0.140856114988058,-0.0162704426291123,0.000986431033262019,-0.295353489424811,0.00766243035589504
