"","(Intercept)","wbc","sodium","platelets","glucose_r","albumin","phosphate","pre_urea","calcium","pre_creatinine","total_co2","chloride","hemoglobin","potassium","magnesium"
"r2_036",0.0321502901333459,0.00363657573756691,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_063",0.299490110091621,0.00282534227363481,0.00215142009249209,0,0,0,0,0,0,0,0,0,0,0,0
"r2_077",0.237888463146592,0.00238389795979595,0.00169919128376651,9.60991940321714e-05,0,0,0,0,0,0,0,0,0,0,0
"r2_082",0.229180495162399,0.00222840160368717,0.00161870927202701,8.75812498854597e-05,0.00117835667782014,0,0,0,0,0,0,0,0,0,0
"r2_085",0.214707320224493,0.00208783167998484,0.00149335620222249,8.07408796973628e-05,0.00110730145517057,0.00138097981438509,0,0,0,0,0,0,0,0,0
"r2_090",0.1813111744541,0.00176996018930527,0.00125808863736511,6.8187721128522e-05,0.000932298227743889,0.00116664449476294,0.00859338485415815,0,0,0,0,0,0,0,0
"r2_091",0.173177073628748,0.00169760531021594,0.00120159008104979,6.54217828261437e-05,0.000890259787225618,0.00113283105007023,0.00890267830493376,0.00077065729093455,0,0,0,0,0,0,0
"r2_094",0.146252615952891,0.00139893876201563,0.000993012339747187,5.43028775261721e-05,0.000736806166867737,0.00096304699312322,0.00744643524266325,0.000634456324931626,0.0211206532157883,0,0,0,0,0,0
"r2_097",0.107362935551801,0.0010198241309718,0.000733511099204773,3.98369455281583e-05,0.000537627897498073,0.000702233115621184,0.00553475984783246,0.000484524284884329,0.0154338755751717,1.37330093683373e-05,0,0,0,0,0
"r2_098",0.090994137901536,0.000852112747090533,0.000614073605222739,3.32162288044345e-05,0.000449993017090982,0.000586328890969748,0.00468131246397837,0.000414416434886765,0.0129626407429186,1.14688049196697e-05,0.000841573909830117,0,0,0,0
"r2_098",0.0738218485428106,0.000694025499697218,0.000738371820558512,2.67906400599329e-05,0.000363853774411223,0.000480845067248933,0.00385062819545736,0.000336058743830781,0.0104531036076331,9.45155133924329e-06,0.00081017666022722,0.000677383075025502,0,0,0
"r2_099",0.0457689871927719,0.000422673970153581,0.000449013781898652,1.63335543539239e-05,0.000221245077926721,0.000298981104628688,0.00234320160532813,0.000204713034047088,0.00635595513346074,5.75000095032081e-06,0.000493138876634466,0.000411904247466744,8.91625964548159e-05,0,0
"r2_100",0.030534396426532,0.000276249382541689,0.000298604126502397,1.06569087233819e-05,0.000144550246230226,0.000195290349138593,0.00153419266723245,0.000135245030531092,0.00414284795633728,3.93921210985281e-06,0.000322154484344114,0.000271346814021844,5.81441503681776e-05,0.00107089515158811,0
"r2_100",1.25528800548083e-15,1.1369267679786e-17,1.22874835152346e-17,4.39460419576655e-19,5.94862337970039e-18,8.03356031214217e-18,6.32849758692936e-17,5.60104649824413e-18,1.72770568242315e-16,1.62622505158631e-19,1.33130713173703e-17,1.1166675475373e-17,2.39457969071593e-18,4.4223765229289e-17,1.66962911056807e-16
