"","(Intercept)","wbc","sodium","platelets","glucose_r","albumin","phosphate","pre_urea","calcium","pre_creatinine","total_co2","chloride","hemoglobin","potassium","magnesium"
"r2_036",-1.5705088759762,0.194456568482165,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_063",-19.1416402790608,0.212108515665456,0.126625292246382,0,0,0,0,0,0,0,0,0,0,0,0
"r2_077",-17.510103062964,0.259192842598598,0.120424312975933,-0.00531222563785639,0,0,0,0,0,0,0,0,0,0,0
"r2_082",-20.8618894551127,0.255779196056266,0.14216286296164,-0.00538430790426972,0.0473012911630135,0,0,0,0,0,0,0,0,0,0
"r2_085",-22.1035768810737,0.267555953255941,0.139802796323455,-0.00526042833963132,0.0520519813779788,0.0411798360821119,0,0,0,0,0,0,0,0,0
"r2_090",-22.6602506106643,0.259704365023798,0.139585443974184,-0.00506810922090508,0.0522531274834751,0.0392930978641535,0.370293412509655,0,0,0,0,0,0,0,0
"r2_091",-22.6974878961028,0.256605456473121,0.139261976517879,-0.00494623853005361,0.0521266980309778,0.0350651879747474,0.298383667154142,0.0160632309852867,0,0,0,0,0,0,0
"r2_094",-21.2487671030282,0.259457432080284,0.142455868551494,-0.00465343702321101,0.0485838994116648,0.0461872223208149,0.23730147883096,0.0163340201498687,-0.974649568141659,0,0,0,0,0,0
"r2_097",-22.042398444116,0.257983006171616,0.1498332105878,-0.00492299187152129,0.0468290563503188,0.0459736298138283,0.30531052172023,0.0254020866500834,-0.904054431027522,-0.000860227294240562,0,0,0,0,0
"r2_098",-22.7464498647104,0.260341509981866,0.148002390763329,-0.00492361909286699,0.0476741586924177,0.0472082206820525,0.340452248568149,0.0294945534526876,-0.971360553051007,-0.000859097354310679,0.0376552694472851,0,0,0,0
"r2_098",-23.1935325470024,0.26550614335496,0.121231391780966,-0.00484047530684919,0.0492640899147176,0.0516560529102887,0.378973107352761,0.0314745639520952,-0.997835041726227,-0.000759994508650681,0.05935005031659,0.0330685097347027,0,0,0
"r2_099",-22.4211898793851,0.267599190566199,0.120652112753279,-0.00494640933080115,0.0488563781442764,0.0570638018542694,0.387269929727657,0.0303495066156426,-1.00584122070288,-0.000750102366564327,0.0574246190319866,0.0332082366030211,-0.00770411648630046,0,0
"r2_100",-22.9233629952756,0.266175902318204,0.12523207939357,-0.00497169829696599,0.0480916658063219,0.056240566693947,0.376197296760984,0.0286098888405681,-1.00902220341147,-0.000842813447475596,0.0559141710889703,0.0302230920096534,-0.00779908896425545,0.082403420931448,0
"r2_100",-22.8780440540155,0.265300408432271,0.124192455626477,-0.00490937273723803,0.0482177880105251,0.0557480648357411,0.383115150364265,0.0297111458065053,-0.965422493222551,-0.000818298671016514,0.058109327878989,0.0312066604132342,-0.00759365750682696,0.0886670533893763,-0.268514958007326
