"","(Intercept)","pre_creatinine","platelets","albumin","pre_urea","hemoglobin","sodium","chloride","wbc","phosphate","potassium","glucose_r","magnesium","total_co2","calcium"
"r2_076",0.0259604654312695,3.51454759726135e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_086",0.0299955710845645,2.81937780258151e-05,8.46568351838955e-05,0,0,0,0,0,0,0,0,0,0,0,0
"r2_092",0.0461464588426541,2.22395404814734e-05,6.64664589450458e-05,0.00117086959056067,0,0,0,0,0,0,0,0,0,0,0
"r2_096",0.0322526135066001,1.66488948644372e-05,4.60575872944884e-05,0.000818426974121253,0.000571667859407816,0,0,0,0,0,0,0,0,0,0
"r2_098",0.0287202138705924,1.20287882922158e-05,3.33116800788665e-05,0.00060517689029416,0.000412869258386513,0.000196617931446791,0,0,0,0,0,0,0,0,0
"r2_098",0.0805196729890202,1.10150396626247e-05,2.9973343562503e-05,0.000547953239468721,0.000371989589934051,0.000176661327277806,0.000572182337329689,0,0,0,0,0,0,0,0
"r2_099",0.0728002495080606,1.01275556098448e-05,2.72032194471911e-05,0.000498647127861239,0.000336479880686542,0.000159760145555259,0.000714820893004947,0.000619047071963692,0,0,0,0,0,0,0
"r2_099",0.0549106112510057,7.59287000717439e-06,2.17380802658445e-05,0.000384084035631891,0.000254211027389638,0.000119943259972884,0.000536379502669828,0.000466194347682437,0.000567897325085283,0,0,0,0,0,0
"r2_100",0.0360605314418856,5.03999951616852e-06,1.4235835201419e-05,0.000252239099702719,0.000174776559138556,7.88587368208069e-05,0.000351367907335983,0.000306295701851105,0.000372519791196521,0.00198980767847804,0,0,0,0,0
"r2_100",0.0313113972239058,4.41784741883202e-06,1.19081886319973e-05,0.000211142833295128,0.000147871014865199,6.59354622301598e-05,0.000299742742103219,0.00025806398102183,0.000312015485711813,0.00166884574707117,0.0012143905110866,0,0,0,0
"r2_100",0.0220170899084803,2.93951858196152e-06,7.97266044215829e-06,0.000141856410235183,9.85191135497035e-05,4.3805212420068e-05,0.000201489002403336,0.00017109064017886,0.000206636909723575,0.00110100001678335,0.000804689929328091,0.000108186173274797,0,0,0
"r2_100",0.0140888300332416,1.88277779250291e-06,5.10998140771651e-06,9.04781050339142e-05,6.31063135835161e-05,2.79837952560496e-05,0.000128546606123191,0.000109119060026395,0.000132028045966479,0.000703356237815963,0.000516082546413129,6.91056069789945e-05,0.00191810144508108,0,0
"r2_100",0.00985959181060905,1.29783830631392e-06,3.48910872274119e-06,6.20282528374404e-05,4.47410491893847e-05,1.91430454724416e-05,9.82134473672667e-05,8.9200727849692e-05,9.06890779309364e-05,0.000499515069060648,0.000353046511865117,4.73738210163399e-05,0.00131900566196915,0.000105826772386863,0
"r2_100",4.08498181211738e-15,5.29209211681674e-19,1.43010035408446e-18,2.61429629044201e-17,1.82270307485228e-17,7.79248621952167e-18,3.99861597157528e-17,3.63388051343988e-17,3.69980844923552e-17,2.0594315748865e-16,1.43913807696901e-16,1.93581219665238e-17,5.4333384210421e-16,4.33236468104768e-17,5.62233229233082e-16
