"","(Intercept)","pre_creatinine","platelets","albumin","pre_urea","hemoglobin","sodium","chloride","wbc","phosphate","potassium","glucose_r","magnesium","total_co2","calcium"
"r2_076",2.12867167200667,-0.00448300558091608,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_086",0.840745286123818,-0.00422440567353755,0.00504016556600604,0,0,0,0,0,0,0,0,0,0,0,0
"r2_092",3.08493199063623,-0.00407615067496787,0.0046459372830779,-0.0666039159584967,0,0,0,0,0,0,0,0,0,0,0
"r2_096",2.7586250075399,-0.00453304632686071,0.00473918048356834,-0.0746535805501392,0.0409775223020553,0,0,0,0,0,0,0,0,0,0
"r2_098",1.65485245425949,-0.00455573898287141,0.00486950454849769,-0.0832154910858599,0.041756298574524,0.0129173294069854,0,0,0,0,0,0,0,0,0
"r2_098",4.22928269314229,-0.00448527147089707,0.00481504859276966,-0.0809155275611312,0.0409533649328879,0.0127756562173074,-0.0193105571967663,0,0,0,0,0,0,0,0
"r2_099",4.31787425385255,-0.00442171965830337,0.00489707961705072,-0.0787912735790398,0.0411108709084913,0.0126451150953142,-0.0355656663444763,0.0204516641435953,0,0,0,0,0,0,0
"r2_099",3.95979220749995,-0.00440455437140538,0.00444287582540371,-0.0735101774013836,0.0391537150710863,0.0121862266492679,-0.0371310547070659,0.0233636488920738,0.0343249778587395,0,0,0,0,0,0
"r2_100",3.76031370483085,-0.0044713967054739,0.00444005805029976,-0.0723078123156695,0.0349111968581369,0.0117844535989491,-0.038133633977814,0.0254653514214639,0.0328927865255201,0.157175663119544,0,0,0,0,0
"r2_100",4.13982616728588,-0.00441304789496556,0.00445544588223881,-0.0718978055402578,0.0359588865504599,0.0118485052274245,-0.0408009170089814,0.0268955910557782,0.0337173644372284,0.16332424057736,-0.0541798793180992,0,0,0,0
"r2_100",3.54603518952886,-0.00439315443327431,0.00446032525276762,-0.0702679796758754,0.0358170156402773,0.0119250808843531,-0.0379768530721363,0.027680668324444,0.0336541868582819,0.163093879427698,-0.0583018796327706,0.0085152612432061,0,0,0
"r2_100",3.45340497037432,-0.00440672413913116,0.00441786656044181,-0.0702048976790703,0.0353309425171575,0.011826928844755,-0.0379919627417999,0.027738018335301,0.0342065059228247,0.162473811621387,-0.0622802989066249,0.00858454771576805,0.154192995159715,0,0
"r2_100",3.60679839333207,-0.004419032158383,0.0044084729251719,-0.0706470564264118,0.0344817966860441,0.0117492070572715,-0.0348289568363068,0.0242228091856851,0.0334095319822952,0.152573242316508,-0.0610259534203705,0.00826108493937271,0.16560933260529,-0.00753996851205614,0
"r2_100",3.49459412488338,-0.00442394064384413,0.00438319283068845,-0.071748780389529,0.0344869048489785,0.0117806422131419,-0.0348812980752189,0.0239895148749737,0.0330099805740839,0.157835526523025,-0.0609800736983261,0.00853402893259557,0.151738041469164,-0.0082924020894964,0.0910167725724334
