"","(Intercept)","platelets","pre_creatinine","albumin","calcium","wbc","glucose_r","total_co2","chloride","hemoglobin","potassium","pre_urea","magnesium","phosphate","sodium"
"r2_084",0.00766252086314747,3.29549541532185e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.00711609229755806,2.00838267452679e-05,6.68863833540435e-06,0,0,0,0,0,0,0,0,0,0,0,0
"r2_095",0.0132363839215655,1.90648554746828e-05,6.37906143688509e-06,0.000335845475718759,0,0,0,0,0,0,0,0,0,0,0
"r2_097",0.0156355583718116,1.57609023527196e-05,5.21524819835203e-06,0.000285636200105494,0.00639227059417895,0,0,0,0,0,0,0,0,0,0
"r2_098",0.0131705018102368,1.36958922372661e-05,4.25616831142282e-06,0.000238255949058228,0.0052196883335281,0.000352268544287941,0,0,0,0,0,0,0,0,0
"r2_098",0.0125082183656088,1.24710975378288e-05,3.85579817618819e-06,0.00021671121785933,0.00473406947877834,0.000316638465500905,0.000161139899080942,0,0,0,0,0,0,0,0
"r2_099",0.0129660084277849,1.14213652729749e-05,3.57276235125158e-06,0.000199627435650542,0.00440327170525169,0.000291607841198765,0.000148160121816975,0.000274144604162772,0,0,0,0,0,0,0
"r2_099",0.0195113900538812,8.73890907431816e-06,2.74534015365795e-06,0.000153519181703233,0.00337980551878587,0.000224829641059742,0.000117772860746654,0.000221246320335926,0.000145460495904074,0,0,0,0,0,0
"r2_100",0.0139786864613781,6.11072599066071e-06,1.91541911956256e-06,0.000109374732425184,0.0023577951592368,0.000157056668647149,8.21515648671524e-05,0.000154538125776295,0.000101493061486296,3.33713175444294e-05,0,0,0,0,0
"r2_100",0.0100864566050768,4.32560348855768e-06,1.4442671269903e-06,7.75006533705856e-05,0.00166773464051019,0.000111379645763659,5.83237579244785e-05,0.000109956448921329,7.1880900223758e-05,2.36154452012983e-05,0.000420344479952472,0,0,0,0
"r2_100",0.00585399693140688,2.46340238648699e-06,8.55173695986468e-07,4.44592205692849e-05,0.000947289509395173,6.34123042761231e-05,3.31467192524111e-05,6.53682829574661e-05,4.1179852407558e-05,1.34348557451026e-05,0.000242203076861858,3.03555724369125e-05,0,0,0
"r2_100",0.00350369590959895,1.47921037298214e-06,5.14239422336669e-07,2.66504354266367e-05,0.000574538523197052,3.80073280408076e-05,1.98658878611186e-05,3.92813629369779e-05,2.46532882967392e-05,8.06074863090989e-06,0.000145910025180026,1.83309383458238e-05,0.000560337459534651,0,0
"r2_100",0.00181904831690366,7.43631807859735e-07,2.61720573226126e-07,1.33953189128941e-05,0.000292482292402097,1.91420561560941e-05,1.00051586224577e-05,2.01775355482759e-05,1.25204956194927e-05,4.05378515120691e-06,7.34830501717408e-05,9.42591765116837e-06,0.000282257185751876,0.000105642220036385,0
"r2_100",2.32716150932197e-16,8.14709746961643e-20,3.01483669805095e-20,1.48933091526456e-18,3.20297027137762e-17,2.10773320688599e-18,1.10280726831201e-18,2.46809234258358e-18,2.07017491124865e-18,4.43927900442549e-19,8.19858421251075e-18,1.0383704588688e-18,3.09530289781521e-17,1.17323163543634e-17,2.27796000266321e-18
