"","(Intercept)","platelets","pre_creatinine","albumin","calcium","wbc","glucose_r","total_co2","chloride","hemoglobin","potassium","pre_urea","magnesium","phosphate","sodium"
"r2_084",1.03737984307115,-0.00530942595662333,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",1.55165445817969,-0.00560824898256103,-0.000633869490731525,0,0,0,0,0,0,0,0,0,0,0,0
"r2_095",1.87185257583446,-0.00566389166792111,-0.000617642310636974,-0.0093965617614005,0,0,0,0,0,0,0,0,0,0,0
"r2_097",1.3195916626373,-0.00577514834848451,-0.000626170687396461,-0.0131631752091277,0.312045076286143,0,0,0,0,0,0,0,0,0,0
"r2_098",1.47424828273051,-0.00554659883707461,-0.000620735544451469,-0.0154216799733283,0.316579840228622,-0.01710679085484,0,0,0,0,0,0,0,0,0
"r2_098",1.61604713708687,-0.00553036640931062,-0.000635872578148349,-0.0164586222902314,0.29446486411237,-0.0168008233266925,-0.00599653328215518,0,0,0,0,0,0,0,0
"r2_099",1.80218668442799,-0.00552820104355893,-0.000650322879134878,-0.0170652502026496,0.31691055093234,-0.0177545050706172,-0.00627726282431249,-0.00835474237355847,0,0,0,0,0,0,0
"r2_099",2.74649063307063,-0.00556038664075918,-0.000667796806598878,-0.0180621697082969,0.335465849569097,-0.0195217434702494,-0.00811274634909865,-0.0123749121750821,-0.00816860625956004,0,0,0,0,0,0
"r2_100",2.96365868834379,-0.0055905155677063,-0.000667355356749195,-0.0165411536998714,0.332135502925169,-0.0189365870754232,-0.00823271089650517,-0.0129199726614816,-0.00822742142965091,-0.00227172428682705,0,0,0,0,0
"r2_100",3.09526802460452,-0.00558662681374729,-0.000634300585759271,-0.0163093946254607,0.332023344463808,-0.018462548737048,-0.0079046811159263,-0.0136705433256257,-0.00844029964747085,-0.00224819956273057,-0.0278818902596297,0,0,0,0
"r2_100",2.97879571443793,-0.00557012404437906,-0.000657500686105682,-0.0169140310693351,0.333290560814012,-0.0188811017109015,-0.00778685824861797,-0.0118118314854279,-0.00791603506151611,-0.00216806632303481,-0.0318379347297265,0.00291073018673248,0,0,0
"r2_100",2.98196772776068,-0.00555876477616902,-0.000653325743718879,-0.0170328187924276,0.340911027198288,-0.0190576079724136,-0.00775534775102441,-0.0115409386244585,-0.00788471260963985,-0.00212840734976918,-0.0304749008922183,0.00312857554625467,-0.0497045620069852,0,0
"r2_100",3.03353859299959,-0.00555846476614426,-0.00064865803705395,-0.0170556509442567,0.335634696509354,-0.0189692825071846,-0.00783064814461846,-0.0120114526161688,-0.00808879135486399,-0.00211332198721054,-0.0300027101150382,0.00335482672148862,-0.0477451205178152,-0.0119603188320108,0
"r2_100",3.10586386821898,-0.00555696549664578,-0.000643034633483651,-0.0169007893080906,0.335777752373727,-0.0188368457318177,-0.00790613698880246,-0.0113504401879525,-0.00715644034794172,-0.00211516621946958,-0.0309463186057341,0.00342275688703497,-0.048736055018386,-0.0107860872782061,-0.00136930154302425
