"","(Intercept)","calcium","hemoglobin","phosphate","chloride","pre_creatinine","pre_urea","sodium","wbc","magnesium","albumin","glucose_r","total_co2","platelets","potassium"
"r2_051",0.113922432045355,0.0499768516572715,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_078",0.0996440951941609,0.0366759917098269,0.00054035530744036,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.0665362142834307,0.0235556007659703,0.000343123430774234,0.00818396744164294,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0977318742578003,0.0197174672609252,0.000287111153110734,0.00686937645718436,0.000820044700072442,0,0,0,0,0,0,0,0,0,0
"r2_095",0.0914158993627968,0.0185201103868738,0.000268224333208301,0.00676639933003188,0.000767005156769487,1.61175256659851e-05,0,0,0,0,0,0,0,0,0
"r2_097",0.0634462886907384,0.0128067870071929,0.000185621525147141,0.00490581256001497,0.000530555652763063,1.17458793915815e-05,0.000413825970564004,0,0,0,0,0,0,0,0
"r2_098",0.0676780722383317,0.00991269728837816,0.000142731915568403,0.00377590500443962,0.00056018184014543,9.34533990472006e-06,0.000318357383001125,0.00064677079642774,0,0,0,0,0,0,0
"r2_100",0.0367880927301812,0.00534421657117207,7.67658100199668e-05,0.0020345933395439,0.00030303121004799,5.04281667322821e-06,0.000171632793170557,0.000348397599949786,0.000339159061170208,0,0,0,0,0,0
"r2_100",0.0298283418638619,0.0043824995346351,6.20320797690728e-05,0.00164530153518645,0.000244784599356002,4.08857135821162e-06,0.000139446389790175,0.000281382177991371,0.000273809361144214,0.00443252522889931,0,0,0,0,0
"r2_100",0.0235645358357888,0.00358128022430191,5.03004732265318e-05,0.00129640326843869,0.000194992273946802,3.22706509569197e-06,0.000112106499314983,0.000224873488495134,0.000224769358538014,0.00350146507292445,0.000166781499797603,0,0,0,0
"r2_100",0.0134631754870206,0.00191770650666017,2.68409899624958e-05,0.000687281995836841,0.000103777710224506,1.7199771358436e-06,5.98598497070928e-05,0.000121418855402875,0.00011938957142693,0.00185682946953249,8.92784985238391e-05,6.66924123727893e-05,0,0,0
"r2_100",0.0107031952605249,0.0015025436168784,2.08895936805453e-05,0.000552055069151579,9.66067663794569e-05,1.35022384205415e-06,4.82422331113423e-05,0.000105457591729916,9.37329798346873e-05,0.00144934268957396,7.00521043779278e-05,5.19818640605126e-05,0.000116226529545252,0,0
"r2_100",0.00657607402379563,0.000925321339479591,1.28194770733321e-05,0.000337668521532228,5.92135044499572e-05,8.31569975647761e-07,2.96552750612713e-05,6.45840672948374e-05,6.07035178889959e-05,0.000890566066806506,4.29226051223416e-05,3.17849262078752e-05,7.11664250843792e-05,2.35146332902479e-06,0
"r2_100",2.15458988285652e-15,2.96545268308906e-16,4.11008242951703e-18,1.08623015713888e-16,1.91666023249899e-17,2.79127023288457e-19,9.61369667027384e-18,2.10903693432088e-17,1.95143337715328e-17,2.86576942824747e-16,1.37888896383018e-17,1.02102813815359e-17,2.28506993175372e-17,7.5429460793187e-19,7.59061480144949e-17
