"","(Intercept)","calcium","hemoglobin","phosphate","chloride","pre_creatinine","pre_urea","sodium","wbc","magnesium","albumin","glucose_r","total_co2","platelets","potassium"
"r2_051",-8.73580731847338,3.77811333184442,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_078",-4.54771943639954,3.90111298224037,-0.0422655247613855,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",-6.32383129377097,4.22159077588961,-0.0443819939056756,0.70133917219548,0,0,0,0,0,0,0,0,0,0,0
"r2_094",-2.55933625604482,4.2489795588596,-0.0442433035232557,0.669862693478709,-0.0382648569940674,0,0,0,0,0,0,0,0,0,0
"r2_095",-2.50596422009777,4.29740940753725,-0.0440324825456643,0.728080040643144,-0.0380715459159392,-0.000437591791570164,0,0,0,0,0,0,0,0,0
"r2_097",-2.85957662409929,4.28429193404429,-0.0439157879306309,0.622527349731723,-0.0371108846918947,-0.000704915843153441,0.0297685465494441,0,0,0,0,0,0,0,0
"r2_098",-5.5420585189541,4.22024006911762,-0.0438013942190289,0.612649174093289,-0.0590683238071349,-0.000842293477253727,0.0303357899208396,0.0369939530057865,0,0,0,0,0,0,0
"r2_100",-6.10102538524755,4.20602188238158,-0.0436266631908467,0.598119447316863,-0.0559796266796127,-0.000795051795342958,0.0295737766381725,0.0367795343958793,0.0367178831631098,0,0,0,0,0,0
"r2_100",-6.21778001687207,4.16815429701405,-0.0437253944665006,0.593335667570108,-0.0560648716603736,-0.000816490588910542,0.0288570611718991,0.0371530618996626,0.0371569763083067,0.22466461216507,0,0,0,0,0
"r2_100",-6.25760435846057,4.11875538106545,-0.0443456426454175,0.593812957314752,-0.0546884286935775,-0.000812947701003043,0.0277531363893029,0.0354567988827947,0.0402222919307094,0.235104119327587,0.00884238469282171,0,0,0,0
"r2_100",-6.82390357213876,4.14158752124498,-0.0442703697045932,0.595302882665266,-0.0541129069713868,-0.000801053679551512,0.027575842326007,0.037973865056091,0.0399146511426191,0.232516607414972,0.00997279338090422,0.00729359505606611,0,0,0
"r2_100",-6.70108765523753,4.1500472072455,-0.0443262986943042,0.587669587564736,-0.0570150250953005,-0.000809973557393717,0.026881672725645,0.0405356643065066,0.039141457748501,0.24051955787261,0.00950356886870828,0.00704240818622391,-0.00633080491228134,0,0
"r2_100",-6.65072640478069,4.15896177484461,-0.044412077282425,0.587740878323301,-0.0573461937622169,-0.000819024206732606,0.0266795187229627,0.0406722115841617,0.0408453358981178,0.247396300317435,0.00933638736052508,0.00705783128201361,-0.00664004299789998,-0.000201992050061202,0
"r2_100",-6.55808517831215,4.15876511618897,-0.0443985001264656,0.589677187247316,-0.0568043035419796,-0.000802047938481304,0.0269861006130767,0.0398361513930314,0.0411357780673666,0.252547104459621,0.0095054146980235,0.00720139422741103,-0.00639969097382332,-0.000198528485809568,-0.0156103537957879
