"","(Intercept)","chloride","hemoglobin","pre_urea","wbc","potassium","platelets","pre_creatinine","sodium","glucose_r","albumin","phosphate","magnesium","calcium","total_co2"
"r2_057",0.235434218039536,0.0023809069567002,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_073",0.213882638540488,0.00203180525160822,0.00071297926028592,0,0,0,0,0,0,0,0,0,0,0,0
"r2_084",0.168491691118041,0.00157474407853927,0.000553478220665423,0.00108011105199572,0,0,0,0,0,0,0,0,0,0,0
"r2_088",0.148601207612511,0.00136037365818865,0.000473623695862506,0.000925572067791407,0.00209139140656595,0,0,0,0,0,0,0,0,0,0
"r2_091",0.135244849965049,0.00120651061150136,0.000420234101135133,0.000866749177005798,0.00185669179550277,0.00755921809652536,0,0,0,0,0,0,0,0,0
"r2_094",0.107481024833707,0.000943540350195549,0.000329020585231382,0.000681907368516879,0.00155243364306499,0.00589822384129666,6.07462386317375e-05,0,0,0,0,0,0,0,0
"r2_096",0.0908886122361908,0.00079711797731699,0.000278174393778142,0.000607294974540823,0.00131247996062548,0.00517034203217243,5.16157560302041e-05,1.79926620018265e-05,0,0,0,0,0,0,0
"r2_098",0.107287344375516,0.000872746418987049,0.000220509350153593,0.000481477894150643,0.00104055064112166,0.00417463807105085,4.09210969913534e-05,1.50440914268732e-05,0.00101153195017564,0,0,0,0,0,0
"r2_098",0.10324581632981,0.000793808169740676,0.000201279936897199,0.000440151129179479,0.000948162209323839,0.00378593205205252,3.75918632465729e-05,1.37120368084226e-05,0.000938702835903884,0.000500389614322745,0,0,0,0,0
"r2_099",0.0765420648345894,0.000592677815445811,0.000152075265859296,0.000328160973770461,0.000718011314822125,0.00279111257615137,2.7732238015725e-05,1.01289160695542e-05,0.000700729418021178,0.000376689900669742,0.000491827141670461,0,0,0,0
"r2_100",0.0414124977315811,0.000321808684878593,8.23943249320504e-05,0.000185307076609748,0.000388668556596684,0.00151356151114641,1.49959773906531e-05,5.52901437535276e-06,0.000378985728343362,0.000203490092194487,0.000266821287077182,0.002070898601361,0,0,0
"r2_100",0.0214424187066885,0.000166073163523564,4.25897859131459e-05,9.60443128138157e-05,0.000200939370832043,0.000785449041637576,7.77710857957173e-06,2.86548348324515e-06,0.000195640812282766,0.000105174904965655,0.000137702662843364,0.00107046922389063,0.00291924412533138,0,0
"r2_100",0.00398330025328799,3.01663911057661e-05,7.73540375845515e-06,1.74589901945622e-05,3.65470023910838e-05,0.000142886690134325,1.42152145572038e-06,5.21011756439402e-07,3.56135920342989e-05,1.91965101363131e-05,2.58046682928585e-05,0.000198114594903219,0.000537602764888805,0.000556139469551051,0
"r2_100",2.91247605457209e-14,2.5908536359147e-16,5.55582143661395e-17,1.29953554367249e-16,2.63785838236489e-16,1.02606459004589e-15,1.01962095022086e-17,3.77311143053275e-18,2.85089966229398e-16,1.38017913621414e-16,1.86391903211984e-16,1.46831624319463e-15,3.87381603529571e-15,4.00856329976491e-15,3.088853016627e-16
