"","(Intercept)","chloride","hemoglobin","pre_urea","wbc","potassium","platelets","pre_creatinine","sodium","glucose_r","albumin","phosphate","magnesium","calcium","total_co2"
"r2_057",19.9132870804744,-0.201249621718748,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_073",24.0489926620052,-0.201367165101742,-0.0389920442805806,0,0,0,0,0,0,0,0,0,0,0,0
"r2_084",22.2854989631962,-0.196496760059453,-0.0399576305710631,0.0628308252108755,0,0,0,0,0,0,0,0,0,0,0
"r2_088",20.7516109468031,-0.188693230788517,-0.0394864196404178,0.0613873660113052,0.089194212355529,0,0,0,0,0,0,0,0,0,0
"r2_091",19.6402379603317,-0.187522584662388,-0.0401851014594713,0.0512497418997236,0.0858646861614908,0.274832605616159,0,0,0,0,0,0,0,0,0
"r2_094",20.7485879530237,-0.191045960641802,-0.0417791620657466,0.0469209681706876,0.117344300545718,0.272996241363183,-0.0033951973618657,0,0,0,0,0,0,0,0
"r2_096",20.8858084748168,-0.191129367375764,-0.0415006733596136,0.0553374986941559,0.114457737837578,0.333360654162308,-0.00363059151828806,-0.000787531838960414,0,0,0,0,0,0,0
"r2_098",16.6850150308679,-0.222948544711847,-0.0415592514682338,0.0548747559130808,0.113495549237415,0.375230251575155,-0.00366540144212696,-0.00104032942617423,0.0534687734918705,0,0,0,0,0,0
"r2_098",17.9708825790058,-0.224189306094247,-0.0419519915341813,0.0551373854278522,0.115632600867889,0.381490941206665,-0.0036588389588165,-0.00107663303557547,0.0462201748414942,-0.0180793318235842,0,0,0,0,0
"r2_099",18.4880813140774,-0.229791679722147,-0.0399017036785887,0.0583097093528395,0.105324284821372,0.389922725149984,-0.00367870518833556,-0.00110521732570206,0.0526676748928896,-0.0216063880196736,-0.0304848064957407,0,0,0,0
"r2_100",18.300761727177,-0.22664827378708,-0.0403891235194079,0.0526791365348314,0.103549158967118,0.377120154795197,-0.00366643326965245,-0.00117918897626933,0.0506858015536507,-0.0215696123446209,-0.0286518530551654,0.21457290349169,0,0,0
"r2_100",18.1090540831156,-0.226498711118911,-0.0405812253345598,0.0516721253211194,0.104714525909972,0.368770588494639,-0.00375499729810576,-0.00120733141302632,0.0506092861683457,-0.0214415734844034,-0.0285289499089121,0.213410745286833,0.322286964254755,0,0
"r2_100",18.3913346476095,-0.226738167530849,-0.0406613674949757,0.0514583272516816,0.105424229191516,0.369028285141884,-0.00370139324010559,-0.00119895822117396,0.0513813589835089,-0.0221297115035717,-0.026233803403343,0.199751196295549,0.355026608612756,-0.199398131742736,0
"r2_100",18.3379924325385,-0.225415102527667,-0.0406341483121955,0.0517796190890317,0.105738167460088,0.36855605076463,-0.00369673690646415,-0.00119422682743003,0.050206234665943,-0.022017237085932,-0.0260176333797028,0.203230441950529,0.351366339904764,-0.20330602005955,0.00285422768713578
