"","(Intercept)","pre_urea","sodium","total_co2","pre_creatinine","chloride","hemoglobin","phosphate","albumin","potassium","wbc","calcium","magnesium","platelets","glucose_r"
"r2_062",0.0137026867141788,0.000600351215394531,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_069",0.121962102886442,0.00053826651275646,0.000884959706707607,0,0,0,0,0,0,0,0,0,0,0,0
"r2_087",0.0811482090780865,0.000374765557606904,0.000582359958536799,0.000842629054487895,0,0,0,0,0,0,0,0,0,0,0
"r2_092",0.0686371365796837,0.00033722329412172,0.000498499759660399,0.000697332855919149,9.54387627742784e-06,0,0,0,0,0,0,0,0,0,0
"r2_093",0.0627978256948586,0.000313844192299528,0.000687620546741192,0.00073526413132922,8.97581828701226e-06,0.000619308160074527,0,0,0,0,0,0,0,0,0
"r2_095",0.056520893879499,0.000275654259649669,0.000605625306875171,0.000648152925831358,7.91313335941199e-06,0.000547518321848515,0.000121619220573086,0,0,0,0,0,0,0,0
"r2_096",0.0517696207812569,0.000255237457900969,0.000555689741512938,0.000611737818898498,7.23775198194795e-06,0.000509154458003936,0.000110432159411368,0.00297289872264737,0,0,0,0,0,0,0
"r2_097",0.041119742062184,0.000204771721279656,0.000447920896038222,0.000486213971638012,5.7417411415824e-06,0.000407757732360514,9.00777829815328e-05,0.00236179919297641,0.000277723258869052,0,0,0,0,0,0
"r2_099",0.0269045004095406,0.000130524964258873,0.00028695031366962,0.000306185850186398,3.77786207183581e-06,0.000258271117627244,5.66388078567023e-05,0.0014915693308956,0.000174854891999845,0.00104128689856067,0,0,0,0,0
"r2_100",0.0166260645878813,7.9792489672526e-05,0.000176820006708876,0.000189004148369141,2.31819075428398e-06,0.000160652646599931,3.45446039795288e-05,0.000909226132603067,0.000110836190540508,0.000637616437857284,0.000155016579303906,0,0,0,0
"r2_100",0.00841351726065617,3.96925239182363e-05,8.79274973686849e-05,9.4735102942838e-05,1.15566617323709e-06,7.99788985493564e-05,1.71695980215229e-05,0.000456717167754073,5.72197491929028e-05,0.000317469545394286,7.74778172125168e-05,0.00121236547683453,0,0,0
"r2_100",0.00233043181920051,1.10613177904444e-05,2.43206520690786e-05,2.62961652232946e-05,3.20412976620957e-07,2.20959609520938e-05,4.75178444041241e-06,0.000126690697155868,1.58595087260217e-05,8.81099148930774e-05,2.14455777560724e-05,0.000340423765198057,0.000332447682698036,0,0
"r2_100",2.79320868619019e-05,1.32555620911037e-07,2.9027688083341e-07,3.13925055054252e-07,3.84594767465692e-09,2.64116995025176e-07,5.68377555414966e-08,1.51055769524952e-06,1.89457678356518e-07,1.05025874091419e-06,2.70176579813009e-07,4.0871315562082e-06,3.98253974016262e-06,1.04203295042042e-08,0
"r2_100",5.13957747372477e-15,2.29325957756076e-17,5.03091507350728e-17,5.45082571888662e-17,6.65832032636875e-19,4.57201801331946e-17,9.80422642748684e-18,2.59110287824705e-16,3.28921374487919e-17,1.81067186640315e-16,4.65496617546288e-17,7.07381666027073e-16,6.83603135589895e-16,1.79930092790511e-18,2.43556941422934e-17
