"","(Intercept)","pre_urea","sodium","total_co2","pre_creatinine","chloride","hemoglobin","phosphate","albumin","potassium","wbc","calcium","magnesium","platelets","glucose_r"
"r2_062",-1.15114739838034,0.0565290889836703,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_069",-5.70262467970327,0.0558619302764238,0.0331959758598271,0,0,0,0,0,0,0,0,0,0,0,0
"r2_087",-6.94199795846521,0.0664041322330209,0.0281231212162458,0.0722645013873741,0,0,0,0,0,0,0,0,0,0,0
"r2_092",-7.44755511717522,0.0734745805987324,0.033440499749365,0.0718137442502033,-0.000521590641836415,0,0,0,0,0,0,0,0,0,0
"r2_093",-7.38624984954772,0.0716628007134944,0.0495995654078824,0.06025133736255,-0.000585876837752038,-0.0194749007680393,0,0,0,0,0,0,0,0,0
"r2_095",-7.90880971186683,0.0718014395157717,0.0487700212573389,0.0619054400011097,-0.000596747384584015,-0.0188356527596184,0.00510524879770487,0,0,0,0,0,0,0,0
"r2_096",-7.68394223403843,0.0735013251091593,0.0513973345951481,0.0564236163229913,-0.000562994802965888,-0.0223957821100076,0.00523324229043824,-0.0994152274674223,0,0,0,0,0,0,0
"r2_097",-7.59586407684298,0.0751035068092598,0.0554274394324975,0.055290686673567,-0.00055811194728027,-0.0249185987172526,0.00631305799589152,-0.110252660454653,-0.0146831969843435,0,0,0,0,0,0
"r2_099",-8.22602489511839,0.0732362892355366,0.0601233395372253,0.054319839767503,-0.000651422910993644,-0.0275378555020902,0.00621379418181696,-0.122349281641037,-0.0151690593102254,0.0878064541009946,0,0,0,0,0
"r2_100",-8.46154682130252,0.0730066014303088,0.0581898734778452,0.0567490434005948,-0.000627306232127174,-0.0248688026240704,0.00612399851598209,-0.12218311397188,-0.0126804359597067,0.0833091880879493,0.0137457526789714,0,0,0,0
"r2_100",-8.63095632373938,0.0729837217641386,0.0581247543635291,0.0553101303109387,-0.000636585288937283,-0.0253927588638623,0.00615785934311541,-0.114505935049496,-0.0145076662491832,0.08283264102067,0.012789442461729,0.143178238588287,0,0,0
"r2_100",-8.64949606720751,0.0726864891602136,0.0583865039312638,0.0547181998550983,-0.00064256775536181,-0.0256255172106666,0.00610833493090963,-0.116593964713409,-0.0143299904628373,0.0808384813704269,0.0129587343982203,0.129721217512743,0.078339498303195,0,0
"r2_100",-8.63511097609675,0.0726231503288592,0.0584337385035479,0.0546311254424061,-0.000645275611623253,-0.025732879552554,0.00608365140576062,-0.116580068565493,-0.0143792837035774,0.080953305329277,0.0134483861341446,0.132276521723209,0.0803953676620666,-5.88081969709153e-05,0
"r2_100",-8.63437023614109,0.0726230799312673,0.0584314208319105,0.0546292752097329,-0.000645298090013451,-0.0257346292026296,0.00608355974272751,-0.116584701993182,-0.0143809410549332,0.0809578563804312,0.0134484583139141,0.132251082096386,0.0803993316422698,-5.88060759240177e-05,-9.57394398463776e-06
