"","(Intercept)","wbc","chloride","hemoglobin","platelets","pre_urea","calcium","sodium","phosphate","total_co2","potassium","pre_creatinine","glucose_r","albumin","magnesium"
"r2_025",0.0375275150442116,0.00424480308373361,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_032",0.280434035165542,0.00422174792454028,0.0027613850415596,0,0,0,0,0,0,0,0,0,0,0,0
"r2_065",0.213907502460847,0.00303543448036692,0.00198534967993209,0.000689579683552213,0,0,0,0,0,0,0,0,0,0,0
"r2_076",0.181217482435595,0.00270984615188868,0.001660309133944,0.000577920939619662,0.000106094657545086,0,0,0,0,0,0,0,0,0,0
"r2_080",0.170363160103445,0.00252288693173831,0.00153477354743973,0.000535042994993685,9.88034012139672e-05,0.00105290204383341,0,0,0,0,0,0,0,0,0
"r2_089",0.136626298140115,0.00186256220832951,0.0011384997893382,0.000395711675599044,7.35327607146192e-05,0.000780394899982295,0.0270326784188549,0,0,0,0,0,0,0,0
"r2_092",0.163465492899874,0.00162699654009394,0.00133697603730937,0.000345657116909133,6.426602422008e-05,0.000685047392785118,0.0237964250915189,0.00150994675029462,0,0,0,0,0,0,0
"r2_095",0.129669571560512,0.00128626342971156,0.00106192828378308,0.000273535732551065,5.07242875574635e-05,0.00058420911610647,0.0191177471472602,0.00119778017634137,0.00710829741002955,0,0,0,0,0,0
"r2_096",0.113272126590523,0.00110329931894179,0.00106829836803927,0.000234618650250854,4.33255429713843e-05,0.000525171942187885,0.0163942868850092,0.00113633868139613,0.00629725077804428,0.00130413464353279,0,0,0,0,0
"r2_097",0.0988393105258284,0.000942160915697274,0.000914149371512794,0.000200273906393423,3.6980935897545e-05,0.000462073234377909,0.0140031119132197,0.000976219131947351,0.00542243728906814,0.00111441278413088,0.00362072410701277,0,0,0,0
"r2_098",0.0777538561509483,0.000727746493041051,0.000723892303437617,0.000154338697334591,2.87002781189793e-05,0.000363157793181739,0.0108218826437136,0.000792942425695975,0.00420657685981326,0.000864679673065971,0.00292105682308325,1.06774097862439e-05,0,0,0
"r2_099",0.0537416824576156,0.000472915185227228,0.000470109476932672,0.000100143372885453,1.87592857592264e-05,0.000236851344062209,0.00706180896602808,0.00051855191745843,0.00270600794236482,0.00056313874759534,0.00188806524939356,6.93361775144389e-06,0.000250897223654346,0,0
"r2_100",0.0299971430666079,0.000271388768731798,0.000266572461010194,5.71211027955689e-05,1.04694001858604e-05,0.000132865391318616,0.00406995445770363,0.000293350180493129,0.00150719851435228,0.000316486169283591,0.00105205272843095,3.86990158830495e-06,0.000142006881547977,0.000191854211257567,0
"r2_100",1.69891268695822e-14,1.53872203177898e-16,1.51130310760754e-16,3.24083540886817e-17,5.94767797489452e-18,7.58048265781439e-17,2.33828499147826e-15,1.66299379454564e-16,8.56501838054324e-16,1.80179732975274e-16,5.98526517301675e-16,2.20094062870535e-18,8.05089484292344e-17,1.08726582873023e-16,2.25968388614718e-15
