"","(Intercept)","wbc","chloride","hemoglobin","platelets","pre_urea","calcium","sodium","phosphate","total_co2","potassium","pre_creatinine","glucose_r","albumin","magnesium"
"r2_025",0.0492442214090374,-0.17288327761986,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_032",-6.69160711769144,-0.158017048531845,0.0668013615953703,0,0,0,0,0,0,0,0,0,0,0,0
"r2_065",-1.87248893376673,-0.162046851820158,0.0681047747267365,-0.0465223369826715,0,0,0,0,0,0,0,0,0,0,0
"r2_076",-3.31605199189465,-0.206904797765766,0.0728620566270139,-0.0440484618395815,0.00492164857059469,0,0,0,0,0,0,0,0,0,0
"r2_080",-4.31070786735089,-0.213593869888981,0.0756397514506069,-0.0441359566512873,0.00528776769186173,0.0319484126540524,0,0,0,0,0,0,0,0,0
"r2_089",-1.00546599617825,-0.216369802077985,0.0797220782331231,-0.0431260918268004,0.00580786844531024,0.0317362465313682,-1.71411360686395,0,0,0,0,0,0,0,0
"r2_092",3.25267215493417,-0.216352969736429,0.113827601657846,-0.0430773232304021,0.00572818529076816,0.034293342550137,-1.60332344560645,-0.0576073753601196,0,0,0,0,0,0,0
"r2_095",3.79518432943098,-0.212584160703017,0.106852069359449,-0.0420933872883653,0.00572150070641001,0.0461727162280246,-1.78967238994115,-0.0512984981358439,-0.381960306991067,0,0,0,0,0,0
"r2_096",2.78482126683623,-0.207682982561073,0.130572706988689,-0.0414053230483568,0.00574016598766807,0.0530857122386891,-1.85315886270634,-0.072261292197037,-0.310463080786695,0.0550214695193012,0,0,0,0,0
"r2_097",3.64405247462148,-0.206199282785874,0.132916444689008,-0.0411161617243889,0.00572975140940802,0.0578464093953124,-1.82837674370409,-0.0768884179327201,-0.280635495252447,0.0556072631368819,-0.150624009713397,0,0,0,0
"r2_098",4.51313715036696,-0.203397420885952,0.142150422882479,-0.0411415793241467,0.00591803375634293,0.0538505707877708,-1.87245956318181,-0.0908752774513368,-0.307413481301703,0.0609324273630013,-0.19908705961717,0.000598216774921352,0,0,0
"r2_099",2.91305492052778,-0.204381861471719,0.145137426398686,-0.0407461845576169,0.00590728151395392,0.0542016248822746,-1.79687567454283,-0.0848114323994723,-0.299958481247748,0.0643690005791519,-0.208704735272398,0.000647735096497534,0.0205308535686095,0,0
"r2_100",3.14470205464634,-0.210984919068354,0.140123789828841,-0.0395534465635659,0.00585817977052056,0.0558099408789863,-1.69290303784794,-0.079769964729543,-0.306849008624456,0.0602684692550198,-0.202906970596977,0.000623331442692132,0.0187152141252523,-0.0190584882185628,0
"r2_100",3.10018050112954,-0.210124829516118,0.139157527332413,-0.0397552634500956,0.00579695083035257,0.0547280605529808,-1.73573561020111,-0.0787486331649269,-0.313645142445238,0.0581119362957959,-0.209060394307487,0.000599248004250559,0.0185913110439367,-0.0185746519411136,0.263790431562979
