"","(Intercept)","glucose_r","phosphate","pre_creatinine","calcium","potassium","chloride","sodium","hemoglobin","total_co2","magnesium","platelets","albumin","pre_urea","wbc"
"r2_077",0.0163571115615882,0.00163124573291377,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_093",0.0192717998644017,0.000935730323350808,0.0092625415514324,0,0,0,0,0,0,0,0,0,0,0,0
"r2_095",0.0190902631480973,0.000778043434134947,0.00795964387849974,1.97144195059468e-05,0,0,0,0,0,0,0,0,0,0,0
"r2_097",0.0450170473260931,0.00060972816184734,0.00626993566696669,1.52989122097213e-05,0.017735494770697,0,0,0,0,0,0,0,0,0,0
"r2_098",0.0378442905928835,0.000485089824976524,0.00501983999389604,1.28250681934967e-05,0.0140583180575092,0.00370035396983481,0,0,0,0,0,0,0,0,0
"r2_099",0.0589654959085043,0.000409272309739785,0.00411520858739145,1.04629412125243e-05,0.0114676466310051,0.0030150785376619,0.000484542440844755,0,0,0,0,0,0,0,0
"r2_099",0.0653862431192568,0.000319428403084086,0.00316138473036624,8.35878152421864e-06,0.00883969288171143,0.00235201710828704,0.000498155647911483,0.000593287775297843,0,0,0,0,0,0,0
"r2_100",0.0390027128917343,0.000186835904839422,0.00187107264421201,4.93441973476369e-06,0.00518888735868222,0.00138202122402014,0.000292819745730965,0.000347679017971285,7.41703973312491e-05,0,0,0,0,0,0
"r2_100",0.0295304444133795,0.000139735929219901,0.00147731719265569,3.73906400010567e-06,0.00388681332460436,0.00103153323487488,0.00025414959614519,0.000284480234437419,5.54611904401043e-05,0.000297579481572079,0,0,0,0,0
"r2_100",0.0210729020792002,9.97726403071934e-05,0.0010592982231862,2.68299799591257e-06,0.00281510538918721,0.000740489847518398,0.000181444008086648,0.00020306613911316,3.96189078659044e-05,0.000212870169412813,0.00281869658317765,0,0,0,0
"r2_100",0.0168478872749487,7.91236294104167e-05,0.000840678225978695,2.16039981761018e-06,0.00225444671348271,0.00058890620425014,0.000145013072212636,0.000161686947280393,3.15874927724743e-05,0.000169863240732835,0.00224396764228841,5.5316351370776e-06,0,0,0
"r2_100",0.00930266950751878,4.4368069211167e-05,0.000463203267577911,1.19193475299942e-06,0.00128578968447555,0.000324989365699113,8.1245373503527e-05,9.04771956699466e-05,1.77914103700574e-05,9.46016716925269e-05,0.00123587701116326,3.08814576473545e-06,5.76803489614784e-05,0,0
"r2_100",0.002052069385519,9.76841366642863e-06,0.000103936248477286,2.66481950358991e-07,0.000283053935046555,7.24580286563077e-05,1.81166165002674e-05,2.00577649497195e-05,3.92537694746161e-06,2.16896999065648e-05,0.000274021380906735,6.81779453003452e-07,1.27845868965097e-05,9.18479896560208e-06,0
"r2_100",1.06648559387061e-14,5.05391679846595e-17,5.37665577766741e-16,1.38163161149936e-18,1.46784898183338e-15,3.7572260961489e-16,9.4871443636171e-17,1.04393765388531e-16,2.03442136973616e-17,1.13107101383551e-16,1.41850745466639e-15,3.73363088397641e-18,6.82526743104546e-17,4.75861744467854e-17,9.65926555532256e-17
