"","(Intercept)","glucose_r","phosphate","pre_creatinine","calcium","potassium","chloride","sodium","hemoglobin","total_co2","magnesium","platelets","albumin","pre_urea","wbc"
"r2_077",-2.09326783417076,0.216709706323594,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_093",-0.353026621547873,0.216927931851103,-0.956788774485315,0,0,0,0,0,0,0,0,0,0,0,0
"r2_095",-0.925900115627478,0.223006480668104,-1.08166377027888,0.00106498763056003,0,0,0,0,0,0,0,0,0,0,0
"r2_097",-3.3417952374961,0.228558817835284,-1.01489856190265,0.00100078824008462,1.00724745081786,0,0,0,0,0,0,0,0,0,0
"r2_098",-2.6660577528314,0.23102261165979,-0.977475128938389,0.00122060000401304,1.02009877656251,-0.19731835948235,0,0,0,0,0,0,0,0,0
"r2_099",-5.14211300909934,0.235994446472718,-0.958433022708478,0.00123247621282904,1.02777976033448,-0.195471786947087,0.023892599652628,0,0,0,0,0,0,0,0
"r2_099",-2.42129006211096,0.232535841074956,-0.946469936796508,0.00136803716005718,1.08133738095866,-0.220584640120944,0.0430093677687435,-0.0341658541266062,0,0,0,0,0,0,0
"r2_100",-1.67413245179408,0.23167978382431,-0.936534810394738,0.00137061372395487,1.09693217260814,-0.216381403579267,0.0433040682570779,-0.0347518100431283,-0.00721444422519595,0,0,0,0,0,0
"r2_100",-1.37221085572629,0.231002009768534,-0.965639959145587,0.001332248278003,1.11525543492697,-0.21683925632524,0.0354551577464875,-0.0277233539821291,-0.0074311848830795,-0.0180115805060639,0,0,0,0,0
"r2_100",-1.41655895492201,0.230866105651091,-0.971918719119486,0.00131261286725073,1.0848257662586,-0.222060600216864,0.0349694277555794,-0.0271501881272867,-0.00752767670219517,-0.0191306090695597,0.18587674960023,0,0,0,0
"r2_100",-1.51173283182713,0.230772649837011,-0.971663555331028,0.00133121747495275,1.07269805913563,-0.22309096147614,0.0356971630383763,-0.0274424878522761,-0.00739118811360772,-0.0185935854474949,0.178213181815267,0.000285077914444521,0,0,0
"r2_100",-1.57149901013554,0.231356613411683,-0.970301248786645,0.00133439215844413,1.03988821318724,-0.225142446981756,0.0371303754943561,-0.0289571169838746,-0.00774939537323768,-0.0172937148705802,0.179920279423163,0.000329872947818404,0.00579515786779007,0,0
"r2_100",-1.61207969727809,0.231388870367968,-0.976088029971847,0.00132079704840144,1.03959302569697,-0.228526268588627,0.0379631437358002,-0.029637704614896,-0.0076703570585157,-0.0155261264529909,0.170251223485321,0.000343792850181135,0.00536045755752908,0.00268252106612583,0
"r2_100",-1.599762212572,0.231390439062396,-0.975946774845621,0.00131961297622838,1.04081253002437,-0.228174445312037,0.0377742064457928,-0.0294978441387872,-0.00765486690549033,-0.0157117171012851,0.169389734760724,0.000359317883656661,0.00515042191013832,0.00271435178927608,-0.00123121397861175
