"","(Intercept)","phosphate","sodium","chloride","hemoglobin","potassium","pre_creatinine","wbc","glucose_r","pre_urea","albumin","calcium","platelets","magnesium","total_co2"
"r2_042",0.0501015427859951,0.0265018068978422,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_046",0.484695698454851,0.0255315023937752,0.00350874207583604,0,0,0,0,0,0,0,0,0,0,0,0
"r2_056",0.443835219191694,0.0236612272974619,0.00433819977794815,0.0038711168352597,0,0,0,0,0,0,0,0,0,0,0
"r2_072",0.378802671101881,0.0198297285977645,0.00362343830937837,0.0032306981656365,0.000835294261219878,0,0,0,0,0,0,0,0,0,0
"r2_076",0.366347977529437,0.0191883182681935,0.00342064621038693,0.00303951662929101,0.000785256922682111,0.0137568252873986,0,0,0,0,0,0,0,0,0
"r2_084",0.304545879261726,0.015827387479393,0.00290326727295343,0.00249728564104487,0.000632211483493665,0.011825727536421,4.20041065205715e-05,0,0,0,0,0,0,0,0
"r2_092",0.222976413254951,0.0115062784699856,0.00211193242371865,0.00182536006603506,0.000459083426075542,0.00861392469269628,3.06164883133709e-05,0.00203174163184276,0,0,0,0,0,0,0
"r2_096",0.168487515997405,0.00816398335719682,0.00154013628319593,0.00130612631883687,0.000329543081637725,0.00614516105454271,2.19732653458767e-05,0.00145841210133553,0.000821792426281949,0,0,0,0,0,0
"r2_099",0.0842578376231181,0.00426169990323151,0.00077011255945495,0.00065315016128979,0.000164776878078982,0.00311599345912035,1.13162918466533e-05,0.000729631565730587,0.000410940632522639,0.000374655981331215,0,0,0,0,0
"r2_100",0.0465613264270593,0.00234477905178691,0.000428129210538358,0.000363282465536612,9.29863566588181e-05,0.00171369921428788,6.22542864502965e-06,0.000413587214552513,0.000230255351248163,0.000208820174073527,0.000301328474412162,0,0,0,0
"r2_100",0.0322306559185277,0.00160581368689349,0.000288947514135096,0.000244689626039893,6.26092612043749e-05,0.00115615537653712,4.19764340735829e-06,0.000279506479029197,0.000155910144249971,0.000140679074290781,0.000208690571567024,0.00439920175424127,0,0,0
"r2_100",0.010355136779794,0.000514196365887098,9.26399854781286e-05,7.85016299940208e-05,2.00925813788739e-05,0.000369865353759535,1.35112397093768e-06,9.48891362732419e-05,4.98878456858331e-05,4.52157266454654e-05,6.70514298050425e-05,0.00142344447287356,3.68805848942513e-06,0,0
"r2_100",0.00569663915698965,0.000283329723378305,5.09320839512858e-05,4.31418757991748e-05,1.10626367944939e-05,0.000204346612676248,7.4511480035549e-07,5.22669825654718e-05,2.7453514514705e-05,2.49686342629444e-05,3.69040430002451e-05,0.000795352014043346,2.03296118098887e-06,0.000768842107456881,0
"r2_100",3.55158113782818e-14,1.79051919259916e-15,3.47649260516639e-16,3.15938285217599e-16,6.77497436878281e-17,1.25122115200903e-15,4.60107178102547e-18,3.21670218038773e-16,1.68304154099641e-16,1.58470175835407e-16,2.27293188094156e-16,4.88819050817126e-15,1.24336353902518e-17,4.72387470474637e-15,3.76666173586376e-16
