"","(Intercept)","phosphate","sodium","chloride","hemoglobin","potassium","pre_creatinine","wbc","glucose_r","pre_urea","albumin","calcium","platelets","magnesium","total_co2"
"r2_042",1.38408392796916,-1.65952483154924,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_046",11.848454036607,-1.65289426496806,-0.0761707952345076,0,0,0,0,0,0,0,0,0,0,0,0
"r2_056",12.1500217747297,-1.52959164779547,-0.17340410273767,0.130007165637003,0,0,0,0,0,0,0,0,0,0,0
"r2_072",16.4420881903225,-1.44696109321732,-0.169878209075436,0.130702411148534,-0.0470396068205766,0,0,0,0,0,0,0,0,0,0
"r2_076",18.6423379821511,-1.33339315125062,-0.178368016645109,0.134220181993323,-0.0461878019490414,-0.348277695649144,0,0,0,0,0,0,0,0,0
"r2_084",22.522769457533,-1.51174606294031,-0.225770658373763,0.159931173392435,-0.0469546330709348,-0.561319426423711,0.00215255182277027,0,0,0,0,0,0,0,0
"r2_092",20.6792620995536,-1.56054526863773,-0.228915876977702,0.172394659774462,-0.0462490100538499,-0.601669006393234,0.00234780589137252,0.133392967462892,0,0,0,0,0,0,0
"r2_096",16.787136578494,-1.56693876450286,-0.20665554666477,0.175508208766104,-0.0451249586316728,-0.6254723980025,0.00246645588243189,0.129078687109207,0.056507225834944,0,0,0,0,0,0
"r2_099",16.5627528890793,-1.70833269482691,-0.207582656582056,0.177105674930469,-0.044920480189066,-0.686001066518026,0.00215175407743824,0.126472874016574,0.0566595488907731,0.043509590126813,0,0,0,0,0
"r2_100",16.0317377803619,-1.69296893955544,-0.213927423767239,0.182643522460601,-0.0470351876848627,-0.695929111878627,0.00217266087272633,0.136857672728505,0.0601584784579214,0.0399377293466285,0.0307697156025964,0,0,0,0
"r2_100",15.5109365801139,-1.67152200602501,-0.215198304215511,0.18314593670729,-0.0469101922793035,-0.697804404848137,0.0021587573719286,0.135064958623495,0.0613661765617925,0.0401928879302511,0.0271735287909804,0.322390099645099,0,0,0
"r2_100",15.6729055082374,-1.66986677747709,-0.215033143574423,0.182336946245647,-0.0472058780935369,-0.695996331995493,0.00212803050600943,0.141246693612912,0.0614668681667935,0.0396248163721853,0.0265504277181653,0.357011453432619,-0.000729334484715033,0,0
"r2_100",15.698281072692,-1.66866305211965,-0.215064030687634,0.182317553765669,-0.0471552932732641,-0.694082837490684,0.00213399662869826,0.140922817782572,0.0614808695111896,0.0398801239069545,0.0263654700564294,0.37051987734261,-0.000712197004477375,-0.0776599097551713,0
"r2_100",15.7745674010559,-1.67363882742521,-0.21338344956743,0.180425398159737,-0.0471942202565661,-0.693407480707694,0.00212723011822831,0.14047384509161,0.0613200164167844,0.0394206346530478,0.0260563187138407,0.376108667589675,-0.000718856169205927,-0.0724252478614699,-0.0040819180507624
