"","(Intercept)","sodium","chloride","total_co2","pre_creatinine","wbc","albumin","potassium","pre_urea","glucose_r","magnesium","hemoglobin","platelets","phosphate","calcium"
"r2_021",0.354637264422221,0.0025776241854525,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_035",0.328348769180916,0.00320439855233346,0.00284231626948843,0,0,0,0,0,0,0,0,0,0,0,0
"r2_061",0.259572360110377,0.00266195499114026,0.00243128831389885,0.002800376873672,0,0,0,0,0,0,0,0,0,0,0
"r2_072",0.231555514868318,0.00254919958884331,0.00227481122972237,0.00257810456915184,3.17416836678562e-05,0,0,0,0,0,0,0,0,0,0
"r2_077",0.217373016560192,0.00237427640505493,0.00214810787810557,0.00241043127268221,2.9641384390716e-05,0.00212201257817871,0,0,0,0,0,0,0,0,0
"r2_081",0.202564609453489,0.00222773178283459,0.00200776248106264,0.00224154782279324,2.72597998441802e-05,0.00201757530429692,0.00139812469390186,0,0,0,0,0,0,0,0
"r2_084",0.195870713591964,0.00208187888967049,0.00185736002577067,0.00207019259722954,2.71034039498185e-05,0.00186804193605645,0.00129242647898386,0.00753869336157475,0,0,0,0,0,0,0
"r2_089",0.159344015647182,0.00170535084551789,0.00153353169681561,0.00177895302885964,2.26200653980449e-05,0.00151701454968818,0.00105553650796455,0.00622958021814973,0.000767445157569672,0,0,0,0,0,0
"r2_094",0.12852800558845,0.00129858870966408,0.00116420023568865,0.00135307962009542,1.71577043500564e-05,0.00114695244779027,0.000809920245602426,0.00469897229089825,0.000582154506385965,0.000635897243116007,0,0,0,0,0
"r2_097",0.0844399351319524,0.00085135995725679,0.000763705137767011,0.000892283742580694,1.13008387503861e-05,0.000751514228879207,0.000530951416880114,0.00309742808242032,0.000384194579001357,0.000417187428114294,0.0115102376369589,0,0,0,0
"r2_099",0.0480914344358751,0.000476726248536379,0.000427693636129458,0.000500843215624174,6.33120576158494e-06,0.000420996667006317,0.000304180919352478,0.00173446259530958,0.000215427258861771,0.000233591630310317,0.00645484764559584,9.3992689436974e-05,0,0,0
"r2_100",0.0228759266400393,0.000225694125257896,0.000202543244921254,0.000237018668596322,3.01372177155235e-06,0.0002112709644957,0.000144014387076077,0.000819972071013467,0.000102378638949388,0.000110455012370136,0.00307041941197371,4.46080668002434e-05,8.13358831186201e-06,0,0
"r2_100",0.00396726846943518,3.95187874406151e-05,3.58922805169245e-05,4.25822108437325e-05,5.22219691237533e-07,3.64911576775843e-05,2.49587139531824e-05,0.000142057635008729,1.80027487088768e-05,1.90621143354596e-05,0.000530736938633307,7.70271246219982e-06,1.40393550646468e-06,0.000200993146730446,0
"r2_100",2.74987946526189e-14,2.69174073605083e-16,2.44621245888585e-16,2.91640972233943e-16,3.56246762155486e-18,2.49059304248937e-16,1.75986087964257e-16,9.68781852049979e-16,1.22698557480431e-16,1.30312702798025e-16,3.65755012850295e-15,5.24565318132759e-17,9.62697945262626e-18,1.38634365056253e-15,3.78477477468756e-15
