"","(Intercept)","sodium","chloride","total_co2","pre_creatinine","wbc","albumin","potassium","pre_urea","glucose_r","magnesium","hemoglobin","platelets","phosphate","calcium"
"r2_021",13.2296656987117,-0.099955115066466,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_035",13.6841850580166,-0.171844098121194,0.0954649236477379,0,0,0,0,0,0,0,0,0,0,0,0
"r2_061",11.3573191127073,-0.227018586590463,0.15554845567866,0.168640201864434,0,0,0,0,0,0,0,0,0,0,0
"r2_072",12.0945188700634,-0.269595166803077,0.189306864940611,0.200246870932081,0.00145662657026137,0,0,0,0,0,0,0,0,0,0
"r2_077",10.7963479221791,-0.274194619139765,0.199884069197256,0.210681843457402,0.00154063255317571,0.0697228495181209,0,0,0,0,0,0,0,0,0
"r2_081",9.68906013185171,-0.287251085396964,0.210840144325404,0.220112848201385,0.00151897402603987,0.0858715057122691,0.0434943834345217,0,0,0,0,0,0,0,0
"r2_084",11.3935341116194,-0.297207094942687,0.215211360947791,0.217618576081763,0.00180940294294053,0.0906653974755109,0.0460749995007183,-0.216711606845667,0,0,0,0,0,0,0
"r2_089",10.7929785399822,-0.308950935719599,0.229328570458757,0.246477370168726,0.00154728893890885,0.0881347549607578,0.040142940937822,-0.275386919429433,0.0376822557421765,0,0,0,0,0,0
"r2_094",7.95957777169805,-0.299707639914194,0.236831425243363,0.254829142128572,0.00165391246859784,0.0891157090526998,0.0485522807345962,-0.293255018866285,0.0379695383456879,0.0389704561753409,0,0,0,0,0
"r2_097",7.48490511527593,-0.297146901685409,0.234124580016329,0.24731140024101,0.00157082668000849,0.089169474461542,0.0485728855299295,-0.316514361603909,0.0343247260846271,0.0390330758936238,0.886722863746511,0,0,0,0
"r2_099",8.34512457260178,-0.297309297077468,0.233825101281587,0.244052289989503,0.00158169892802142,0.0904937002402061,0.0548727843876434,-0.313488974088082,0.0331074631675894,0.0385347241378326,0.915208290321093,-0.0092148428140068,0,0,0
"r2_100",8.63605348506954,-0.296558947863796,0.23229792160106,0.243033691004566,0.00153495555037692,0.0991612006112355,0.0545949601488306,-0.311671758874364,0.0319974704650013,0.038469094511172,0.955493601961917,-0.00966418829763121,-0.00100608837939596,0,0
"r2_100",8.7856639213352,-0.29405902043829,0.229213045423271,0.238585714844167,0.0015520601963262,0.0993128310139805,0.0537580931412776,-0.306896591527452,0.0333158245262888,0.0382444349132864,0.96458414611409,-0.00955231637829851,-0.00101578347745418,-0.0756686039594814,0
"r2_100",8.83081228699795,-0.294037959551513,0.229306917581548,0.238888476465993,0.00155403525573806,0.0994736011284202,0.0542014010210422,-0.306915052451408,0.0333137691213455,0.038134608652825,0.970165628290203,-0.00956496514765027,-0.00100561136042587,-0.0777860236874769,-0.036623014314635
