"","(Intercept)","sodium","total_co2","pre_urea","magnesium","glucose_r","phosphate","chloride","pre_creatinine","albumin","wbc","hemoglobin","platelets","calcium","potassium"
"r2_025",0.482824950032584,0.00350933585778557,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_076",0.283557343365571,0.00204547233745754,0.00279978818130634,0,0,0,0,0,0,0,0,0,0,0,0
"r2_087",0.207968323257496,0.0014924842517801,0.00215950732099667,0.000960456989940092,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.177341439273901,0.0012661966162911,0.00183846553407027,0.00083110409593911,0.0280920865890935,0,0,0,0,0,0,0,0,0,0
"r2_093",0.170619399258974,0.00119068341613924,0.00163850543164486,0.000742258858538034,0.0247723312602721,0.000874235856008144,0,0,0,0,0,0,0,0,0
"r2_095",0.143191579812861,0.000995255010710178,0.00139795063208028,0.000650949165687852,0.0207450148656706,0.000731238966349648,0.00748284282679324,0,0,0,0,0,0,0,0
"r2_096",0.140331112892772,0.00138596390105129,0.00158534534452325,0.000647766157622837,0.0202122089518316,0.000714254964513243,0.00754220096851467,0.00127788923533452,0,0,0,0,0,0,0
"r2_098",0.107973991608271,0.00110766931959287,0.00121972683493223,0.000512322960067892,0.0153848811100356,0.000546650543290409,0.00577226646914408,0.00100319420216484,1.43774849323808e-05,0,0,0,0,0,0
"r2_099",0.0786030356331841,0.000805918381282532,0.0008805658076726,0.000371922043446107,0.011064270854763,0.000402020483209358,0.00416649366272749,0.00072886714831608,1.03557718742502e-05,0.000494664121328103,0,0,0,0,0
"r2_099",0.074056001751561,0.000757331640689493,0.00082908785344877,0.000345595064374571,0.0102536647393759,0.000371842752119398,0.00391151581968236,0.000693322421315274,9.67765282095194e-06,0.000474797707115817,0.00066896542207297,0,0,0,0
"r2_099",0.0571383832318295,0.000574300606677318,0.000629549915681404,0.000262510325269432,0.00778686635841426,0.000281937793539306,0.00296866638089087,0.000525766769165539,7.34216023174314e-06,0.00036860274550989,0.000507494953906865,0.000113757730860882,0,0,0
"r2_100",0.0431368948340234,0.000431205758109051,0.000472409616413499,0.000197826454660862,0.00587585493859877,0.000211405352668427,0.00222584571657121,0.000395011417165474,5.54181717781236e-06,0.000276775836641794,0.000404401264674158,8.55980914903186e-05,1.55911814764981e-05,0,0
"r2_100",0.00331176144902736,3.25250329473905e-05,3.58399589491704e-05,1.49346245727834e-05,0.000448495919782757,1.6007133267436e-05,0.000170052464147148,2.98203761985622e-05,4.18785034589578e-07,2.1616154018587e-05,3.05707584248093e-05,6.45598723714592e-06,1.18421501547682e-06,0.000465998942372323,0
"r2_100",7.41188796076051e-15,7.25518372970712e-17,7.86074531001086e-17,3.30715572257011e-17,9.8583781964957e-16,3.51238359791474e-17,3.73668153200401e-16,6.59339905712984e-17,9.6020975494964e-19,4.74344124213966e-17,6.71302026869852e-17,1.41388719586312e-17,2.59480802721707e-18,1.02012931625078e-15,2.61120628613759e-16
