"","(Intercept)","sodium","total_co2","pre_urea","magnesium","glucose_r","phosphate","chloride","pre_creatinine","albumin","wbc","hemoglobin","platelets","calcium","potassium"
"r2_025",20.8807023624586,-0.152234768277604,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_076",25.3607490526487,-0.134086143292629,-0.295353630816691,0,0,0,0,0,0,0,0,0,0,0,0
"r2_087",23.6812176525922,-0.141161995008965,-0.245713385135173,0.0673606228882407,0,0,0,0,0,0,0,0,0,0,0
"r2_091",24.522117485535,-0.14103408876302,-0.237422255226445,0.075154808779292,-1.33353455803537,0,0,0,0,0,0,0,0,0,0
"r2_093",21.6899964795418,-0.123564043946269,-0.233223421636745,0.0760805232938663,-1.33348732637999,0.0360956702362288,0,0,0,0,0,0,0,0,0
"r2_095",21.0936045006163,-0.124161286980845,-0.220330224589196,0.0667920119020528,-1.39541309590005,0.0361654297571668,0.349282825137317,0,0,0,0,0,0,0,0
"r2_096",20.8353454195002,-0.140760141671124,-0.206689773773014,0.0690023638397265,-1.40915361359378,0.0370590072022349,0.381902291453407,0.0214222126815551,0,0,0,0,0,0,0
"r2_098",21.5413375283624,-0.160596108952754,-0.197385611697425,0.0611827902403015,-1.52490175007089,0.0402141116273553,0.342454573723645,0.036327681639865,0.000910394166274317,0,0,0,0,0,0
"r2_099",20.7324903966646,-0.168060384945961,-0.193196891298994,0.0578984730065117,-1.53514330454118,0.0444870159314383,0.364844935645171,0.0426578182104484,0.000913701942555643,0.0326936811952794,0,0,0,0,0
"r2_099",20.3014831001232,-0.17078412189295,-0.189677641326421,0.0574191466452916,-1.54067845727778,0.0445721310477157,0.361673227195615,0.0468206068172581,0.000946526254855953,0.0363853080530101,0.0219387192162532,0,0,0,0
"r2_099",19.7022378518656,-0.170342166157886,-0.187901505048613,0.0583604773929925,-1.5604023471621,0.0448824446944947,0.354296840711622,0.0466659479491037,0.000939122365650895,0.0318909249398212,0.0209875924514588,0.00648908169471619,0,0,0
"r2_100",19.9809983829326,-0.169609199086347,-0.188936011843896,0.0574438098398004,-1.52222631935946,0.0448630563341364,0.352015530251465,0.045178026307263,0.000898545746563537,0.031582656702392,0.0289828417518945,0.00607657706931396,-0.000916961461601989,0,0
"r2_100",19.4827341921349,-0.169841293247393,-0.192324331620985,0.0574721086163744,-1.5840545195297,0.0460807473513752,0.37548277844542,0.0441229203935153,0.000876707073375677,0.0266665515500913,0.0272187431927603,0.00621279690362757,-0.00103115883003215,0.406496004488316,0
"r2_100",19.4360793580653,-0.169420246905756,-0.19244537474864,0.0573177116188687,-1.58664850410588,0.0460084479480601,0.374507638380883,0.0438500203114158,0.000868157694135182,0.0265814280830909,0.0270724742827985,0.00620595934347679,-0.0010329031076244,0.406595043299619,0.00786149421668604
