"","(Intercept)","potassium","total_co2","magnesium","phosphate","pre_creatinine","glucose_r","platelets","hemoglobin","chloride","pre_urea","wbc","calcium","albumin","sodium"
"r2_052",0.0798883563014143,0.0163832889164254,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_080",0.0913618774658541,0.0108856006540006,0.00284182120168028,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.0638657740340623,0.00737335638737777,0.00190168087948655,0.0305375737759139,0,0,0,0,0,0,0,0,0,0,0
"r2_095",0.0536293232165343,0.00590992769997825,0.00156196697022334,0.0241386972586959,0.0084433512429071,0,0,0,0,0,0,0,0,0,0
"r2_097",0.0435128403404672,0.00508168472545762,0.00126080827032736,0.0194768358789202,0.006979349140518,1.73226199218583e-05,0,0,0,0,0,0,0,0,0
"r2_098",0.0373636100438842,0.00429913376547662,0.00107213922230818,0.0164216411880186,0.0058805886437438,1.48517510828644e-05,0.000553744965920766,0,0,0,0,0,0,0,0
"r2_098",0.0348264701686848,0.00391703773438582,0.00097682697365687,0.0149400441520102,0.00539379462157529,1.36986131157223e-05,0.000501412162766072,3.68025825204527e-05,0,0,0,0,0,0,0
"r2_099",0.0321654264990784,0.00299856723489874,0.000748947017128934,0.0114557044603061,0.00412992609840863,1.04909762259526e-05,0.000384150136135684,2.82609025904279e-05,0.000163109696230943,0,0,0,0,0,0
"r2_100",0.0449402372603884,0.00196051238171669,0.000520557089725712,0.00748757024252714,0.00274764349257793,6.86313872462542e-06,0.000262062487648772,1.8557145579882e-05,0.000106662704656466,0.000332476482134278,0,0,0,0,0
"r2_100",0.0328539787364369,0.00141969605490711,0.000386187892765874,0.00540174042410712,0.00201490664539472,5.04926435925373e-06,0.000188041754393261,1.33390615697724e-05,7.64771304218023e-05,0.000239817326908246,0.000179991820236821,0,0,0,0
"r2_100",0.019295485990096,0.000826952019966617,0.00022528069505944,0.00314428611718592,0.00117304952826144,2.93838006372699e-06,0.000109425836658628,8.30517717135126e-06,4.45180858098596e-05,0.000140165660900553,0.000104820094515943,0.000209797746026923,0,0,0
"r2_100",0.00929823961985067,0.000382927347864241,0.000104845107686101,0.00146947998967392,0.000550539778327028,1.36223853878408e-06,5.10772788169471e-05,3.86457850725309e-06,2.05961470381353e-05,6.49720448821231e-05,4.85624323377831e-05,9.70247882266453e-05,0.00146761571361252,0,0
"r2_100",0.00535346708710227,0.000216260935401604,5.93825746423271e-05,0.000830684122009942,0.000310905511809532,7.70244782265346e-07,2.94452252250984e-05,2.18851163617018e-06,1.19303072840365e-05,3.6847872918107e-05,2.77405165340304e-05,5.63351542995549e-05,0.000860776655234811,3.94224816652932e-05,0
"r2_100",2.38569504474757e-14,8.40479771231318e-16,2.53017061690601e-16,3.1731569793203e-15,1.20274114529209e-15,3.09066686710492e-18,1.1305454412101e-16,8.35201595784485e-18,4.55093721715753e-17,2.12224463482365e-16,1.06448789583896e-16,2.16074760912613e-16,3.28353243824736e-15,1.52679105867956e-16,2.33525600553189e-16
