"","(Intercept)","potassium","total_co2","magnesium","phosphate","pre_creatinine","glucose_r","platelets","hemoglobin","chloride","pre_urea","wbc","calcium","albumin","sodium"
"r2_052",5.49776242669304,-1.2647925237568,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_080",-1.11689804745229,-1.11958720934602,0.250472595549309,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.499955497405371,-1.00981090227108,0.259654835206238,-2.57174089747947,0,0,0,0,0,0,0,0,0,0,0
"r2_095",-0.522717535031394,-1.0715108485102,0.283554422158986,-2.69325518719252,0.477306340645551,0,0,0,0,0,0,0,0,0,0
"r2_097",-0.587203276423078,-1.15497825320358,0.285161364338683,-2.81470439001253,0.389558671571159,0.00099129845637294,0,0,0,0,0,0,0,0,0
"r2_098",-0.277965815830795,-1.13757830818952,0.281152170044089,-2.81772972831002,0.390948104626533,0.000878511100034084,-0.0256390243119854,0,0,0,0,0,0,0,0
"r2_098",-0.581018845368726,-1.14077135429236,0.281696522835397,-2.86259810478798,0.391418441325222,0.000960169621510139,-0.0263788911064407,0.00134470762480949,0,0,0,0,0,0,0
"r2_099",0.424361389243417,-1.13733570268881,0.279216055658013,-2.83333512372857,0.39695269316458,0.00095750403857197,-0.0273446865313743,0.00121832218082464,-0.00910669854105417,0,0,0,0,0,0
"r2_100",-2.62964538843824,-1.13193749962795,0.292845399539317,-2.84814766808834,0.436628610806799,0.00098059356932735,-0.0215937162899511,0.00135989734379194,-0.0088857554456874,0.0255611645403982,0,0,0,0,0
"r2_100",-2.20913080298573,-1.1186276266806,0.286373949346999,-2.80705912755701,0.463950687766165,0.0010546783623989,-0.0221901800771176,0.00129481198700319,-0.0090667103708238,0.0237781710461497,-0.0116273087303814,0,0,0,0
"r2_100",-1.95986007565385,-1.11466569596465,0.284691889800277,-2.81935477454915,0.468605124077049,0.00104488412401728,-0.021965966670988,0.00156828323980261,-0.00902137058481326,0.0224512541483154,-0.0113075497712219,-0.0194663314389428,0,0,0
"r2_100",-1.63968194566325,-1.11457427652252,0.286146035257017,-2.79164697078607,0.456755614125409,0.00105604595535086,-0.0228388891421299,0.00161894710909887,-0.00892801189323349,0.022835758582278,-0.0110605715543371,-0.0193988701525319,-0.186321050029355,0,0
"r2_100",-1.53744583195698,-1.11397529699385,0.285822700906827,-2.79555369216061,0.456333583631823,0.00105529940446596,-0.0232725225702514,0.00160996686847775,-0.00868259481533833,0.0225162422500183,-0.010668870425389,-0.0206664690591579,-0.164203496366496,-0.00381396704764128,0
"r2_100",-1.75029943065175,-1.11119825311266,0.283877338463324,-2.79263736762707,0.452877815075532,0.00103874970336602,-0.0230503585743713,0.00160555451184038,-0.00867716723180029,0.019772329192403,-0.0108687891972514,-0.0210562310635314,-0.164624510395878,-0.00426972551461871,0.00402986038071626
