"","(Intercept)","potassium","magnesium","chloride","sodium","calcium","pre_creatinine","pre_urea","glucose_r","phosphate","hemoglobin","albumin","total_co2","platelets","wbc"
"r2_072",0.051907954714243,0.0106451435292468,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",0.0459722156838299,0.00809477445423188,0.0340810622307424,0,0,0,0,0,0,0,0,0,0,0,0
"r2_086",0.140281768225026,0.00787915669469469,0.0329627045702218,0.00132121525550631,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.167627346074765,0.00624957473210347,0.0261268820133997,0.00140295257743084,0.00157991376514953,0,0,0,0,0,0,0,0,0,0
"r2_096",0.111592809291621,0.00408043329115845,0.017239183472717,0.000915103431692049,0.00103693739342552,0.0163946188869443,0,0,0,0,0,0,0,0,0
"r2_097",0.102731903842786,0.00395907422345481,0.0152405845256354,0.000833940599581545,0.000979912985755329,0.0146568838967416,1.3814012733682e-05,0,0,0,0,0,0,0,0
"r2_098",0.0877541472946375,0.00343540117073218,0.0130755548125328,0.000711910427750431,0.000835892781506416,0.0125256203614228,1.23356299768504e-05,0.000397811814039177,0,0,0,0,0,0,0
"r2_099",0.0730492911720485,0.00267566012233445,0.0101575689663284,0.000555591591110587,0.000663928241520066,0.00989564676842075,9.65304006764773e-06,0.000311458948860472,0.000358078267819734,0,0,0,0,0,0
"r2_099",0.0587471248245636,0.00214910318700332,0.00813215231071329,0.000447019979220926,0.000532441793895351,0.00807310734693407,7.77991201775074e-06,0.000259259526534125,0.000286910206418002,0.00296478742431082,0,0,0,0,0
"r2_100",0.0332339257988721,0.00119883068663448,0.00451249931464321,0.000249317451006265,0.000296064762848341,0.00448948513683498,4.33764966346229e-06,0.000143737292400287,0.000159225421312112,0.00166548362988725,6.3228334553955e-05,0,0,0,0
"r2_100",0.0151899581841839,0.000548064008017948,0.00206359923679057,0.000114809377156536,0.000136386245769968,0.00210731966369691,1.98424662471574e-06,6.65493849798531e-05,7.39934685317069e-05,0.000761114981555488,2.9674205596724e-05,9.51431885586313e-05,0,0,0
"r2_100",0.00910282362248596,0.000323360388881831,0.00122180154240084,8.01702874622357e-05,8.92070215589132e-05,0.00124988162908049,1.17855982537736e-06,4.08337643934303e-05,4.37594777623431e-05,0.000464829856567947,1.75215327404543e-05,5.6345708439038e-05,9.6243743879901e-05,0,0
"r2_100",0.00208422745532712,7.35935216177694e-05,0.000278315582047447,1.84005227961333e-05,2.03720910685143e-05,0.000287489685741401,2.70658000751205e-07,9.32873435511359e-06,9.92149490764606e-06,0.000105565038009313,3.98689170265967e-06,1.29849347213869e-05,2.20296001500139e-05,6.92463648868436e-07,0
"r2_100",2.69477592003665e-14,9.49368886764703e-16,3.58425819645081e-15,2.39719395441627e-16,2.63780220555984e-16,3.70893344760435e-15,3.49108100327664e-18,1.20239858618679e-16,1.27701427648417e-16,1.35856336018561e-15,5.14053799683872e-17,1.72459585264901e-16,2.85796915537628e-16,9.43406892532805e-18,2.44068521631438e-16
