"","(Intercept)","potassium","magnesium","chloride","sodium","calcium","pre_creatinine","pre_urea","glucose_r","phosphate","hemoglobin","albumin","total_co2","platelets","wbc"
"r2_072",5.75820413544019,-1.28697823078574,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",4.03711387680351,-1.38061922118564,2.36672787016285,0,0,0,0,0,0,0,0,0,0,0,0
"r2_086",6.59028118537424,-1.38707284133053,2.35850369013466,-0.0254463727745048,0,0,0,0,0,0,0,0,0,0,0
"r2_091",-0.448298881393683,-1.3675734525417,2.28877336579971,-0.0778531262561884,0.0885869983363495,0,0,0,0,0,0,0,0,0,0
"r2_096",1.39970124270828,-1.37720753110774,2.5283542833384,-0.0804452858458078,0.0986859798861676,-1.38832272431646,0,0,0,0,0,0,0,0,0
"r2_097",2.42126971084697,-1.44004388648823,2.44528775221194,-0.0730675117054328,0.0854295428685645,-1.37747163141271,0.000604886509824575,0,0,0,0,0,0,0,0
"r2_098",2.59416217182538,-1.41298547859856,2.50410135517415,-0.0743655117737666,0.0861862997619012,-1.40748681416216,0.000762052914487208,-0.0170530027238051,0,0,0,0,0,0,0
"r2_099",4.16063102862461,-1.40628714720995,2.51686213520376,-0.0760751028046387,0.0785960082997404,-1.48805204131174,0.000711103750067429,-0.0169680040227132,-0.0210055504323426,0,0,0,0,0,0
"r2_099",3.87339687271209,-1.41622751667216,2.50002570870266,-0.0735804269222269,0.0768248690193757,-1.40684100712961,0.000662184880033775,-0.0206672666578544,-0.0207510889113492,0.15262898603524,0,0,0,0,0
"r2_100",4.55083127084001,-1.4129454193289,2.51580829563757,-0.0732396445576977,0.0762419652344731,-1.39370733591256,0.000666401614882006,-0.0208090598700694,-0.021495363980538,0.160572694311221,-0.00660837480731507,0,0,0,0
"r2_100",4.60903779326523,-1.4098550572652,2.50209074722194,-0.0749339537697335,0.0783402529705503,-1.33180071096752,0.000662222768702416,-0.0194382036688527,-0.0227482933434773,0.157133964185656,-0.00575207181740596,-0.0124310220460495,0,0,0
"r2_100",4.76043790664605,-1.40885488855545,2.51360025688616,-0.0789023148389819,0.0819068410964762,-1.32206377338802,0.00065000747639773,-0.0204692881350303,-0.0231198815283865,0.145879328084194,-0.00584209653546688,-0.0128559084959272,-0.00884993099209214,0,0
"r2_100",4.83184997043148,-1.40785307775663,2.51964217771981,-0.0795821560188213,0.0823020631348347,-1.31077546900096,0.000637901489469674,-0.0206495855885007,-0.0231019627577583,0.145993120471358,-0.00591398938025149,-0.013344111715584,-0.00946762627697883,-0.000197972850521097,0
"r2_100",4.84436048298345,-1.40749574104196,2.51876718856744,-0.0797740541534299,0.0824441153706306,-1.30953685376747,0.000636698861649386,-0.0206172560446847,-0.0231003694802499,0.146136589212896,-0.00589825648035518,-0.0135574388408648,-0.00965612532450445,-0.000182204523561543,-0.00125050838715001
