"","(Intercept)","albumin","pre_creatinine","hemoglobin","chloride","pre_urea","phosphate","wbc","calcium","total_co2","potassium","platelets","glucose_r","magnesium","sodium"
"r2_064",0.119551718318158,0.00340620660071784,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_081",0.0903597417072859,0.00263597764452148,4.4400764075936e-05,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0670170310698653,0.00154339044727539,2.52795713873589e-05,0.000483014745488529,0,0,0,0,0,0,0,0,0,0,0
"r2_096",0.138766675109532,0.00135847965591844,2.2201417727268e-05,0.000422526755939738,0.00121913629392826,0,0,0,0,0,0,0,0,0,0
"r2_096",0.126705285794391,0.00123471623749785,2.25881799481571e-05,0.000384144104840659,0.00110728466124386,0.00080140410570499,0,0,0,0,0,0,0,0,0
"r2_097",0.107955878869081,0.00104054890159,1.93275215591043e-05,0.000322897762144117,0.000933551009320919,0.000693254366097073,0.0085459464941333,0,0,0,0,0,0,0,0
"r2_098",0.0922742244343969,0.000872781068416221,1.5875490973714e-05,0.000265214283874987,0.000777385291186103,0.000570248193083463,0.00701815189784184,0.00127753981984388,0,0,0,0,0,0,0
"r2_099",0.0670548197697236,0.000597358855396243,1.07640375364257e-05,0.000179619219672868,0.000525232995363672,0.000385205626485764,0.00475048254280696,0.000863730355696539,0.0127086617638706,0,0,0,0,0,0
"r2_100",0.0587687880372867,0.000443242516018013,7.94991920808819e-06,0.000133235713938948,0.000408742727725383,0.0002937377133786,0.00357000222731589,0.000641096790016267,0.00944961832699787,0.000685200765303035,0,0,0,0,0
"r2_100",0.0446220067797545,0.000331141130001632,6.04021846441065e-06,9.94113419907815e-05,0.000305141457836435,0.00022163030270294,0.00266795151194888,0.000478297665706857,0.00704434164056113,0.000511745596797557,0.00194854283381401,0,0,0,0
"r2_100",0.0367787228339836,0.000271274562222562,4.94563301423893e-06,8.1548196974565e-05,0.000251027389429982,0.000182368357550036,0.00218788115743923,0.000452910332358113,0.00577163247723882,0.000419561764527281,0.00159794427695042,1.51972108252818e-05,0,0,0
"r2_100",0.0240096020269028,0.000167559539410476,3.10734988182765e-06,5.01579102563759e-05,0.000161026712731129,0.000112162336389222,0.00134120345198718,0.000277676036727949,0.00354465937576355,0.000259307067471511,0.000977476638511675,9.37858165259096e-06,0.000140359365282232,0,0
"r2_100",0.00771395626443669,5.37635478894376e-05,1.00552342157703e-06,1.61110529917095e-05,5.16940993258498e-05,3.61684452462197e-05,0.000432956753079179,8.93071312535997e-05,0.001159531104714,8.35937487589828e-05,0.000315624693169531,3.01764219781695e-06,4.51137610444205e-05,0.00114372150839666,0
"r2_100",2.24147143253887e-14,1.33523314519859e-16,2.56656371970831e-18,3.90891470029189e-17,1.80844669605201e-16,8.86541605425683e-17,1.06614289995461e-15,2.17675446094357e-16,2.81989403275086e-15,2.29430196479326e-16,7.74508435511902e-16,7.32245821320257e-18,1.1014641299831e-16,2.78178419654435e-15,2.089040016569e-16
