"","(Intercept)","albumin","pre_creatinine","hemoglobin","chloride","pre_urea","phosphate","wbc","calcium","total_co2","potassium","platelets","glucose_r","magnesium","sodium"
"r2_064",-15.3156514249501,0.446346312395886,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_081",-13.8313496407845,0.504672703378064,-0.00435014328577516,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",-7.88663929144856,0.54682374217325,-0.00454271391067598,-0.0676443991507833,0,0,0,0,0,0,0,0,0,0,0
"r2_096",-1.19314735678491,0.538768443976258,-0.00463680300443991,-0.0667842949758887,-0.0649033140317705,0,0,0,0,0,0,0,0,0,0
"r2_096",-1.76162238106327,0.538406439667995,-0.00507316787484132,-0.0660059490781002,-0.0643463802153838,0.0344018556143068,0,0,0,0,0,0,0,0,0
"r2_097",-0.6971605778206,0.535138358046565,-0.0048528227304419,-0.0658798184229483,-0.0692422082021006,0.0442199879487671,-0.51536984912303,0,0,0,0,0,0,0,0
"r2_098",1.03342909297859,0.523720283103251,-0.00491915138421107,-0.0644856303826331,-0.0783958608017853,0.0478351081078604,-0.482466101223362,-0.0835233341290626,0,0,0,0,0,0,0
"r2_099",3.53507264696853,0.53354446352574,-0.00482814060262503,-0.0636041535924609,-0.0792608924632113,0.0471317006125697,-0.512278980754254,-0.0796227860027973,-1.28144322410146,0,0,0,0,0,0
"r2_100",6.21730723709399,0.532453681065322,-0.00482424718891439,-0.06462035044661,-0.0902704290503877,0.0409491832608367,-0.567950976206451,-0.0854751622310672,-1.18749406984869,-0.0582381999243121,0,0,0,0,0
"r2_100",6.90853716099056,0.53418784435228,-0.00472881846632165,-0.0645682276189187,-0.0915967882758889,0.0437251692700779,-0.552463523282074,-0.0849483240408269,-1.17845797909849,-0.0605463068865178,-0.159546300671549,0,0,0,0
"r2_100",6.63318093926436,0.534041055930074,-0.0047250787578938,-0.0642730113102659,-0.0900153248503451,0.0448042941431178,-0.561766567231212,-0.0995208469946023,-1.19383365180893,-0.0599647811892505,-0.155557175266925,0.000977665619061944,0,0,0
"r2_100",7.60776587303859,0.53205480797926,-0.00480680810074307,-0.0645288644147952,-0.0953629345564961,0.0455934883912291,-0.566271653800026,-0.0972334439305781,-1.2306411178858,-0.0635071223258156,-0.153300758966901,0.000926233996160655,-0.0169889228697128,0,0
"r2_100",7.53664523115839,0.532635809093792,-0.00477820797939788,-0.0644041698396999,-0.0950491889783599,0.0463934399954748,-0.55680671568129,-0.097683890109384,-1.17429556014049,-0.0613434143414876,-0.14510171241407,0.000981288493429183,-0.01672526880237,-0.302601224768099,0
"r2_100",7.08405511015448,0.531587689936136,-0.00480742984787234,-0.0643862455583236,-0.0998266217909194,0.0459453988248074,-0.563492927232485,-0.0984533099048364,-1.1672447873867,-0.0652731136611405,-0.140856114988059,0.000986431033262013,-0.0162704426291123,-0.295353489424812,0.00766243035589503
