"","(Intercept)","wbc","sodium","platelets","albumin","glucose_r","pre_urea","pre_creatinine","phosphate","calcium","total_co2","chloride","hemoglobin","potassium","magnesium"
"r2_027",-1.59048352766511,0.169588918460055,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_059",-20.9393489383756,0.191331698405332,0.139050410789095,0,0,0,0,0,0,0,0,0,0,0,0
"r2_075",-19.4583293711077,0.267653950236745,0.131485192021952,-0.00516509967837574,0,0,0,0,0,0,0,0,0,0,0
"r2_076",-20.0393190558457,0.275243254075153,0.128754994331078,-0.00519900383762705,0.0260132460493436,0,0,0,0,0,0,0,0,0,0
"r2_084",-23.8823453770932,0.264529583452663,0.151450377375408,-0.00503104878069878,0.0336072599164459,0.0586018344060819,0,0,0,0,0,0,0,0,0
"r2_086",-23.737513434845,0.256637121438473,0.148414153605676,-0.00487935080351891,0.0291772173370239,0.0578667534625309,0.0200602650238838,0,0,0,0,0,0,0,0
"r2_090",-24.4179337415821,0.25532004120229,0.154365304204561,-0.00484643446085747,0.0367666824381901,0.0519176062235852,0.032710913512737,-0.000791357237955249,0,0,0,0,0,0,0
"r2_093",-24.6993031322701,0.25315573745079,0.154212023028444,-0.00502502886555594,0.0383227852474342,0.0512545246812991,0.0263604474785789,-0.000946079629590707,0.337666811088984,0,0,0,0,0,0
"r2_096",-22.5160615871707,0.255347297829564,0.152040731882656,-0.00494020943130737,0.0457446128650789,0.0473058443170925,0.0261003845551374,-0.000895016299939706,0.317315263574012,-0.949904059664255,0,0,0,0,0
"r2_097",-22.9183195326466,0.257803235435679,0.148204644199523,-0.00498949185145469,0.045979774570485,0.0468500380340661,0.0302557378228725,-0.000896388858108898,0.348176602316359,-1.01380790558065,0.0387380405564899,0,0,0,0
"r2_098",-23.3811313591042,0.262932338039574,0.122714774178232,-0.00491350352576766,0.0515844684103512,0.0489480992004577,0.0319312154432165,-0.00077645525527953,0.384583194209312,-1.04303307077708,0.059950728877892,0.0310535494538277,0,0,0
"r2_099",-22.6424607484567,0.266668589584358,0.122107456420271,-0.00499352383751255,0.0564355896403316,0.0480673774930688,0.0305304275112702,-0.000787173356555136,0.38371694469921,-1.01211964663886,0.0562013748853237,0.0316088124887633,-0.00767750455734515,0,0
"r2_100",-23.1860398015377,0.265557588119675,0.12562539368427,-0.00495693751592837,0.0550449173740368,0.0480679961911116,0.0289258719540667,-0.000849185269641932,0.37337938379582,-1.01407859059123,0.0554626023152754,0.0300326289556421,-0.00770180148031774,0.0822731771907937,0
"r2_100",-23.1650229408265,0.265300408432271,0.124192455626477,-0.00490937273723803,0.0557480648357412,0.0482177880105251,0.0297111458065054,-0.000818298671016514,0.383115150364265,-0.96542249322255,0.0581093278789889,0.0312066604132342,-0.00759365750682695,0.0886670533893762,-0.268514958007326
