"","(Intercept)","pre_creatinine","platelets","albumin","pre_urea","hemoglobin","sodium","chloride","wbc","phosphate","potassium","glucose_r","magnesium","total_co2","calcium"
"r2_076",0.0213475338629397,2.53107434004784e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_088",0.0200215601904697,1.86770799468335e-05,5.73640981168147e-05,0,0,0,0,0,0,0,0,0,0,0,0
"r2_093",0.0323757990016827,1.46421052168101e-05,4.46478547920985e-05,0.000883753738204409,0,0,0,0,0,0,0,0,0,0,0
"r2_097",0.0230839721721664,1.14228143246275e-05,3.10035598498343e-05,0.000614090817386556,0.000405683265369559,0,0,0,0,0,0,0,0,0,0
"r2_098",0.0201123025491067,7.96270430020216e-06,2.16069969173632e-05,0.000436465487757497,0.000283025915422919,0.000135631916227593,0,0,0,0,0,0,0,0,0
"r2_099",0.0613972336947984,7.30789837218574e-06,1.96248163805845e-05,0.000394714185253284,0.000255595305786673,0.000122358342151359,0.000431646477316273,0,0,0,0,0,0,0,0
"r2_099",0.0547243203131826,6.69674517206472e-06,1.76469672316634e-05,0.000358754934014294,0.000227552979907455,0.000109107657748155,0.00051002817545158,0.00042348907647676,0,0,0,0,0,0,0
"r2_099",0.042859148706209,5.22893137461734e-06,1.59947825059434e-05,0.000284494829247493,0.000179360605066729,8.54810921184577e-05,0.00039798191259391,0.000332167462804768,0.000476266301797224,0,0,0,0,0,0
"r2_100",0.0272000564780039,3.36592385572985e-06,1.01684131094557e-05,0.000180818944073935,0.00011700522579748,5.42521465168391e-05,0.000252711393080013,0.000211422810874263,0.000302155830022941,0.00143564497756006,0,0,0,0,0
"r2_100",0.0229519942896867,2.81813224522501e-06,8.29195971557284e-06,0.000148071760604056,9.66297922501403e-05,4.42120038545039e-05,0.000208742375288601,0.000172765831630574,0.000246518942555374,0.00117529063492214,0.000880165881606627,0,0,0,0
"r2_100",0.0173197753108171,2.03993772583133e-06,5.94811035058587e-06,0.000106176940955316,6.91768685499011e-05,3.16278815919769e-05,0.000150013737505636,0.000123769143458544,0.000175823834147233,0.000837021950131697,0.000625705378639674,8.89604994158882e-05,0,0,0
"r2_100",0.0109485115059199,1.29581378768812e-06,3.75763478466943e-06,6.6993134796199e-05,4.37142768687291e-05,1.99417347542903e-05,9.45116901957e-05,7.79533525325481e-05,0.000111002952117664,0.000529297652926887,0.000396154135566094,5.61062100329715e-05,0.0013913243084041,0,0
"r2_100",0.00785940795031386,9.26751552468791e-07,2.64966911147142e-06,4.77798078587518e-05,3.20785861617489e-05,1.41247106793628e-05,7.53729071537236e-05,6.53462750996702e-05,7.87350877270436e-05,0.000385314563441343,0.0002800347851465,3.96793778654285e-05,0.00099059319976696,8.25327057027498e-05,0
"r2_100",2.57022658378411e-15,2.9429999444152e-19,8.39643837749209e-19,1.53107091864735e-17,1.01657008374842e-17,4.48223266671523e-18,2.39543815157739e-17,2.07369039197818e-17,2.49601761622755e-17,1.2225133828595e-16,8.88105081965265e-17,1.26301515463018e-17,3.1897866680417e-16,2.63080573570393e-17,3.23348604903746e-16
