"","(Intercept)","pre_creatinine","platelets","albumin","pre_urea","hemoglobin","sodium","chloride","wbc","phosphate","potassium","glucose_r","magnesium","total_co2","calcium"
"r2_076",2.4239573588579,-0.00443090629736794,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_088",1.28706470898763,-0.00435999053616468,0.00533699636195917,0,0,0,0,0,0,0,0,0,0,0,0
"r2_093",3.64318963534847,-0.00407491788808153,0.0050462345945646,-0.0728230492707036,0,0,0,0,0,0,0,0,0,0,0
"r2_097",3.14635639564924,-0.00457639686519079,0.0050695308440807,-0.0730184990907782,0.0391294051293536,0,0,0,0,0,0,0,0,0,0
"r2_098",1.99295375033761,-0.00455879234677999,0.00508451013701805,-0.0811414645014144,0.040394684008881,0.012964551915606,0,0,0,0,0,0,0,0,0
"r2_099",4.6217249269722,-0.00449962462136752,0.00498047474707338,-0.0803620212780105,0.0401299004260645,0.0128902014573583,-0.0193456504732169,0,0,0,0,0,0,0,0
"r2_099",4.65742620233886,-0.00442210554649441,0.00509766934409176,-0.0767746244091348,0.0401001620966873,0.0125616986306022,-0.0356802017969942,0.0206132035721696,0,0,0,0,0,0,0
"r2_099",4.35632404265016,-0.00440082888686338,0.00449187497710033,-0.0729419355013893,0.0381722928268578,0.0119289730865269,-0.0368371628683613,0.0232885322770273,0.035362016559875,0,0,0,0,0,0
"r2_100",4.21781934329335,-0.00446551236465527,0.00441459513015819,-0.0718752288831994,0.0351045700472086,0.0118710726260497,-0.0385428036444472,0.0254197025100491,0.0344673001052788,0.161874504166868,0,0,0,0,0
"r2_100",4.60937410731286,-0.00442284404914422,0.00439302315166502,-0.0709005410793946,0.03613941893551,0.0118740926781514,-0.0407926716522398,0.0263151175562032,0.035166330118461,0.169206049912855,-0.0577510901228171,0,0,0,0
"r2_100",4.08898469279289,-0.00438952752174033,0.00442310795468344,-0.0700703299447333,0.0356064014118041,0.0120115498397851,-0.0387423105677016,0.027476652406181,0.0337792808219842,0.168242940331644,-0.0577575384282919,0.00833648906851037,0,0,0
"r2_100",3.98810198104699,-0.00440613429375231,0.00439293829659042,-0.0705828045821113,0.0353142387573373,0.0119484924386752,-0.0385127386931558,0.0274706256630249,0.0340540461839964,0.164864519988746,-0.0616916895129902,0.00839153016252596,0.154933497132131,0,0
"r2_100",4.11328152395064,-0.00441960820765684,0.0043889258609219,-0.0711008129347623,0.0345173101993496,0.0118437838078809,-0.0353453626953325,0.0242657252742135,0.0332824346334353,0.156321099308095,-0.0612177351529005,0.00818606051870862,0.167748146944317,-0.00748860922302079,0
"r2_100",3.93517382243474,-0.00442394064384413,0.00438319283068845,-0.0717487803895291,0.0344869048489785,0.0117806422131418,-0.0348812980752188,0.0239895148749737,0.0330099805740838,0.157835526523025,-0.0609800736983259,0.00853402893259557,0.151738041469165,-0.00829240208949642,0.0910167725724337
