"","(Intercept)","platelets","pre_creatinine","albumin","calcium","wbc","glucose_r","chloride","total_co2","hemoglobin","pre_urea","potassium","magnesium","phosphate","sodium"
"r2_086",0.00522826738060485,2.40356841677078e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_096",0.00477237369877544,1.36734055938843e-05,4.45190106366547e-06,0,0,0,0,0,0,0,0,0,0,0,0
"r2_096",0.00901953199605606,1.24383881562789e-05,4.07912516647927e-06,0.000246203811617268,0,0,0,0,0,0,0,0,0,0,0
"r2_098",0.0110879918139812,9.94487935900458e-06,3.26929650377898e-06,0.000199997022657824,0.00442745973214236,0,0,0,0,0,0,0,0,0,0
"r2_099",0.0092474208454216,9.49285732080531e-06,2.67105098775006e-06,0.000165262410723216,0.00361639639076202,0.000279440077982343,0,0,0,0,0,0,0,0,0
"r2_099",0.00902497641000169,8.96441283553286e-06,2.54906136519471e-06,0.000156111599733127,0.00340205635825309,0.000263504181304887,0.000129736654740976,0,0,0,0,0,0,0,0
"r2_099",0.017194379798849,8.24546977969145e-06,2.35513618352246e-06,0.000144128016474675,0.00310948931688815,0.000241589442071846,0.000122852750382628,0.000134022000616335,0,0,0,0,0,0,0
"r2_099",0.0155248719579041,6.47996627329436e-06,1.88987981756559e-06,0.000114015271445177,0.00245980540608833,0.000191378767061514,9.73715655525687e-05,0.000110780763312437,0.000169355374986659,0,0,0,0,0,0
"r2_100",0.0109965090860844,4.51566051094665e-06,1.3189671936689e-06,8.07754442464494e-05,0.00171488446834668,0.000133605702928811,6.78429847082975e-05,7.71300077859773e-05,0.000118265059440578,2.41985338421861e-05,0,0,0,0,0
"r2_100",0.00962450106739548,3.8926894706418e-06,1.24895028829999e-06,6.94925017689531e-05,0.00147395990356106,0.000115481073934273,5.84062591144084e-05,6.645425048702e-05,0.000106029955878862,2.08706689581498e-05,4.54066794351292e-05,0,0,0,0
"r2_100",0.00458404053385456,1.82211998651003e-06,5.96709805248661e-07,3.25662348016054e-05,0.000689380326080941,5.40621327477977e-05,2.73172676914075e-05,3.11297071169203e-05,4.97080910015999e-05,9.76222875429899e-06,2.15422027065736e-05,0.000189770261036305,0,0,0
"r2_100",0.00271019791345967,1.07930608181059e-06,3.55864367511735e-07,1.9234856192882e-05,0.00041487818830355,3.19925701512525e-05,1.61651573774844e-05,1.83904341151831e-05,2.94549471546866e-05,5.77020659701273e-06,1.28013807897955e-05,0.000112809212147058,0.000408454473389026,0,0
"r2_100",0.00137850939259606,5.39262600225365e-07,1.79690347417401e-07,9.60772309360373e-06,0.000207212027662728,1.59594785138293e-05,8.06197769382986e-06,9.2379058189645e-06,1.49384782433671e-05,2.8790982360212e-06,6.46342029671216e-06,5.6403172270412e-05,0.000204386800727351,7.73707978432677e-05,0
"r2_100",7.52826346047562e-16,2.45933960197178e-19,8.62012675672477e-20,4.48454829818144e-18,9.47096844554738e-17,7.31090337929819e-18,3.69940568610507e-18,6.07389547083605e-18,7.7057014415244e-18,1.31285811994453e-18,2.97756138107811e-18,2.6012839022847e-17,9.34297177191893e-17,3.58077489673053e-17,7.01630339602156e-18
