"","(Intercept)","platelets","pre_creatinine","albumin","calcium","wbc","glucose_r","chloride","total_co2","hemoglobin","pre_urea","potassium","magnesium","phosphate","sodium"
"r2_086",1.02236243076653,-0.00565052363053373,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_096",1.54500761962264,-0.00573192584226802,-0.000625071993658221,0,0,0,0,0,0,0,0,0,0,0,0
"r2_096",1.95906307231312,-0.00579731580742208,-0.00057415629441325,-0.0127230942782482,0,0,0,0,0,0,0,0,0,0,0
"r2_098",1.36242058630016,-0.00583265111602043,-0.000589386302076314,-0.0153237250013713,0.313226776111836,0,0,0,0,0,0,0,0,0,0
"r2_099",1.48471440009735,-0.00551062551162184,-0.000584645406934484,-0.0169267235304581,0.31743780185024,-0.0183086279254353,0,0,0,0,0,0,0,0,0
"r2_099",1.58203237251268,-0.00551594961812165,-0.000601650246842808,-0.0173984792849939,0.303844928407384,-0.0170991065652366,-0.00527948969538969,0,0,0,0,0,0,0,0
"r2_099",2.19724592766417,-0.00555242580550102,-0.000615196999143892,-0.0182303734947063,0.300094414546653,-0.0178914219514273,-0.00657438731632619,-0.00547104623490882,0,0,0,0,0,0,0
"r2_099",2.74014151030075,-0.00555607821497499,-0.000641914106154689,-0.0186808261004799,0.319945932918369,-0.0195548729050659,-0.00744076840309924,-0.00792694300557817,-0.0121092503733376,0,0,0,0,0,0
"r2_100",2.92788412107434,-0.00557608473928676,-0.000650735812393568,-0.0172918298935272,0.328883757515432,-0.0185936646104679,-0.0077204546290368,-0.00782067374759126,-0.0129994426667274,-0.00223664247682483,0,0,0,0,0
"r2_100",2.83216850223825,-0.00555873883891348,-0.000678738331963248,-0.0174408550211847,0.327676379521618,-0.0192413554817862,-0.00790550399870686,-0.00756821640883601,-0.0113990961672195,-0.00213964518551977,0.00242637205248189,0,0,0,0
"r2_100",2.9783713329173,-0.0055708423476924,-0.000658012069427552,-0.0170931286476554,0.32952017487853,-0.0189316539735807,-0.00782908175648281,-0.00786102191195066,-0.0119272504988189,-0.0021286106109331,0.00303446903641831,-0.0321056299796172,0,0,0
"r2_100",2.97234469060641,-0.00556101133932201,-0.00065267299075846,-0.0170073822208755,0.338840453757384,-0.0190043636441441,-0.00779107510499424,-0.00783466574839063,-0.0116291648001153,-0.00210833698925874,0.00318780698892288,-0.0306966831320968,-0.050109719901048,0,0
"r2_100",3.01454495249806,-0.00555604650783923,-0.000648256677630693,-0.0170880916538466,0.337037748688582,-0.0189743435835709,-0.00782485805354002,-0.00801018332739979,-0.0120526903999734,-0.00211196309134884,0.00334269045408378,-0.0301876163616057,-0.0474408608400328,-0.0119809353053726,0
"r2_100",3.09542429785762,-0.00555696549664579,-0.00064303463348365,-0.0169007893080906,0.335777752373727,-0.0188368457318177,-0.00790613698880246,-0.00715644034794172,-0.0113504401879525,-0.00211516621946958,0.00342275688703497,-0.0309463186057341,-0.048736055018386,-0.0107860872782061,-0.00136930154302425
