"","(Intercept)","calcium","hemoglobin","phosphate","chloride","pre_creatinine","pre_urea","sodium","wbc","magnesium","albumin","glucose_r","total_co2","platelets","potassium"
"r2_049",0.0907890230329712,0.0401508952969977,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_079",0.0721852199173988,0.027624183049969,0.000390555175119738,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.0481107142475285,0.0177937711073412,0.000251981609884374,0.00621315814841103,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0742600619435491,0.0148053552695799,0.000209187810829793,0.00519290952399469,0.000608440583420682,0,0,0,0,0,0,0,0,0,0
"r2_095",0.0707252480583936,0.0141284715337018,0.000198427909930051,0.00519567397900141,0.00057895550681587,1.08899279525684e-05,0,0,0,0,0,0,0,0,0
"r2_098",0.0471229268223597,0.0093940123733578,0.000132019654638338,0.00355055656039276,0.000384808352460321,7.89793281417854e-06,0.000286609774688334,0,0,0,0,0,0,0,0
"r2_099",0.0520012598334498,0.00712256842077728,0.000100073349434127,0.00269467337072498,0.000385861121055196,6.28513154390143e-06,0.000217408292071102,0.000469115254280982,0,0,0,0,0,0,0
"r2_100",0.0297569549035825,0.0040290925435611,5.66840486066043e-05,0.00153109887108261,0.00021976144477103,3.57883392291118e-06,0.000123568487052722,0.000265493736268835,0.000271941929971329,0,0,0,0,0,0
"r2_100",0.0231642092031168,0.00320237073949544,4.40412678510227e-05,0.00119357615288935,0.000170511699521467,2.80523560189579e-06,9.6193138589663e-05,0.000206010265732166,0.000211418977643674,0.00322006739016857,0,0,0,0,0
"r2_100",0.0175889292346509,0.00245002821443358,3.39632169562954e-05,0.000902304525088029,0.000132101295701177,2.1329194195691e-06,7.30035574493396e-05,0.000158288640184884,0.000163336089988271,0.0024319157034369,0.000114480764183232,0,0,0,0
"r2_100",0.0103055090683989,0.00134777567302541,1.86561674231891e-05,0.000494827488212691,7.2789361044892e-05,1.18764514907888e-06,4.02306055355802e-05,8.75500085384989e-05,8.93950739271835e-05,0.0013220342385088,6.30437314124211e-05,5.28094483133871e-05,0,0,0
"r2_100",0.00803235487615144,0.0010427187944853,1.44121824207835e-05,0.000392395959967216,6.65399423583644e-05,9.26193149622138e-07,3.21679843574071e-05,7.63358749256814e-05,6.93981338846523e-05,0.00102336106205179,4.91361004054022e-05,4.06898297078632e-05,8.46217362285475e-05,0,0
"r2_100",0.00494297257152446,0.000638308798558848,8.84651912831572e-06,0.000240486787101576,4.08228572538282e-05,5.67456472241205e-07,1.9803378227046e-05,4.67544539220302e-05,4.91791391071079e-05,0.000627302192580515,3.00913939738902e-05,2.49322391976241e-05,5.19038277217741e-05,1.65488826230352e-06,0
"r2_100",1.42993483120457e-15,1.79893646610928e-16,2.49367143431484e-18,6.80140217517633e-17,1.1536889935432e-17,1.63732573435474e-19,5.65564522709223e-18,1.33269201655122e-17,1.38864898186882e-17,1.77462449790299e-16,8.51804914567069e-18,7.02673209179064e-18,1.46363778950463e-17,4.6713234427612e-19,4.94093555207969e-17
