"","(Intercept)","calcium","hemoglobin","phosphate","chloride","pre_creatinine","pre_urea","sodium","wbc","magnesium","albumin","glucose_r","total_co2","platelets","potassium"
"r2_049",-9.09245990293807,3.9255282208371,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_079",-4.84463962815058,4.15801023365287,-0.0446353126710159,0,0,0,0,0,0,0,0,0,0,0,0
"r2_091",-6.1986208980897,4.21667976341422,-0.0444213481581087,0.6978221353318,0,0,0,0,0,0,0,0,0,0,0
"r2_094",-2.18363603872119,4.16641888736309,-0.0441547362518608,0.660663739336029,-0.0390318202650714,0,0,0,0,0,0,0,0,0,0
"r2_095",-1.97837017488434,4.22065618157144,-0.0441765304171328,0.711480185514238,-0.0403502751325164,-0.000347097945835361,0,0,0,0,0,0,0,0,0
"r2_098",-2.32806248686698,4.23160228618119,-0.0435297544436207,0.625638454005667,-0.0405970927479097,-0.000675498107767296,0.0299522356987937,0,0,0,0,0,0,0,0
"r2_099",-5.35196354619792,4.21590265304489,-0.0433673846101033,0.614275095545389,-0.0608052714177102,-0.000828695169802012,0.0304316564776069,0.0375271885418956,0,0,0,0,0,0,0
"r2_100",-5.93060507211687,4.20918846510369,-0.0437064542149733,0.597198468037233,-0.0574665070669885,-0.000779323836301637,0.0289228460432758,0.0377493461692631,0.0369322450260138,0,0,0,0,0,0
"r2_100",-6.05587972955002,4.15730376583264,-0.043798467852088,0.589834780562764,-0.0573597026768428,-0.00080889808940214,0.0283545306343192,0.038218341178371,0.0369139443424314,0.246349446572569,0,0,0,0,0
"r2_100",-6.16555853141356,4.12941113260258,-0.0443510143455907,0.593447525311971,-0.0550566808810469,-0.000828768288916727,0.0281022879986338,0.0359835737694784,0.0396479031077903,0.235103292776166,0.00910042669634843,0,0,0,0
"r2_100",-6.6639267772412,4.14907799863375,-0.0442470665310783,0.593348293174555,-0.0540777791429909,-0.000799847078586074,0.0275796968412556,0.0378514908181468,0.0387659856336163,0.233772489044575,0.00972278121865345,0.00748091843749716,0,0,0
"r2_100",-6.57333780579824,4.15742087210578,-0.0443408315744494,0.586312259366603,-0.0567736980764208,-0.000811056926461666,0.0269209239833929,0.0405278637808749,0.0380641193701763,0.243212505517203,0.00923751824238349,0.00734277852858151,-0.00636088016189365,0,0
"r2_100",-6.51346971462453,4.15928902132852,-0.0444012669591971,0.587914886881785,-0.0570713082158804,-0.000813171627499554,0.0267000697173094,0.0404643952054789,0.0409090028440947,0.247749610717459,0.00925559325869429,0.00720458607991873,-0.00648596799705144,-0.000190753484549885,0
"r2_100",-6.4116596700787,4.15876511618897,-0.0443985001264656,0.589677187247315,-0.0568043035419795,-0.000802047938481303,0.0269861006130767,0.0398361513930313,0.0411357780673666,0.252547104459621,0.00950541469802354,0.00720139422741103,-0.00639969097382329,-0.000198528485809567,-0.0156103537957879
