"","(Intercept)","chloride","hemoglobin","pre_urea","platelets","pre_creatinine","wbc","potassium","sodium","albumin","phosphate","glucose_r","magnesium","calcium","total_co2"
"r2_056",19.6313107142738,-0.199820356711829,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_075",23.8357016577105,-0.197489269536456,-0.0414281759073419,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",21.8674987721444,-0.192206969283791,-0.0402901438711405,0.0571403896756765,0,0,0,0,0,0,0,0,0,0,0
"r2_087",22.7134137602693,-0.197006315796165,-0.0405229777065907,0.056288145019056,-0.00161171875807999,0,0,0,0,0,0,0,0,0,0
"r2_088",23.3306832726403,-0.200411507649574,-0.0402634375337982,0.0678123060117807,-0.00170288368937693,-0.00068588967609582,0,0,0,0,0,0,0,0,0
"r2_093",22.4879852880713,-0.194947358947572,-0.0416077265549963,0.0618290544377063,-0.00362485199198081,-0.000588522579159785,0.112721392658762,0,0,0,0,0,0,0,0
"r2_096",20.9483936987359,-0.192044665091588,-0.0420099313340875,0.0543786689703792,-0.00353656430268209,-0.000823723905629488,0.11042319491272,0.346533962156109,0,0,0,0,0,0,0
"r2_098",16.4812232482601,-0.219811172647488,-0.0418773245076577,0.0540419516856169,-0.00349688026072317,-0.00106670124498869,0.110169527591429,0.378626717809408,0.0525519278314701,0,0,0,0,0,0
"r2_098",16.879450958541,-0.226539316731844,-0.040256707523792,0.0544070859771854,-0.00346906832303683,-0.00101538115625084,0.101970160893924,0.392827419097097,0.059312582044018,-0.0257976190011577,0,0,0,0,0
"r2_099",16.8029774458049,-0.223588048395403,-0.0403301216341824,0.0507669286215434,-0.00357519782846735,-0.00108718979839848,0.101063624535992,0.37774784601589,0.0565326776743731,-0.024118367923071,0.209790481356017,0,0,0,0
"r2_100",18.1532781755475,-0.226468212653264,-0.0406626190571638,0.0521957801944359,-0.00364938504491235,-0.00117096054648179,0.104447201664674,0.377201330549626,0.0511493846376319,-0.0265010205431784,0.211970202979343,-0.0213932409110483,0,0,0
"r2_100",17.9374881149834,-0.226479834058576,-0.0407891870961737,0.0516054728321145,-0.00370994883422869,-0.00120580134654582,0.104990993550726,0.369151982942839,0.0516784915426778,-0.0275446949782829,0.205478484073655,-0.0212627468399114,0.317330366230868,0,0
"r2_100",18.3562485983472,-0.226632593201202,-0.0406766516748415,0.0514774344717502,-0.00369847131532836,-0.00119945210947149,0.105441006277705,0.368736582950609,0.0514172756692833,-0.0262374052540039,0.200066574326226,-0.0220811262325517,0.355522768626143,-0.199533231046746,0
"r2_100",18.3164238297563,-0.225415102527667,-0.0406341483121954,0.0517796190890317,-0.00369673690646413,-0.00119422682743002,0.105738167460088,0.36855605076463,0.0502062346659427,-0.0260176333797023,0.203230441950527,-0.022017237085932,0.351366339904761,-0.203306020059551,0.0028542276871361
