"","(Intercept)","pre_urea","sodium","pre_creatinine","total_co2","chloride","hemoglobin","albumin","phosphate","potassium","wbc","calcium","magnesium","platelets","glucose_r"
"r2_066",0.00985347627147628,0.00040928614475313,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_072",0.0958090007187557,0.000374952662354454,0.000696602615486199,0,0,0,0,0,0,0,0,0,0,0,0
"r2_078",0.0886738091147638,0.00038888188620837,0.00065079557070625,1.10034150552669e-05,0,0,0,0,0,0,0,0,0,0,0
"r2_093",0.0532159100237378,0.000240259238080008,0.000389502124079818,6.50075107806275e-06,0.000534391121285559,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0483341855583487,0.000221129782563331,0.000517390243078033,6.23675595095717e-06,0.000557361934676838,0.000439315436585735,0,0,0,0,0,0,0,0,0
"r2_096",0.0407458951084934,0.000181486051175972,0.000422859573147827,5.08932619565728e-06,0.000459199789111647,0.000358894538830186,8.12393807768139e-05,0,0,0,0,0,0,0,0
"r2_097",0.0360545140998201,0.000159546682567686,0.000376330093521522,4.49460612804644e-06,0.000403585671874706,0.000319912255923046,7.26282343425591e-05,0.000236902016485696,0,0,0,0,0,0,0
"r2_098",0.0302363970203343,0.000134749966975477,0.000318404978392526,3.78167817856709e-06,0.000347527113390445,0.000273408555411597,6.06300452152071e-05,0.000198726292540443,0.00165249222935821,0,0,0,0,0,0
"r2_099",0.0202220188219616,8.82850101854774e-05,0.00020809826443748,2.51012835952102e-06,0.000224515838243273,0.000177057808783226,3.91775006765263e-05,0.000128875055619801,0.00107214693161126,0.000780424382551057,0,0,0,0,0
"r2_100",0.0134057115126769,5.76289493998161e-05,0.00013624864556961,1.6433033673066e-06,0.000148018918870378,0.000117857619944854,2.55785713445932e-05,8.63089506370125e-05,0.000698864723875568,0.000508925797568319,0.000123746742128548,0,0,0,0
"r2_100",0.00667375105397225,2.78790258351418e-05,6.61180894463475e-05,7.99151884619649e-07,7.23018213727791e-05,5.71879095156831e-05,1.2412322711444e-05,4.23939346078963e-05,0.000338236169259372,0.000246394479172744,5.99733100120056e-05,0.000881559965516067,0,0,0
"r2_100",0.00185707763325282,7.78463853749672e-06,1.84233010823924e-05,2.23978617762928e-07,2.02140004594244e-05,1.59165675184389e-05,3.45374339128437e-06,1.17918267222113e-05,9.45531124271948e-05,6.8756113176882e-05,1.67090229173126e-05,0.000249669495266712,0.000248507623102652,0,0
"r2_100",1.99450472501622e-05,8.35717594893795e-08,1.96882467397976e-07,2.39183003502316e-09,2.16222450059408e-07,1.70198365522692e-07,3.69528241063299e-08,1.25956789895795e-07,1.01098052712509e-06,7.35536915507429e-07,2.06203662646319e-07,2.66620907748774e-06,2.65768136709715e-06,6.89829633832679e-09,0
"r2_100",2.6475371757748e-15,1.04714779058192e-17,2.46749123154471e-17,3.03152329460027e-19,2.70993850560172e-17,2.13606552762603e-17,4.61705504505729e-18,1.5771244455415e-17,1.25928571800758e-16,9.14818652694733e-17,2.57109605512753e-17,3.33074701514134e-16,3.28573318777119e-16,8.64899728637302e-19,1.30100575433595e-17
