"","(Intercept)","pre_urea","sodium","pre_creatinine","total_co2","chloride","hemoglobin","albumin","phosphate","potassium","wbc","calcium","magnesium","platelets","glucose_r"
"r2_066",-1.37340589422333,0.0572009344740995,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_072",-5.76985070921129,0.0559298384480728,0.0321022138514841,0,0,0,0,0,0,0,0,0,0,0,0
"r2_078",-6.44530264995127,0.0654700190006736,0.0387077978407524,-0.000568570827778263,0,0,0,0,0,0,0,0,0,0,0
"r2_093",-7.46768802419628,0.0743810920458427,0.0322661878130833,-0.000546401656007142,0.071351074276282,0,0,0,0,0,0,0,0,0,0
"r2_094",-7.45148860401069,0.0728262770689746,0.0488906107314165,-0.000635281848634742,0.0592948083299158,-0.0193361321108126,0,0,0,0,0,0,0,0,0
"r2_096",-8.12132749837375,0.0738343399852331,0.0482501473321023,-0.000639784657197621,0.0621692542057065,-0.0187666121788099,0.00572710002709486,0,0,0,0,0,0,0,0
"r2_097",-7.91639824081606,0.0736836560802692,0.0518152774008629,-0.000606010992754309,0.0608622555814871,-0.0221346121498794,0.00649239763733873,-0.0126040494445889,0,0,0,0,0,0,0
"r2_098",-7.72044760696003,0.0749360145994117,0.05510160423595,-0.000575839888988311,0.0555334299413297,-0.0258001060153804,0.0064656392263608,-0.0136486999479192,-0.101574119544604,0,0,0,0,0,0
"r2_099",-8.29513081637807,0.0733159469855599,0.0586161712740522,-0.00063931207867747,0.0549464550814636,-0.0272753431877584,0.00644624337501123,-0.0149578149980274,-0.113150288321701,0.0848569662823622,0,0,0,0,0
"r2_100",-8.56241597391784,0.0729839471444951,0.0573048971716924,-0.000623656628665369,0.0570310927927618,-0.0247352346580519,0.00624654103506947,-0.0129428269448896,-0.115653560366767,0.0832866734039925,0.0133111596255742,0,0,0,0
"r2_100",-8.82349749306889,0.0728968373612015,0.0580497520742935,-0.000636387733838121,0.0553781752877383,-0.0253607889984495,0.00612579104637425,-0.0141571519622276,-0.114161955967907,0.0831159214189535,0.0127149446630838,0.146261361967691,0,0,0
"r2_100",-8.83596248599798,0.0726887082958155,0.0584584612029739,-0.000645024346602127,0.0546587584609132,-0.0256543605087544,0.00610151387986309,-0.0143895818764539,-0.117113772834627,0.0812562643454183,0.0125691085742964,0.131688738428033,0.0788937212723018,0,0
"r2_100",-8.81801731068449,0.0726225414239527,0.0584334593701599,-0.000645259690446833,0.0546302117801575,-0.0257329461792486,0.00608371572259054,-0.0143800487183127,-0.116584031846177,0.0809579274959228,0.0134469461933004,0.132274617918227,0.0803959302757201,-5.87740529605033e-05,0
"r2_100",-8.81735341817278,0.0726230799312673,0.0584314208319104,-0.000645298090013451,0.054629275209733,-0.0257346292026296,0.00608355974272752,-0.0143809410549331,-0.116584701993182,0.0809578563804312,0.0134484583139141,0.132251082096386,0.0803993316422694,-5.88060759240123e-05,-9.57394398464801e-06
