"","(Intercept)","chloride","wbc","hemoglobin","platelets","pre_urea","calcium","sodium","phosphate","total_co2","pre_creatinine","potassium","glucose_r","albumin","magnesium"
"r2_016",0.203077404790899,0.00205046531989369,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_027",0.215597365872604,0.00211523265220008,0.00339861654886896,0,0,0,0,0,0,0,0,0,0,0,0
"r2_062",0.163700706214567,0.00152536848516247,0.0024517926005299,0.000516952152107635,0,0,0,0,0,0,0,0,0,0,0
"r2_075",0.135637384564767,0.00125437238210147,0.0023231872197913,0.000424303152094604,7.87375722404471e-05,0,0,0,0,0,0,0,0,0,0
"r2_080",0.12323416921585,0.00111974776390249,0.00210183136125448,0.000379807789623151,7.05089996148945e-05,0.000714594965140235,0,0,0,0,0,0,0,0,0
"r2_089",0.102143754674966,0.000832412514962,0.00156507156238399,0.000283130183534071,5.22939109000235e-05,0.000531977205968005,0.0199364193525529,0,0,0,0,0,0,0,0
"r2_092",0.126853548376665,0.000908791118509451,0.00135094359514248,0.000244364060959128,4.51378992537826e-05,0.0004645290734208,0.0172346541761369,0.00108357907112697,0,0,0,0,0,0,0
"r2_095",0.100890308443521,0.000728400004168816,0.00107410141183539,0.00019446812346641,3.59716614458539e-05,0.000390795252172918,0.0137320401647713,0.000866184387586056,0.00516986740687665,0,0,0,0,0,0
"r2_096",0.0865143560530241,0.000714610711832759,0.000909242232055599,0.000165163674902589,3.03436785571938e-05,0.000351906768405021,0.0116733648801623,0.000814250221187134,0.00451121846355393,0.000959129991143832,0,0,0,0,0
"r2_097",0.081280084024637,0.000695731997803872,0.000848576190755994,0.000153566301680268,2.83327764845867e-05,0.000346577027934746,0.0109251636782529,0.000803934523355556,0.00423266122512244,0.00090311183041601,9.73461315871609e-06,0,0,0,0
"r2_099",0.0553331101908811,0.000458878386942598,0.000562408988745159,0.000101145649497066,1.90990223163589e-05,0.000231575269540087,0.0071923817082299,0.000534616176489155,0.00279767248885726,0.000594814408507469,6.60012835426832e-06,0.00203438631169374,0,0,0
"r2_099",0.0405989267869866,0.000318578055551224,0.00038860079546495,7.00607938285063e-05,1.3273896301789e-05,0.000160683814982235,0.00497749016752531,0.000371531679367383,0.00192550896729676,0.000411639716265454,4.6303567864328e-06,0.00139838877674014,0.000198983595763296,0,0
"r2_100",0.0237023884716611,0.00019098448347575,0.000229883430447167,4.13313563498696e-05,7.7299412887977e-06,9.3273924374921e-05,0.00293039721015714,0.000220512498771357,0.00112120392184799,0.00024109429228604,2.6909412304268e-06,0.000815813467460765,0.000116400985908881,0.000141197613502904,0
"r2_100",1.1360551162192e-14,9.16583228157636e-17,1.10325432044739e-16,1.98117293830557e-17,3.71127465451908e-18,4.49329896408378e-17,1.42921966195839e-15,1.0587976114073e-16,5.40358033803853e-16,1.16283145411444e-16,1.30082311224221e-18,3.92547617580652e-16,5.58260052764485e-17,6.7674226132347e-17,1.4099042811009e-15
