"","(Intercept)","chloride","wbc","hemoglobin","platelets","pre_urea","calcium","sodium","phosphate","total_co2","pre_creatinine","potassium","glucose_r","albumin","magnesium"
"r2_016",-10.3288308101681,0.0891905655901015,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_027",-8.17759973067966,0.0776694154499287,-0.126976003744634,0,0,0,0,0,0,0,0,0,0,0,0
"r2_062",-3.52734757776879,0.0806639425760222,-0.118333869509796,-0.046813204404432,0,0,0,0,0,0,0,0,0,0,0
"r2_075",-4.9011489599289,0.0884010231436061,-0.195969436329969,-0.045258750337301,0.00521834861047964,0,0,0,0,0,0,0,0,0,0
"r2_080",-6.08384356669003,0.0911864318866374,-0.207633868134561,-0.0442014404049054,0.00554426629578955,0.0354314375803171,0,0,0,0,0,0,0,0,0
"r2_089",-2.21615154388726,0.088321871062308,-0.210659669728223,-0.0422207925438396,0.00570179140810856,0.0367504654924507,-1.70112286239312,0,0,0,0,0,0,0,0
"r2_092",2.74136075931144,0.118565698987177,-0.212062259002192,-0.0423813211834754,0.00566081133400625,0.0405196273932939,-1.64848141342583,-0.0588865812832291,0,0,0,0,0,0,0
"r2_095",2.97357561098292,0.111756659319722,-0.210268202048116,-0.0422444582285911,0.00582823453447463,0.0495663859367488,-1.70426246310332,-0.0521655169791407,-0.367721395944298,0,0,0,0,0,0
"r2_096",2.09793150783063,0.133322629597768,-0.205777261393493,-0.0412155601944734,0.00584133635456552,0.0567152419181898,-1.77257996668206,-0.0730548785871323,-0.299279551984823,0.0569068985111232,0,0,0,0,0
"r2_097",2.51486212131584,0.140884157433754,-0.202920182185441,-0.041264516834917,0.0058576323164277,0.0525183253415936,-1.81965412721467,-0.0829049609594317,-0.319379331494865,0.0620043355863023,0.000356824308860154,0,0,0,0
"r2_099",4.00098143137522,0.143670658887711,-0.201237034253505,-0.0410473287739776,0.00576940276754987,0.0565758938657766,-1.80137632233438,-0.0908391123775161,-0.292677779748174,0.0629361147769452,0.000523872022755118,-0.21406450377981,0,0,0
"r2_099",2.65886997675401,0.146457464026633,-0.204840683250291,-0.0406182515524571,0.00583025641809561,0.0554282728535574,-1.74842390888986,-0.0860480851675728,-0.29212670847533,0.0646528956321303,0.000606623932616868,-0.212884845124497,0.0198683449366993,0,0
"r2_100",2.93164387605967,0.140310901681332,-0.210377484121408,-0.0396490222721375,0.00584367870574184,0.0554995174951459,-1.68793561790904,-0.0801563586468639,-0.304080676898342,0.0607120926664578,0.000629591152510807,-0.202779018497732,0.0187384672730753,-0.017883876374077,0
"r2_100",2.9109968074634,0.139157527332413,-0.210124829516119,-0.0397552634500957,0.00579695083035256,0.0547280605529808,-1.7357356102011,-0.0787486331649268,-0.313645142445236,0.0581119362957958,0.000599248004250556,-0.209060394307487,0.0185913110439367,-0.0185746519411139,0.26379043156298
