"","(Intercept)","glucose_r","phosphate","pre_creatinine","calcium","chloride","potassium","sodium","hemoglobin","total_co2","magnesium","platelets","albumin","pre_urea","wbc"
"r2_076",0.012262650732826,0.00125197664176627,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_090",0.0152662671006172,0.000810123621010368,0.00746538041805207,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0144601961727691,0.000636222532392048,0.00610218502393989,1.30854820337241e-05,0,0,0,0,0,0,0,0,0,0,0
"r2_097",0.0317299893002888,0.00049929364473803,0.004777294202307,1.02707731369513e-05,0.0130674389719914,0,0,0,0,0,0,0,0,0,0
"r2_097",0.0599810234843606,0.000454843332506357,0.00421054413137587,9.11709639215753e-06,0.0115188540414028,0.000492535641938183,0,0,0,0,0,0,0,0,0
"r2_099",0.0453933149342662,0.000336380732539207,0.00313772925987726,7.03746341022831e-06,0.00851596171216317,0.00036433170212947,0.0023387347156675,0,0,0,0,0,0,0,0
"r2_099",0.0522822469714165,0.000263456165238275,0.00243345051672516,5.74831604632758e-06,0.00658847544490913,0.000362212794145679,0.0018311324097183,0.000446283916824817,0,0,0,0,0,0,0
"r2_100",0.0308420132704279,0.000153209905060836,0.00141587841615708,3.32839074657323e-06,0.00383909928181257,0.000208744898808641,0.00106276339759862,0.000257433319064791,5.38394502928757e-05,0,0,0,0,0,0
"r2_100",0.0238918717275751,0.000117855181762301,0.0011339847649042,2.6363722531805e-06,0.00296533913295005,0.000185606589664192,0.00081872228808559,0.00021869574693995,4.15535081055572e-05,0.000233492552901378,0,0,0,0,0
"r2_100",0.017093955310135,8.43108360272023e-05,0.000816672786142983,1.90817035069739e-06,0.00216489115355526,0.000132650874057071,0.000588850152777736,0.000156337638299264,2.97237669720692e-05,0.000167389871986626,0.00215210260811377,0,0,0,0
"r2_100",0.0125353724320911,6.11236026483514e-05,0.000593399085872998,1.3893988403619e-06,0.0015691448776377,9.68800978800231e-05,0.000427879449936603,0.000113357476824192,2.1568608267067e-05,0.000122074694316687,0.00156076038637847,3.52992161337563e-06,0,0,0
"r2_100",0.00772950178986445,3.78567851224182e-05,0.000365501679378735,8.54343396298885e-07,0.000973868432070408,6.11776630238841e-05,0.000263699854010817,7.10326800205892e-05,1.34196976195633e-05,7.54489087919664e-05,0.00095737529776848,2.18384028854835e-06,4.52971439294366e-05,0,0
"r2_100",0.00142088954639173,6.97752279268604e-06,6.77143856123802e-05,1.62642829853396e-07,0.000179022696483553,1.13612278419333e-05,4.91279974134721e-05,1.32004138565075e-05,2.47363541258992e-06,1.4473746955746e-05,0.000176694821109942,4.01861694262821e-07,8.32747687942978e-06,5.61140723890995e-06,0
"r2_100",1.22173150602213e-15,6.00361624430507e-18,5.8110951221046e-17,1.39892559550906e-19,1.53700526067078e-16,9.85707992283348e-18,4.22151870244007e-17,1.13864757254232e-17,2.13058447873697e-18,1.25052720013543e-17,1.51623319687959e-16,3.99116302386554e-19,7.27779251474287e-18,4.83216424275892e-18,1.18645701533511e-17
