"","(Intercept)","glucose_r","phosphate","pre_creatinine","calcium","chloride","potassium","sodium","hemoglobin","total_co2","magnesium","platelets","albumin","pre_urea","wbc"
"r2_076",-1.84454534452554,0.215313331141887,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_090",-0.337800255320674,0.213490018179318,-0.861768738466056,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",-1.06658611185467,0.225293523059526,-1.02303514905635,0.00112316040026974,0,0,0,0,0,0,0,0,0,0,0
"r2_097",-3.28168707046874,0.229223697625243,-0.999736218137675,0.00104847281211692,0.976256284884487,0,0,0,0,0,0,0,0,0,0
"r2_097",-5.99019643678937,0.235165694822966,-0.983235089122236,0.00110955003721564,1.01725142549949,0.0250940819484711,0,0,0,0,0,0,0,0,0
"r2_099",-5.16698725725746,0.236110458094372,-0.951318376377491,0.00128108884268767,1.03429802500488,0.0239203251783532,-0.197603658540194,0,0,0,0,0,0,0,0
"r2_099",-2.22551670160638,0.232978174321651,-0.938267535282037,0.00142116610445117,1.04034204536729,0.0411960639610931,-0.218901323536013,-0.0338887929712586,0,0,0,0,0,0,0
"r2_100",-1.49705759590148,0.231859360553178,-0.939154598394878,0.00141259469304345,1.07641727588662,0.0420289261733421,-0.216310997841247,-0.0347481970715427,-0.00715748210856495,0,0,0,0,0,0
"r2_100",-1.26955076344441,0.231261048203271,-0.964031755243302,0.00136299822383586,1.10050714970348,0.0348408110197248,-0.218331197479119,-0.0276129919678219,-0.00747497713514271,-0.0178848077963882,0,0,0,0,0
"r2_100",-1.31149786753047,0.231150849962571,-0.971970260678562,0.00133713067774761,1.06292379036161,0.0344201746306887,-0.223801006327408,-0.0269380240323473,-0.0075516586750964,-0.0191961573512577,0.19141751884792,0,0,0,0
"r2_100",-1.47957165113299,0.23119648318411,-0.975685325056613,0.00134756936485494,1.05779372157558,0.0354607734782433,-0.221954354560832,-0.027008615224564,-0.00750033331888417,-0.0185464257685281,0.183621996817322,0.000303272213368766,0,0,0
"r2_100",-1.54720412946724,0.231597998003523,-0.971818825704495,0.00134045094739947,1.04140792089115,0.0371513729377709,-0.224555312316108,-0.0286861508996678,-0.00776723139098239,-0.0175282070435373,0.177210386326804,0.000328137292250092,0.00524220492713998,0,0
"r2_100",-1.56413189152006,0.231342972435445,-0.975919803675733,0.00132055481409397,1.04018662581788,0.0379177737906949,-0.228398561113667,-0.0296111279970786,-0.00767404231010228,-0.015571058791458,0.16959122834082,0.000338439963514085,0.00529369419732087,0.00267408197564241,0
"r2_100",-1.55657173401471,0.231390439062397,-0.975946774845619,0.00131961297622838,1.04081253002437,0.0377742064457927,-0.228174445312037,-0.0294978441387871,-0.00765486690549035,-0.0157117171012852,0.169389734760725,0.000359317883656653,0.00515042191013813,0.00271435178927608,-0.00123121397861183
