"","(Intercept)","phosphate","chloride","sodium","hemoglobin","pre_creatinine","potassium","wbc","glucose_r","pre_urea","albumin","calcium","platelets","magnesium","total_co2"
"r2_037",0.0364038557644387,0.0202311965789573,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_039",0.241651658427555,0.0202855483020777,0.00237775535311101,0,0,0,0,0,0,0,0,0,0,0,0
"r2_050",0.358902781591739,0.0186014326043538,0.00278647028264488,0.00336408402622596,0,0,0,0,0,0,0,0,0,0,0
"r2_068",0.31154861774766,0.0159173601660765,0.00235527954743107,0.00281503492447217,0.000631945460675895,0,0,0,0,0,0,0,0,0,0
"r2_076",0.27522333100969,0.0144912206144422,0.00213488281815303,0.00259740383037824,0.000551982348919923,3.18698149281717e-05,0,0,0,0,0,0,0,0,0
"r2_084",0.234151421026393,0.0119310375870163,0.00174444417112442,0.00214333218138108,0.000450618395679636,2.74922711436335e-05,0.00899870000807567,0,0,0,0,0,0,0,0
"r2_092",0.17171101258902,0.00869883626560274,0.00127301161771121,0.00155440347696246,0.000326888665515319,2.00063504473519e-05,0.00652991025495593,0.00157017980449971,0,0,0,0,0,0,0
"r2_096",0.128360099022585,0.00614797548069547,0.000907458222708903,0.00111371271696638,0.000232749275056319,1.44011249558967e-05,0.00460267261723703,0.0011133415808677,0.000661587128798417,0,0,0,0,0,0
"r2_099",0.0631172974100961,0.0030892417876308,0.000446078130585833,0.000547512342951846,0.000114553709349254,7.53185447255636e-06,0.00230009001802559,0.000549416307741626,0.000326504768067978,0.00025530815082962,0,0,0,0,0
"r2_100",0.0383511309699874,0.00186439042703252,0.000275872876157688,0.00033478692883336,7.04792628618566e-05,4.55493370944799e-06,0.00139453012561331,0.000337453129192882,0.000198440630735793,0.000153827851381251,0.00023681331274245,0,0,0,0
"r2_100",0.0256963075563656,0.00120148151476759,0.000177637464588434,0.000215696343908398,4.53860787765223e-05,2.93644475655304e-06,0.000897599486115697,0.000217264690849661,0.000128293916603897,9.89496200013841e-05,0.000154026264584193,0.00320775442785045,0,0,0
"r2_100",0.00821285571997491,0.000382561197919718,5.65219975794754e-05,6.85358741607284e-05,1.44443175682864e-05,9.32649422877989e-07,0.000285616284538679,8.01878394422811e-05,4.07767665391471e-05,3.15537534478266e-05,4.89696527181412e-05,0.00101916213124675,2.71386603164869e-06,0,0
"r2_100",0.0043909841918134,0.000205255807532499,3.01758055661691e-05,3.6599680930373e-05,7.71796217007011e-06,5.01758825592746e-07,0.000153275442593061,4.29177647500457e-05,2.18030663101466e-05,1.69051002246902e-05,2.61495315321689e-05,0.000555869871426703,1.45266144143367e-06,0.000548320051914288,0
"r2_100",9.76155174910796e-15,4.64302553169858e-16,7.87573990582588e-17,9.0977167639374e-17,1.70232252688264e-17,1.11773204885052e-18,3.37296476931074e-16,9.47971096447771e-17,4.79684860067018e-17,3.86086640832082e-17,5.81490678612707e-17,1.22805676343238e-15,3.18891214678098e-18,1.21146002555388e-15,9.99162738917536e-17
