"","(Intercept)","phosphate","chloride","sodium","hemoglobin","pre_creatinine","potassium","wbc","glucose_r","pre_urea","albumin","calcium","platelets","magnesium","total_co2"
"r2_037",1.25601445029407,-1.55808415270531,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_039",-2.1470445267345,-1.52588851761244,0.0337991430796536,0,0,0,0,0,0,0,0,0,0,0,0
"r2_050",10.9524560693985,-1.39844471168957,0.115118680624551,-0.154970189288899,0,0,0,0,0,0,0,0,0,0,0
"r2_068",15.9830073288899,-1.39511529574381,0.121117769704017,-0.159681356551409,-0.0463397154417757,0,0,0,0,0,0,0,0,0,0
"r2_076",18.1141303572949,-1.60894345313855,0.150780371042253,-0.203425851833798,-0.0465884950570533,0.00167366669380488,0,0,0,0,0,0,0,0,0
"r2_084",22.5159049987484,-1.50328521661867,0.157952214644096,-0.224899425486711,-0.0462089484045066,0.00226631109663281,-0.59585659203738,0,0,0,0,0,0,0,0
"r2_092",20.2616326472899,-1.58182912207213,0.170372129359127,-0.224009178329951,-0.0473109937351182,0.00239759884148737,-0.608170585245631,0.139512473484982,0,0,0,0,0,0,0
"r2_096",16.433420266258,-1.59776098739707,0.176370506925073,-0.206063736296872,-0.0459031038837431,0.0026095662731329,-0.608188670301036,0.130517260111516,0.0629871576076278,0,0,0,0,0,0
"r2_099",16.6858141596349,-1.69994059989176,0.175101118621541,-0.207930784796866,-0.0449537050919441,0.0021991432922026,-0.674557986234343,0.123388468388974,0.0583382118897391,0.0409872442065087,0,0,0,0,0
"r2_100",16.1278261042079,-1.68612985134889,0.182681704247091,-0.21488519163048,-0.0467174928425859,0.00214608060637962,-0.691210732643406,0.131248426527052,0.0604302179504541,0.04029474469982,0.0285088214770907,0,0,0,0
"r2_100",15.3550589123093,-1.67862195880239,0.183003861224047,-0.214362833449944,-0.0469334664564171,0.00212922366108227,-0.692131949903503,0.130089713412035,0.0618817034493903,0.0403943711462766,0.0260165293222349,0.34506007208009,0,0,0
"r2_100",15.6087990766692,-1.67108074369638,0.182146755553195,-0.215009246643841,-0.0471533099262348,0.00212701879309415,-0.695625805805531,0.141061907342353,0.0613788603336573,0.0396987649060452,0.0262211802629702,0.355303584208187,-0.000730120677681944,0,0
"r2_100",15.6272376750256,-1.66911408385829,0.182166568697509,-0.215115396235185,-0.0471334349015698,0.00213470295341295,-0.69366566529192,0.140898824360019,0.0614113862335689,0.0398527980888884,0.0263706211728922,0.370713086976929,-0.000716375738201002,-0.0783694833199701,0
"r2_100",15.6841922909841,-1.6736388274252,0.180425398159736,-0.21338344956743,-0.0471942202565662,0.00212723011822831,-0.693407480707694,0.140473845091609,0.0613200164167845,0.0394206346530479,0.0260563187138401,0.376108667589678,-0.000718856169205948,-0.0724252478614675,-0.00408191805076268
