"","(Intercept)","sodium","chloride","total_co2","pre_creatinine","wbc","albumin","pre_urea","potassium","magnesium","glucose_r","hemoglobin","platelets","phosphate","calcium"
"r2_017",0.28071317777512,0.00203578446059286,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_031",0.261434701479758,0.00242764869564059,0.00200638572929686,0,0,0,0,0,0,0,0,0,0,0,0
"r2_052",0.221366793198138,0.00214514477182489,0.00182132784898058,0.00229729432736442,0,0,0,0,0,0,0,0,0,0,0
"r2_070",0.183541573932896,0.0019598676710358,0.00165566419154429,0.00201747865597082,2.22104333178301e-05,0,0,0,0,0,0,0,0,0,0
"r2_076",0.173000263380347,0.00180733937997699,0.00154855327906228,0.00189245362224057,2.05034114425034e-05,0.00167518098379019,0,0,0,0,0,0,0,0,0
"r2_080",0.163902978143119,0.00170837222241611,0.00147390421973781,0.0017658705016075,1.91336965766486e-05,0.00159467407190987,0.00108364551349034,0,0,0,0,0,0,0,0
"r2_085",0.141184658859909,0.00147611595795583,0.00127743637121715,0.00159284165592871,1.76070934296229e-05,0.00137027315098167,0.000929479243853753,0.000622285994006584,0,0,0,0,0,0,0
"r2_089",0.122685884656845,0.00125011685358786,0.00107298153554164,0.00133569233107276,1.52189893696599e-05,0.0011497589271481,0.00078223871007975,0.000530698303508441,0.00471966429246904,0,0,0,0,0,0
"r2_093",0.102010814099166,0.00103953235457312,0.000891098769431155,0.00111515525788259,1.27666871179233e-05,0.000956386726173978,0.000651494164881096,0.000442292703923778,0.003928954636854,0.0139745635399799,0,0,0,0,0
"r2_097",0.067867285079124,0.000657528947902464,0.000564681995202493,0.000705408200707896,8.17550132185515e-06,0.000599952184087699,0.000412552309395102,0.000279616813396944,0.00246609761054237,0.00871860426767454,0.000351009363879849,0,0,0,0
"r2_099",0.0385739804558091,0.000367710278350296,0.000315848682577101,0.00039565611400006,4.57300058991584e-06,0.00033633541164231,0.000235327653271872,0.000156871716521597,0.00137890719686713,0.00487793201333047,0.000196468978901143,6.98150782826843e-05,0,0,0
"r2_100",0.0178939089651969,0.000169223170008162,0.000145724279516263,0.00018243350954345,2.10452449978769e-06,0.000179495524163625,0.000108413296586858,7.25247156521391e-05,0.000635674704141529,0.00225028972633183,9.05092692393134e-05,3.21898005222882e-05,6.03005535276635e-06,0,0
"r2_100",0.0031624414021027,3.03282898262406e-05,2.62938082810853e-05,3.32092248159113e-05,3.72903086023575e-07,3.1681152422715e-05,1.92254739176626e-05,1.29076706082908e-05,0.000112679428803649,0.000398591467371194,1.59660508990754e-05,5.68345225588592e-06,1.06616469751456e-06,0.000155041542055515,0
"r2_100",4.12248977011446e-14,3.84213957521232e-16,3.32607540566656e-16,4.21965510785055e-16,4.72039595296558e-18,4.00346302300477e-16,2.45574621290807e-16,1.63051763502003e-16,1.42446745290375e-15,5.11622710262728e-15,2.0258007941061e-16,7.18923321094966e-17,1.34673851461164e-17,1.96083837373057e-15,5.18631829701922e-15
