"","(Intercept)","sodium","chloride","total_co2","pre_creatinine","wbc","albumin","pre_urea","potassium","magnesium","glucose_r","hemoglobin","platelets","phosphate","calcium"
"r2_017",12.332424925074,-0.0932157040464394,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_031",12.8172534127391,-0.160306171927721,0.0885628763488338,0,0,0,0,0,0,0,0,0,0,0,0
"r2_052",10.7083044456633,-0.205320166291737,0.135693900949106,0.153944847647852,0,0,0,0,0,0,0,0,0,0,0
"r2_070",11.8402794321908,-0.268412452345157,0.18708604652985,0.202057439085996,0.00164904684819986,0,0,0,0,0,0,0,0,0,0
"r2_076",10.2689751930249,-0.273781443184856,0.200359132671128,0.216050865159731,0.00172836860210607,0.076110115433726,0,0,0,0,0,0,0,0,0
"r2_080",9.01268483468152,-0.286865252488642,0.214075029357166,0.223826334048813,0.00163284428898472,0.0892303853298312,0.0429412781733514,0,0,0,0,0,0,0,0
"r2_085",8.24956385617464,-0.296969719924044,0.224399404902181,0.251069498180765,0.00128191232616096,0.0846393872106809,0.0433661655589796,0.0343958663700094,0,0,0,0,0,0,0
"r2_089",10.1900394705599,-0.307691648894831,0.228491311853016,0.251295071575775,0.00150535005565407,0.0867702095224316,0.0476145711937368,0.0402903596210489,-0.282842514084425,0,0,0,0,0,0
"r2_093",9.67773029300947,-0.303255576326859,0.225504028240495,0.24302354166342,0.00138472620039797,0.0843254838207544,0.0437629620326035,0.0376044618223987,-0.305955750542082,0.885598557992776,0,0,0,0,0
"r2_097",7.17873600058749,-0.295300489640661,0.2327906215447,0.247854515331919,0.00155410897580632,0.0806377943909084,0.0485783275421613,0.0351862255481409,-0.306818192464022,0.894168180336989,0.0402533626677555,0,0,0,0
"r2_099",8.09221271152697,-0.296188618227459,0.233769416771516,0.243724242185554,0.00154001699623176,0.0838253601352107,0.0547319355051212,0.0334930514720285,-0.306418627212798,0.915939212531311,0.0391079421145621,-0.00924732281353733,0,0,0
"r2_100",8.48834747422391,-0.29650390290034,0.231945837202601,0.242641112653864,0.0015349842117743,0.0994516535453906,0.0548603461291621,0.0324936037424013,-0.311479999412367,0.94616174256567,0.0383022138975173,-0.00956594640837341,-0.00104028520670155,0,0
"r2_100",8.58132706834837,-0.293851230833883,0.229195776995924,0.238565049070988,0.00155229198504168,0.0993639720058536,0.0539406741165311,0.0333015347215708,-0.306819423056879,0.963723537393952,0.0382746229803234,-0.00959037184426925,-0.00100791819731284,-0.0771766536999027,0
"r2_100",8.65299342958943,-0.294037959551514,0.229306917581547,0.238888476465993,0.00155403525573806,0.0994736011284189,0.0542014010210416,0.0333137691213456,-0.306915052451408,0.970165628290204,0.0381346086528249,-0.00956496514765036,-0.00100561136042587,-0.0777860236874725,-0.0366230143146306
