"","(Intercept)","sodium","total_co2","pre_urea","magnesium","glucose_r","pre_creatinine","phosphate","chloride","albumin","platelets","hemoglobin","wbc","calcium","potassium"
"r2_021",0.374582660466591,0.0027165435033346,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_072",0.229661463682877,0.00165383949287602,0.00219956695934222,0,0,0,0,0,0,0,0,0,0,0,0
"r2_087",0.16062618681363,0.00116116809551499,0.00161446659698616,0.000655483201627673,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.134868002914876,0.000969596790033353,0.00134992376484556,0.00055695662365788,0.0184003384465469,0,0,0,0,0,0,0,0,0,0
"r2_093",0.133260341020464,0.000945639179677844,0.00124587064967332,0.000515836444896896,0.016834111470324,0.000710044356645302,0,0,0,0,0,0,0,0,0
"r2_095",0.110166795156485,0.000788075070516171,0.0010367358472457,0.000469962748263569,0.0150965879951539,0.00059580911924134,1.29664329396146e-05,0,0,0,0,0,0,0,0
"r2_097",0.0922228641221549,0.000658371564004649,0.000879084646445757,0.000399220935899381,0.0126596005356864,0.000497928453233361,1.09801586656902e-05,0.00475738197769753,0,0,0,0,0,0,0
"r2_097",0.081750037476055,0.000827833618525727,0.000908889977242641,0.000356247526494151,0.0112134040038247,0.000442766135730415,1.02200337369084e-05,0.00429121489927859,0.00070656714852399,0,0,0,0,0,0
"r2_099",0.0611608724566449,0.000619754067432222,0.00067438228632843,0.000262279315477899,0.00827204696114564,0.000329361557633103,7.55465200437951e-06,0.00317577549415401,0.000532902317031145,0.000377651096382209,0,0,0,0,0
"r2_099",0.0610880108087777,0.000607115379165728,0.000667716467076601,0.000257155897763424,0.00807112128540766,0.00032364575720484,7.39392173102778e-06,0.00314160823179632,0.000527606627648742,0.000376489640450723,1.86888731686496e-05,0,0,0,0
"r2_099",0.0459531893470775,0.000447346384500044,0.000494047712330961,0.000190044319745074,0.0059517306688784,0.000238692451561561,5.45069024379519e-06,0.00231490894990896,0.000388793289988767,0.000282080641919409,1.37732865763305e-05,8.48166838651536e-05,0,0,0
"r2_100",0.0342184218619695,0.000333402329621573,0.000368972369703449,0.000141598904992049,0.0044142465193717,0.000177488336082227,4.04971117517875e-06,0.00171731838321109,0.000291502989174422,0.000212792632409403,1.18333618078032e-05,6.31688049898348e-05,0.000351513134721139,0,0
"r2_100",0.00248931899895578,2.35459025413968e-05,2.61391667861292e-05,9.9731335650299e-06,0.000315914208197942,1.25560673912488e-05,2.85775443215701e-07,0.000121110995350953,2.05587048447395e-05,1.51542574109745e-05,8.33414455146482e-07,4.45517506360556e-06,2.4766992646665e-05,0.000321457219610493,0
"r2_100",1.13726324589738e-14,1.05992358214522e-16,1.16406805889741e-16,4.49807733069113e-17,1.41140363371247e-15,5.58853730419959e-17,1.30220646326587e-18,5.40932673685458e-16,9.1755796202807e-17,6.77461938035199e-17,3.7152213829744e-18,1.98327980247986e-17,1.10442756835419e-16,1.43073955537342e-15,3.92965069533578e-16
