"","(Intercept)","sodium","total_co2","pre_urea","magnesium","glucose_r","pre_creatinine","phosphate","chloride","albumin","platelets","hemoglobin","wbc","calcium","potassium"
"r2_021",18.9798977911464,-0.140389306440776,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_072",23.6829098066626,-0.123725121997901,-0.294902868086748,0,0,0,0,0,0,0,0,0,0,0,0
"r2_087",22.5765223649287,-0.136172768694429,-0.242228985385229,0.0679642125487207,0,0,0,0,0,0,0,0,0,0,0
"r2_091",23.5810127071342,-0.137840952783904,-0.233483831691207,0.0755162835559809,-1.25377714872411,0,0,0,0,0,0,0,0,0,0
"r2_093",21.4816941003809,-0.124546073486916,-0.234297422731333,0.0744842967242957,-1.21922730812107,0.0324838291193486,0,0,0,0,0,0,0,0,0
"r2_095",22.0314147340928,-0.131237579487075,-0.232852243169984,0.0595060050605473,-1.34548055260088,0.040365636609055,0.000899661572958,0,0,0,0,0,0,0,0
"r2_097",21.670655648863,-0.13190658368664,-0.223923277267843,0.0554227684837878,-1.4130093463093,0.0394735703072168,0.000788853459655866,0.288677457635545,0,0,0,0,0,0,0
"r2_097",21.4298333190431,-0.160549913889532,-0.201005562732205,0.0576841626605758,-1.44174338706126,0.0417327793369503,0.000944281362790442,0.329895457673966,0.0343861971119637,0,0,0,0,0,0
"r2_099",20.5454305585575,-0.170363468473535,-0.193830644469467,0.0579005447585042,-1.50989684949056,0.0448686232021431,0.000875652827229728,0.360262483532949,0.0444784897149069,0.0317717068919769,0,0,0,0,0
"r2_099",20.8867997068772,-0.169784104903395,-0.195610224486562,0.0574113183322488,-1.49429752483825,0.0446884107751211,0.000862171066248444,0.366622914865397,0.0421407178238781,0.0306340966551963,-0.000545110745499446,0,0,0,0
"r2_099",20.1302415243915,-0.169428051400793,-0.191913333213249,0.0586091734282475,-1.51331325122148,0.0455050947417422,0.000874690443864327,0.368388964109464,0.0420077988832861,0.0264619990580546,-0.000528463461836361,0.00694601283489579,0,0,0
"r2_100",19.8948625817787,-0.171767086700104,-0.188826712823304,0.0575763584438521,-1.51303120776881,0.0444570459508217,0.000892314798891792,0.368560285536161,0.0451993033867256,0.0295805712161348,-0.0010108282896666,0.00648916443495224,0.0283827316598982,0,0
"r2_100",19.1061580444207,-0.16973663532096,-0.192401924976264,0.0574617589775823,-1.58423244936414,0.0460068405065916,0.000873759669467014,0.375395146397225,0.0439844859184841,0.026707240081088,-0.00103681865804929,0.00620735274171755,0.0271866800291617,0.406331200642455,0
"r2_100",19.0548857230584,-0.169420246905756,-0.19244537474864,0.0573177116188686,-1.58664850410588,0.0460084479480601,0.000868157694135182,0.374507638380883,0.0438500203114158,0.0265814280830908,-0.00103290310762441,0.00620595934347678,0.0270724742827987,0.406595043299619,0.00786149421668579
