"","(Intercept)","total_co2","potassium","magnesium","pre_creatinine","phosphate","platelets","hemoglobin","glucose_r","chloride","pre_urea","wbc","calcium","albumin","sodium"
"r2_039",0.0870256564186575,0.00364542947084558,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_076",0.0745738407857767,0.00229790452818956,0.0090791356500042,0,0,0,0,0,0,0,0,0,0,0,0
"r2_090",0.0511155532260426,0.00153332284161389,0.0061604920559938,0.0219477431256479,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0408301012796252,0.00121742374439932,0.0051119507715493,0.0187217958734674,1.45769360170948e-05,0,0,0,0,0,0,0,0,0,0
"r2_097",0.031898082228672,0.00093767606782529,0.00386889446166605,0.0141464346528653,1.12497911836864e-05,0.00522860964704116,0,0,0,0,0,0,0,0,0
"r2_097",0.0311010820658936,0.000898655901731745,0.00371540304985306,0.0134576856818454,1.08018620589632e-05,0.00504675020590479,3.01687057321429e-05,0,0,0,0,0,0,0,0
"r2_098",0.0331245005419855,0.00078748013967718,0.00324481229938163,0.0117676860377049,9.43538504716317e-06,0.00440976602874235,2.63594564240584e-05,0.000163293455311884,0,0,0,0,0,0,0
"r2_099",0.0235708676570412,0.000550011406917632,0.00224729795603914,0.00811371256686736,6.71273578721251e-06,0.00306099294365798,1.84316146726168e-05,0.000113968141514649,0.000307662892640139,0,0,0,0,0,0
"r2_100",0.0334239304973886,0.000383669508330067,0.00148500682905468,0.00534851234393329,4.47910967748398e-06,0.00203457882789802,1.23290599349301e-05,7.51561475654994e-05,0.000211081363157485,0.000242435544319713,0,0,0,0,0
"r2_100",0.0225341958129754,0.000263901854807362,0.00100152470058325,0.00357975211633555,3.16431417725799e-06,0.00137330397039636,8.2302522858715e-06,5.02598804238252e-05,0.000140996687616325,0.000161930533684095,0.000114573380613868,0,0,0,0
"r2_100",0.0140669770480313,0.000164233662450544,0.000621867429790361,0.00222180709179474,1.96737681196327e-06,0.000852616385268684,5.94376624410729e-06,3.12422536249013e-05,8.77858496785322e-05,0.000100900278764694,7.14258377917741e-05,0.00017377739385774,0,0,0
"r2_100",0.0069507807715791,7.77988626044531e-05,0.000293516939877948,0.00106766882309461,9.29632148802558e-07,0.000403217276868192,2.80377774319725e-06,1.47801175113197e-05,4.16269501780962e-05,4.76024262443723e-05,3.36908555242694e-05,8.19457245013285e-05,0.00107007381393579,0,0
"r2_100",0.00405695912194698,4.39640062686128e-05,0.000165994780650906,0.00060151124110575,5.2882947188918e-07,0.000227702593662733,1.58705217161348e-06,8.47319859722594e-06,2.37264353232451e-05,2.71871968963198e-05,1.90218739694924e-05,4.69688144933585e-05,0.000609825896231502,2.82755707397332e-05,0
"r2_100",3.11128970923225e-14,3.18462148984306e-16,1.07506171621929e-15,3.86127452635435e-15,3.56253627563413e-18,1.47986692359608e-15,1.01639880635085e-17,5.42579570934322e-17,1.5288947978352e-16,2.51022677043381e-16,1.2305701218074e-16,3.02145887542632e-16,3.91417314441772e-15,1.85337947375787e-16,2.89970624268163e-16
