"","(Intercept)","total_co2","potassium","magnesium","pre_creatinine","phosphate","platelets","hemoglobin","glucose_r","chloride","pre_urea","wbc","calcium","albumin","sodium"
"r2_039",-7.11638432597787,0.287280750000713,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_076",-0.765057167867354,0.247872373550603,-1.12932335192893,0,0,0,0,0,0,0,0,0,0,0,0
"r2_090",0.639092787913054,0.258163944438755,-0.993559732550449,-2.49525644726673,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.262702634316412,0.269701158178282,-1.12438991794676,-2.75417004368334,0.00119778541544609,0,0,0,0,0,0,0,0,0,0
"r2_097",-0.446867794254024,0.286154342582031,-1.15704346557887,-2.86015616911711,0.000991598441442339,0.431547613408967,0,0,0,0,0,0,0,0,0
"r2_097",-0.659409382168028,0.286284587569474,-1.15169546429695,-2.88516390178603,0.00102156887270977,0.41249095534822,0.00106356928648464,0,0,0,0,0,0,0,0
"r2_098",0.311406065115599,0.283038611894774,-1.15119945293751,-2.8574969002647,0.00101477423793943,0.405161855871931,0.0010250911416674,-0.00836130319882096,0,0,0,0,0,0,0
"r2_099",0.765454124678871,0.279879435992976,-1.14322964724854,-2.85376195203968,0.000875592470913652,0.412338672370518,0.00107538430189741,-0.00906786542820588,-0.0299290581471686,0,0,0,0,0,0
"r2_100",-2.26605511251865,0.292785892699463,-1.13223977695297,-2.85827725717017,0.000946123873777119,0.438990764475744,0.00128689164314746,-0.00889144641965955,-0.0239041769603038,0.0248462900660533,0,0,0,0,0
"r2_100",-1.93621864702202,0.286349690171379,-1.11722838277916,-2.82761621898917,0.00105031744802479,0.460338966579202,0.00124441646449632,-0.0092831983077707,-0.0230446578728838,0.023942901512258,-0.0114737829796762,0,0,0,0
"r2_100",-1.77040098854157,0.285117939883165,-1.11527528887521,-2.83403702481138,0.00103649232058334,0.462496122445459,0.0015888075418817,-0.00908327720822863,-0.0222213715397548,0.0230179738632783,-0.0107352141385003,-0.0196916020836471,0,0,0
"r2_100",-1.4226506156481,0.286173976356577,-1.1148158663246,-2.79968629278501,0.00104471332975512,0.45798855972046,0.00160178762354754,-0.0088922626586418,-0.0229659376251622,0.022826962131624,-0.0107120339529699,-0.0195853998845966,-0.179400273332976,0,0
"r2_100",-1.28667950123484,0.28594406388344,-1.11343111710814,-2.7964491297121,0.00105411820194234,0.456394258002358,0.00160284992379638,-0.00868659405175385,-0.0232895628334109,0.0222848984842144,-0.0106331533377733,-0.0206515742894,-0.168332685015958,-0.00371849389860093,0
"r2_100",-1.52470776545704,0.283877338463324,-1.11119825311266,-2.79263736762707,0.00103874970336602,0.452877815075536,0.00160555451184038,-0.00867716723180036,-0.0230503585743712,0.0197723291924027,-0.0108687891972514,-0.0210562310635323,-0.164624510395874,-0.0042697255146192,0.00402986038071636
