"","(Intercept)","potassium","magnesium","chloride","sodium","calcium","pre_creatinine","pre_urea","glucose_r","phosphate","hemoglobin","albumin","total_co2","platelets","wbc"
"r2_066",0.0430840168527995,0.00889539606431839,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_084",0.0342941488618744,0.00641534684665608,0.0232557093163945,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",0.104449103437694,0.00620263898031908,0.0223860998781168,0.000963819120618491,0,0,0,0,0,0,0,0,0,0,0
"r2_091",0.126375880252816,0.00472794421982507,0.0170839407827528,0.000940443774215632,0.00113687684534703,0,0,0,0,0,0,0,0,0,0
"r2_096",0.0910501087092442,0.00327700707775675,0.0120999590770786,0.000652851577756055,0.000788438692547892,0.0127862946557253,0,0,0,0,0,0,0,0,0
"r2_097",0.0824722198621233,0.00308272348098374,0.0114735994672783,0.000600638569872636,0.000739768399240726,0.011218866576368,9.39418297856467e-06,0,0,0,0,0,0,0,0
"r2_098",0.0678462151755128,0.00258085688014945,0.00946973624345602,0.000494147805276894,0.000608569433375023,0.0092438495517513,8.29357105426397e-06,0.00027667906985316,0,0,0,0,0,0,0
"r2_099",0.0593243348925191,0.00211135560350077,0.007708645275324,0.000408629801254227,0.00050477396509497,0.00762677199827287,6.93062425262173e-06,0.0002295325582245,0.00030048815984304,0,0,0,0,0,0
"r2_099",0.0467178680267082,0.00166733665620544,0.00608024494033655,0.000322821258516086,0.000397789510219201,0.00602297136849784,5.49392580961323e-06,0.000184579674290063,0.000236379106675192,0.00223132269095761,0,0,0,0,0
"r2_100",0.02634675781633,0.000926023974211993,0.00334352920821847,0.000177959988068991,0.000219451165935822,0.00335257595463428,3.03569333016238e-06,0.000102267636651236,0.000131364647678029,0.00124241327758353,4.60011372284061e-05,0,0,0,0
"r2_100",0.0123923924951443,0.000436725395403551,0.00156644801299063,8.51755280116916e-05,0.000104508964669305,0.00158836169077206,1.42957086908776e-06,4.7963466923055e-05,6.21435470836135e-05,0.000583928568320553,2.19388475198483e-05,7.29114935505983e-05,0,0,0
"r2_100",0.00804770289981176,0.000281432199667302,0.00101287640904687,6.44546426404319e-05,7.56727349201385e-05,0.00102710775417152,9.30945667833617e-07,3.21420387886445e-05,4.00429220440222e-05,0.000387779844612554,1.41876346351251e-05,4.73389322566341e-05,8.23821047536261e-05,0,0
"r2_100",0.00144315636911537,4.98978844268232e-05,0.000179463813441423,1.15392701443217e-05,1.34072781240138e-05,0.000181828169052642,1.65191612810392e-07,5.69934384913857e-06,7.08686785998522e-06,6.87755407346064e-05,2.5123998621947e-06,8.45797713673716e-06,1.47005656823873e-05,4.08159286590315e-07,0
"r2_100",4.34305353804913e-15,1.50068011229964e-16,5.38995836462956e-16,3.50402896402998e-17,4.0477038892303e-17,5.46379961755317e-16,4.97294923401369e-19,1.71775450723038e-17,2.13418632837043e-17,2.06574825201728e-16,7.57387561250596e-18,2.5871349289546e-17,4.44541747037218e-17,1.41879247660297e-18,4.21765855492395e-17
