"","(Intercept)","potassium","magnesium","chloride","sodium","calcium","pre_creatinine","pre_urea","glucose_r","phosphate","hemoglobin","albumin","total_co2","platelets","wbc"
"r2_066",5.69783813230779,-1.24089101399951,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_084",4.0689511327111,-1.36808566558448,2.43190879135198,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",6.95368663388664,-1.3811330325626,2.39059290519632,-0.0281300920198817,0,0,0,0,0,0,0,0,0,0,0
"r2_091",-1.24638806774895,-1.37160496210664,2.30373538532489,-0.077163311218385,0.0949179177689998,0,0,0,0,0,0,0,0,0,0
"r2_096",1.3346113840719,-1.36980326706509,2.56723932110543,-0.0816857888005638,0.0990694703981523,-1.31195086067433,0,0,0,0,0,0,0,0,0
"r2_097",2.61234348982961,-1.43621574981997,2.45817910586945,-0.0714929524215665,0.0826791080047641,-1.34333797739536,0.00057516924164497,0,0,0,0,0,0,0,0
"r2_098",2.69081710615364,-1.40488114994695,2.5077828158919,-0.0721108459431712,0.0834984574308551,-1.37308668994565,0.00077177677087722,-0.0180869076854872,0,0,0,0,0,0,0
"r2_099",4.12915856542235,-1.40743510157842,2.51131501144303,-0.0751058983325612,0.0777788967936371,-1.43250544782839,0.000681516144711774,-0.016263918490929,-0.0209559294745916,0,0,0,0,0,0
"r2_099",3.97044471900027,-1.41722477100407,2.47910561067631,-0.0728858060414922,0.0760146361291924,-1.3945149725543,0.000632190165114863,-0.0190015641872705,-0.0211242721364942,0.161464866396186,0,0,0,0,0
"r2_100",4.61806469771938,-1.41416291849578,2.4897564155571,-0.0721760433184969,0.0752812694254046,-1.3623654088204,0.00063543094547724,-0.019713751676494,-0.0219749957159617,0.160677169400712,-0.00644936560874846,0,0,0,0
"r2_100",4.71101944127965,-1.40755330220362,2.50027407484586,-0.0750911064278664,0.0783731381061232,-1.32607393224325,0.000658019651484927,-0.0195348442194756,-0.022884454116523,0.154129421099041,-0.00574953258490424,-0.012439344090797,0,0,0
"r2_100",4.81920282812499,-1.40695284653301,2.51273253399393,-0.0787548070932173,0.0821008907546669,-1.31480732774996,0.000642697740988485,-0.0205052377455513,-0.0231098094932043,0.14382731314929,-0.00589862760479747,-0.0129860665220125,-0.00888232893131782,0,0
"r2_100",4.93851367329187,-1.4077233689722,2.51897183976231,-0.0796282369583368,0.0823290562360018,-1.31017256654638,0.000637655459097692,-0.0206581569283431,-0.0231485799588051,0.146163983049178,-0.00591773238357825,-0.0134119213273537,-0.00951326275210295,-0.000203409622511112,0
"r2_100",4.9461923063588,-1.40749574104196,2.51876718856744,-0.0797740541534302,0.082444115370631,-1.30953685376747,0.000636698861649382,-0.0206172560446847,-0.0231003694802498,0.146136589212898,-0.00589825648035525,-0.0135574388408652,-0.00965612532450477,-0.000182204523561565,-0.00125050838715014
