"","(Intercept)","albumin","pre_creatinine","hemoglobin","chloride","pre_urea","phosphate","wbc","calcium","total_co2","potassium","glucose_r","platelets","magnesium","sodium"
"r2_064",0.0959995101181944,0.00275169765926725,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_082",0.0716612898739435,0.00208527330183851,3.57942710849591e-05,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0534724853642302,0.00123490257348201,2.06798508937097e-05,0.000394231006301241,0,0,0,0,0,0,0,0,0,0,0
"r2_096",0.108967290340734,0.00107210704055993,1.79603885700437e-05,0.000341577274840672,0.000972371973862203,0,0,0,0,0,0,0,0,0,0
"r2_096",0.0999040029346553,0.000979598696386764,1.81590266389152e-05,0.000311691112269248,0.000886855439898672,0.000650958823664519,0,0,0,0,0,0,0,0,0
"r2_097",0.0873446327417164,0.000846130669899639,1.58313132983827e-05,0.000268731578353093,0.000766819999002283,0.000580964748906268,0.00692319033667692,0,0,0,0,0,0,0,0
"r2_098",0.073973880534246,0.000705622863832728,1.28795186613657e-05,0.000218273836041781,0.000630440789831998,0.000473247584456541,0.00562746847207193,0.00102272576396819,0,0,0,0,0,0,0
"r2_099",0.0571158877325192,0.000517933793240169,9.28805691556285e-06,0.000157153840361246,0.000453661421885094,0.00034054481469079,0.00406496409916814,0.000737175228350902,0.0110093293644062,0,0,0,0,0,0
"r2_099",0.0527945516708005,0.000403613266534775,7.21627582436306e-06,0.000122482033157459,0.000372237353027223,0.000273014189503699,0.00321955914086322,0.000575373591613477,0.00862111513235922,0.000620639302269821,0,0,0,0,0
"r2_100",0.0441182872247314,0.000331477070595819,6.05147275256594e-06,0.000100555732509249,0.000305789530604559,0.000226444831801976,0.00265033773278232,0.000472512792034366,0.00707519777275401,0.000510315698879906,0.00191530832753166,0,0,0,0
"r2_100",0.0389378465815302,0.000277113337701481,5.08541906284023e-06,8.339848007449e-05,0.000263883355938856,0.000188025493322578,0.00219174138624122,0.000390335799875926,0.0058758254487007,0.000426387128945902,0.00158138902242838,0.000223275062840614,0,0,0
"r2_100",0.03195836088947,0.000225867106870453,4.15092694558868e-06,6.81260794402293e-05,0.000216008862396761,0.000153843491859217,0.00178699798548553,0.000355437943144696,0.00480168108748687,0.000348080186194777,0.00128916855644495,0.000181963265246905,1.25246901686558e-05,0,0
"r2_100",0.0267340268312838,0.000188718680209438,3.49377573679286e-06,5.70258012209454e-05,0.000180644711523459,0.000129300513128871,0.00150141946579296,0.000297675639195363,0.00408520460634783,0.000292299207534996,0.00108458715946422,0.000152322710618273,1.05016723186916e-05,0.00403054055142123,0
"r2_100",0.0304036559338718,0.000184690539421687,3.52311942643146e-06,5.46824010845058e-05,0.000253703373729634,0.000124993567943679,0.00146205119089815,0.000286790968772499,0.00391939014641389,0.000315168339026412,0.00105341872334779,0.000147020878798375,1.00688669550415e-05,0.00387221086525683,0.000287855804343935
